YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 01 01 00 00 219  9.4 11.5  3.72 11.43  7.83 999  994.3  11.6  11.8 999.0 99.0 99.00
2006 01 01 01 00 223 10.4 12.8  3.33 11.43  7.50 999  996.1  11.5  11.8 999.0 99.0 99.00
2006 01 01 02 00 229 11.2 13.5  3.51 10.81  7.46 999  996.9  11.5  11.8 999.0 99.0 99.00
2006 01 01 03 00 222  9.6 11.7  3.42 13.79  7.23 999  998.0  11.5  11.7 999.0 99.0 99.00
2006 01 01 04 00 211 10.5 13.1  3.76 12.90  7.52 999  998.7  11.5  11.7 999.0 99.0 99.00
2006 01 01 05 00 198 11.5 14.0  3.58 12.90  7.19 999  998.8  11.7  11.7 999.0 99.0 99.00
2006 01 01 06 00 190 11.3 13.6  3.73 12.12  7.18 999  998.5  11.8  11.7 999.0 99.0 99.00
2006 01 01 07 00 179 11.4 13.9  4.37 12.90  7.68 999  998.0  12.0  11.7 999.0 99.0 99.00
2006 01 01 08 00 166 12.3 14.9  4.04 12.12  6.86 999  996.8  11.9  11.7 999.0 99.0 99.00
2006 01 01 09 00 181 16.1 20.6  4.87 12.12  6.94 999  996.0  10.9  11.5 999.0 99.0 99.00
2006 01 01 10 00 151 12.1 15.1  4.91 12.12  7.45 999  994.6  10.5  11.5 999.0 99.0 99.00
2006 01 01 11 00 159 14.5 17.6  4.86 12.12  7.28 999  993.1  11.8  11.5 999.0 99.0 99.00
2006 01 01 12 00 145 13.1 16.6  5.16 12.12  7.70 999  991.2  12.0  11.5 999.0 99.0 99.00
2006 01 01 13 00 146 13.6 17.0  4.94 12.90  7.59 999  989.6  12.3  11.5 999.0 99.0 99.00
2006 01 01 14 00 151 15.3 20.6  5.10 12.12  7.47 999  988.0  12.4  11.5 999.0 99.0 99.00
2006 01 01 15 00 170 14.6 19.5  5.20 12.12  7.47 999  988.0  10.7  11.5 999.0 99.0 99.00
2006 01 01 16 00 175 19.4 23.8  5.78 10.81  7.49 999  986.0   9.9  11.5 999.0 99.0 99.00
2006 01 01 17 00 162 16.7 20.7  5.44 10.81  7.58 999  986.1   9.4  11.5 999.0 99.0 99.00
2006 01 01 18 00 194 17.8 23.7  6.44 10.81  7.94 999  986.5  12.2  11.5 999.0 99.0 99.00
2006 01 01 19 00 195 16.7 20.0  6.50 10.81  8.08 999  988.9  12.4  11.6 999.0 99.0 99.00
2006 01 01 20 00 190 15.7 19.1  6.36 12.12  8.19 999  989.5  12.4  11.6 999.0 99.0 99.00
2006 01 01 21 00 190 14.8 18.9  6.51 11.43  8.32 999  990.3  12.4  11.6 999.0 99.0 99.00
2006 01 01 22 00 192 14.3 18.8  5.75 11.43  7.87 999  991.0  12.3  11.6 999.0 99.0 99.00
2006 01 01 23 00 188 13.7 16.5  5.37 11.43  7.99 999  992.0  12.3  11.6 999.0 99.0 99.00
2006 01 02 00 00 187 12.4 14.8  6.17 12.90  8.72 999  993.3  12.3  11.6 999.0 99.0 99.00
2006 01 02 01 00 187 11.5 14.6  5.47 12.90  8.26 999  993.9  12.2  11.7 999.0 99.0 99.00
2006 01 02 02 00 193  9.7 12.0  5.96 13.79  9.09 999  994.4  12.0  11.7 999.0 99.0 99.00
2006 01 02 03 00 198  7.7 10.4  5.67 13.79  8.82 999  994.6  12.0  11.7 999.0 99.0 99.00
2006 01 02 04 00 186  6.7  8.0  5.89 13.79  9.26 999  994.9  12.0  11.7 999.0 99.0 99.00
2006 01 02 05 00 157  5.8  7.2  5.52 13.79  9.13 999  994.9  11.9  11.7 999.0 99.0 99.00
2006 01 02 06 00 177  8.9 11.9  5.93 14.81  9.46 999  996.4   9.7  11.7 999.0 99.0 99.00
2006 01 02 07 00 167  7.7  9.6  4.95 13.79  8.85 999  996.7   9.7  11.8 999.0 99.0 99.00
2006 01 02 08 00 200  7.8  9.5  5.05 12.90  9.01 999  996.9   9.5  11.7 999.0 99.0 99.00
2006 01 02 09 00 177  6.9  8.0  5.00 13.79  9.20 999  997.2   8.6  11.8 999.0 99.0 99.00
2006 01 02 10 00 193  5.5  7.1  4.95 10.81  9.20 999  997.3   9.1  11.8 999.0 99.0 99.00
2006 01 02 11 00 287  4.9  6.6  4.65 13.79  9.26 999  998.1   8.9  11.8 999.0 99.0 99.00
2006 01 02 12 00 289  3.5  5.2  4.92 12.90  9.62 999  998.5   9.0  11.7 999.0 99.0 99.00
2006 01 02 13 00 318  3.1  4.7  4.76 12.12  9.23 999  999.4   8.9  11.7 999.0 99.0 99.00
2006 01 02 14 00 320  1.9  3.3  4.68 11.43  9.43 999  999.9   8.6  11.7 999.0 99.0 99.00
2006 01 02 15 00 287  0.9  2.4  4.69 13.79  9.53 999 1000.7   8.8  11.7 999.0 99.0 99.00
2006 01 02 16 00 234  1.2  3.0  4.69 12.90  9.48 999 1001.3   8.9  11.7 999.0 99.0 99.00
2006 01 02 17 00 294  2.5  4.0  5.01 14.81  9.45 999 1002.4   9.3  11.7 999.0 99.0 99.00
2006 01 02 18 00 112  1.1  2.7  4.81 11.43  9.07 999 1003.0   9.2  11.7 999.0 99.0 99.00
2006 01 02 19 00 248  1.4  3.1  4.94 12.90  9.12 999 1004.0   9.6  11.7 999.0 99.0 99.00
2006 01 02 20 00 245  4.8  6.8  4.46 10.81  8.75 999 1003.9   9.9  11.8 999.0 99.0 99.00
2006 01 02 21 00 243  4.7  6.6  5.47 12.90  9.23 999 1003.8  10.0  11.8 999.0 99.0 99.00
2006 01 02 22 00 241  4.4  5.6  5.01 12.90  9.39 999 1004.2  10.3  11.8 999.0 99.0 99.00
2006 01 02 23 00 244  3.7  5.6  5.26 13.79  9.67 999 1004.9  10.7  11.9 999.0 99.0 99.00
2006 01 03 00 00 226  2.9  4.9  4.27 10.81  8.98 999 1005.7  10.6  11.8 999.0 99.0 99.00
2006 01 03 01 00 205  4.0  5.1  4.11 12.90  8.98 999 1006.2  10.5  11.8 999.0 99.0 99.00
2006 01 03 02 00 214  4.6  6.0  4.29 12.90  9.49 999 1006.5  10.5  11.8 999.0 99.0 99.00
2006 01 03 03 00 204  3.8  5.2  3.83 12.90  9.03 999 1006.8  10.5  11.8 999.0 99.0 99.00
2006 01 03 04 00 182  4.6  5.6  4.09 14.81  9.71 999 1007.0  10.5  11.8 999.0 99.0 99.00
2006 01 03 05 00 190  6.5  7.6  3.43 11.43  8.90 999 1007.6  10.7  11.8 999.0 99.0 99.00
2006 01 03 06 00 193  7.1  8.2  3.78 13.79  9.11 999 1007.9  10.8  11.8 999.0 99.0 99.00
2006 01 03 07 00 186  8.6 10.4  3.63 13.79  8.45 999 1008.2  10.8  11.7 999.0 99.0 99.00
2006 01 03 08 00 168  9.4 11.4  3.74 14.81  8.26 999 1008.0  10.3  11.7 999.0 99.0 99.00
2006 01 03 09 00 163 11.2 14.0  4.04 12.12  8.01 999 1007.6  10.0  11.7 999.0 99.0 99.00
2006 01 03 10 00 157 11.2 14.0  3.73 14.81  7.16 999 1007.0  10.0  11.7 999.0 99.0 99.00
2006 01 03 11 00 161 11.7 14.7  3.78 12.90  7.40 999 1007.2  10.1  11.7 999.0 99.0 99.00
2006 01 03 12 00 162 12.7 15.5  3.88 14.81  7.29 999 1006.7  10.3  11.7 999.0 99.0 99.00
2006 01 03 13 00 158 13.4 15.8  3.74 14.81  6.86 999 1006.1  10.7  11.7 999.0 99.0 99.00
2006 01 03 14 00 156 14.7 18.4  3.69 14.81  6.62 999 1005.5  10.8  11.7 999.0 99.0 99.00
2006 01 03 15 00 160 13.6 17.1  4.07 13.79  6.87 999 1005.1  11.1  11.7 999.0 99.0 99.00
2006 01 03 16 00 164 14.4 17.6  4.20 12.12  6.59 999 1005.2  10.5  11.7 999.0 99.0 99.00
2006 01 03 17 00 167 14.3 17.2  4.02 14.81  6.85 999 1005.9   9.6  11.7 999.0 99.0 99.00
2006 01 03 18 00 163 15.0 18.3  5.05 10.00  7.40 999 1006.2   9.4  11.7 999.0 99.0 99.00
2006 01 03 19 00 154 15.9 19.9  5.30  9.09  7.44 999 1006.2   9.1  11.7 999.0 99.0 99.00
2006 01 03 20 00 179 16.7 20.9  5.55 10.81  7.51 999 1006.0  10.2  11.7 999.0 99.0 99.00
