#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 131  1.9  3.1  2.76 12.90  9.30 999 1025.6   8.9  10.3 999.0 99.0 99.00
2007 01 01 01 00 137  3.2  4.3  3.00 12.12  9.37 999 1025.5   9.1  10.3 999.0 99.0 99.00
2007 01 01 02 00 149  3.4  4.4  2.63 11.43  9.27 999 1025.8   9.2  10.3 999.0 99.0 99.00
2007 01 01 03 00 150  4.2  5.3  2.59 12.90  9.19 999 1025.9   9.4  10.3 999.0 99.0 99.00
2007 01 01 04 00 148  5.8  7.0  2.59 12.12  9.02 999 1025.3   9.6  10.3 999.0 99.0 99.00
2007 01 01 05 00 164  6.7  8.0  1.94 12.12  7.36 999 1025.3   9.9  10.3 999.0 99.0 99.00
2007 01 01 06 00 170  7.6  9.2  2.07 10.81  6.59 999 1025.9   9.6  10.3 999.0 99.0 99.00
2007 01 01 07 00 165  7.9  9.1  2.07 12.12  6.69 999 1025.8   9.5  10.3 999.0 99.0 99.00
2007 01 01 08 00 170  7.9  9.2  2.11 12.90  6.74 999 1026.2   9.5  10.3 999.0 99.0 99.00
2007 01 01 09 00 163  8.2  9.9  2.11 12.90  6.55 999 1026.3   9.5  10.3 999.0 99.0 99.00
2007 01 01 10 00 168  8.1  9.4  2.03 12.12  6.17 999 1026.1   9.6  10.3 999.0 99.0 99.00
2007 01 01 11 00 173  8.8 10.1  1.97 12.12  6.22 999 1026.5   9.6  10.3 999.0 99.0 99.00
2007 01 01 12 00 171  8.7 10.1  1.83 12.12  5.80 999 1026.4   9.6  10.3 999.0 99.0 99.00
2007 01 01 13 00 166  9.1 10.9  2.08 12.12  6.12 999 1025.9   9.6  10.3 999.0 99.0 99.00
2007 01 01 14 00 172  8.9 11.0  2.20 11.43  6.01 999 1026.0   9.7  10.3 999.0 99.0 99.00
2007 01 01 15 00 171  9.6 11.3  2.15 10.81  5.69 999 1025.8   9.7  10.3 999.0 99.0 99.00
2007 01 01 16 00 174 10.4 12.4  2.34 10.81  5.97 999 1025.7   9.9  10.4 999.0 99.0 99.00
2007 01 01 17 00 172 10.7 13.2  2.31 12.12  5.41 999 1025.7   9.8  10.5 999.0 99.0 99.00
2007 01 01 18 00 170 11.9 14.3  2.42 11.43  5.60 999 1025.3  10.0  10.6 999.0 99.0 99.00
2007 01 01 19 00 164 11.9 14.0  2.49 11.43  5.85 999 1024.8   9.8  10.6 999.0 99.0 99.00
2007 01 01 20 00 161 11.9 14.4  2.65 11.43  5.59 999 1023.0  10.2  10.7 999.0 99.0 99.00
2007 01 01 21 00 179 10.5 12.4  2.48 10.81  5.68 999 1023.2  10.8  10.7 999.0 99.0 99.00
2007 01 01 22 00 183  8.4 10.1  2.59 12.12  5.85 999 1023.8  11.0  10.7 999.0 99.0 99.00
2007 01 01 23 00 177  7.6  9.2  2.31 10.81  5.84 999 1023.7  10.8  10.7 999.0 99.0 99.00
2007 01 02 00 00 179  8.2  9.8  2.33 11.43  6.02 999 1023.9  11.1  10.7 999.0 99.0 99.00
2007 01 02 01 00 178  8.7 10.1  2.29 10.00  6.02 999 1023.9  11.1  10.7 999.0 99.0 99.00
2007 01 02 02 00 175  8.5  9.9  2.30 12.12  6.07 999 1023.8  10.9  10.7 999.0 99.0 99.00
2007 01 02 03 00 180  8.9 10.9  2.48 11.43  5.87 999 1022.7  11.0  10.7 999.0 99.0 99.00
2007 01 02 04 00 177 11.1 13.2  2.77 11.43  5.98 999 1021.1  10.8  10.7 999.0 99.0 99.00
2007 01 02 05 00 187 11.6 14.2  2.76 10.81  5.81 999 1021.2  10.8  10.7 999.0 99.0 99.00
2007 01 02 06 00 186 11.0 13.8  2.61 10.81  5.52 999 1021.5  10.9  10.7 999.0 99.0 99.00
2007 01 02 07 00 182 11.5 13.8  2.86 10.81  5.97 999 1020.9  10.9  10.7 999.0 99.0 99.00
2007 01 02 08 00 182 12.1 14.2  2.95 11.43  5.80 999 1020.4  10.9  10.7 999.0 99.0 99.00
2007 01 02 09 00 178 12.9 15.6  3.18 10.81  6.01 999 1019.1  10.9  10.8 999.0 99.0 99.00
2007 01 02 10 00 185 12.5 15.7  3.45 10.00  6.27 999 1019.7  11.0  10.7 999.0 99.0 99.00
2007 01 02 11 00 183 13.1 15.3  3.48 12.90  6.31 999 1019.5  11.1  10.7 999.0 99.0 99.00
2007 01 02 12 00 186 12.6 14.7  3.68 12.12  6.50 999 1018.8  11.2  10.8 999.0 99.0 99.00
2007 01 02 13 00 176 15.7 19.1  3.72  9.09  6.11 999 1016.0  11.1  10.9 999.0 99.0 99.00
2007 01 02 14 00 184 12.8 15.6  3.65 10.81  6.32 999 1017.5  11.2  10.8 999.0 99.0 99.00
2007 01 02 15 00 181 13.9 16.5  3.77 12.12  6.75 999 1017.0  11.0  10.8 999.0 99.0 99.00
2007 01 02 16 00 189 13.1 15.6  4.09 11.43  6.76 999 1017.3  11.2  10.8 999.0 99.0 99.00
2007 01 02 17 00 192 13.3 16.0  3.63 10.81  6.36 999 1017.4  11.4  10.8 999.0 99.0 99.00
2007 01 02 18 00 189 13.4 16.3  3.77 11.43  6.34 999 1016.5  11.4  10.8 999.0 99.0 99.00
2007 01 02 19 00 187 14.2 17.9  3.52  8.33  6.16 999 1015.5  11.7  10.8 999.0 99.0 99.00
2007 01 02 20 00 189 13.6 17.1  4.22 10.81  6.75 999 1014.8  11.6  10.8 999.0 99.0 99.00
2007 01 02 21 00 197 12.5 14.7  3.83  9.09  6.56 999 1014.4  11.4  10.8 999.0 99.0 99.00
2007 01 02 22 00 200 12.5 15.9  4.13 11.43  6.97 999 1013.5  11.5  10.8 999.0 99.0 99.00
2007 01 02 23 00 206 12.1 15.5  4.36 12.90  7.20 999 1013.2  11.5  10.8 999.0 99.0 99.00
2007 01 03 00 00 214 10.4 12.6  4.50 10.81  7.24 999 1013.5  11.5  10.9 999.0 99.0 99.00
2007 01 03 01 00 212  7.3  9.4  4.63 12.12  7.88 999 1013.2  11.4  10.9 999.0 99.0 99.00
2007 01 03 02 00 212  7.8  9.3  4.70 12.90  8.00 999 1012.9  11.3  10.9 999.0 99.0 99.00
2007 01 03 03 00 209  6.4  7.9  4.55 12.12  8.10 999 1012.3  11.2  10.9 999.0 99.0 99.00
2007 01 03 04 00 211  6.0  7.5  4.87 12.12  8.27 999 1012.0  11.1  10.9 999.0 99.0 99.00
2007 01 03 05 00 211  5.8  7.2  5.31 12.90  8.71 999 1011.2  11.0  10.9 999.0 99.0 99.00
2007 01 03 06 00 206  5.1  6.0  4.50 12.90  8.25 999 1010.0  11.0  10.9 999.0 99.0 99.00
2007 01 03 07 00 227  5.0  6.2  3.82 12.90  7.55 999 1009.6  10.9  10.9 999.0 99.0 99.00
2007 01 03 08 00 219  4.7  6.2  4.27 16.00  8.39 999 1008.7  10.8  10.9 999.0 99.0 99.00
2007 01 03 09 00 222  4.3  5.6  3.85 14.81  8.13 999 1007.9  10.6  10.9 999.0 99.0 99.00
2007 01 03 10 00 265  5.0  7.2  4.06 13.79  8.28 999 1007.7  10.4  10.9 999.0 99.0 99.00
2007 01 03 11 00 269  6.0  7.5  4.07 13.79  8.83 999 1007.6  10.3  10.8 999.0 99.0 99.00
2007 01 03 12 00 258  3.6  4.9  3.77 13.79  8.27 999 1006.8  10.2  10.9 999.0 99.0 99.00
2007 01 03 13 00 246  4.7  6.2  3.95 13.79  8.97 999 1006.4  10.2  10.9 999.0 99.0 99.00
2007 01 03 14 00 254  6.4  8.4  4.30 13.79  9.25 999 1006.0  10.2  10.8 999.0 99.0 99.00
2007 01 03 15 00 258  7.2  8.8  3.81 13.79  8.63 999 1006.4  10.4  10.9 999.0 99.0 99.00
2007 01 03 16 00 260  6.9  9.0  4.31 13.79  8.61 999 1006.7  10.5  10.8 999.0 99.0 99.00
2007 01 03 17 00 268  7.7 10.4  4.84 12.12  8.71 999 1007.5  10.6  10.8 999.0 99.0 99.00
2007 01 03 18 00 277  7.2  9.2  4.76 12.90  8.78 999 1009.0   9.7  10.9 999.0 99.0 99.00
2007 01 03 19 00 259  6.1  7.9  5.17 12.90  8.88 999 1009.1   9.7  10.9 999.0 99.0 99.00
2007 01 03 20 00 259  8.3 10.2  4.30 12.90  8.09 999 1009.4  10.0  10.9 999.0 99.0 99.00
2007 01 03 21 00 269  7.9 10.4  4.24 11.43  7.89 999 1009.1   9.7  10.9 999.0 99.0 99.00
2007 01 03 22 00 268  8.5 10.3  4.18 12.12  7.78 999 1009.6  10.3  10.9 999.0 99.0 99.00
2007 01 03 23 00 261  7.6  9.6  3.77 12.90  7.46 999 1010.3  10.5  10.9 999.0 99.0 99.00
2007 01 04 00 00 261  6.9  8.5  3.58 12.90  7.57 999 1011.3  10.6  10.9 999.0 99.0 99.00
2007 01 04 01 00 271  7.6  9.3  3.37 11.43  7.18 999 1012.0  10.4  10.9 999.0 99.0 99.00
2007 01 04 02 00 283  6.6  8.0  3.16 12.90  7.27 999 1012.7  10.3  10.9 999.0 99.0 99.00
2007 01 04 03 00 286  6.5  8.0  3.26 12.90  7.21 999 1013.1  10.2  10.9 999.0 99.0 99.00
2007 01 04 04 00 277  5.3  6.9  3.54 11.43  7.88 999 1013.6  10.2  10.8 999.0 99.0 99.00
2007 01 04 05 00 257  5.2  6.5  3.15 12.90  7.52 999 1013.9  10.1  10.8 999.0 99.0 99.00
2007 01 04 06 00 237  5.4  6.6  3.33 16.00  8.16 999 1013.7  10.1  10.8 999.0 99.0 99.00
2007 01 04 07 00 237  3.9  5.7  3.60 12.90  8.42 999 1013.9   9.2  10.8 999.0 99.0 99.00
2007 01 04 08 00 220 10.0 11.8  3.36 14.81  7.57 999 1013.6   9.5  10.8 999.0 99.0 99.00
2007 01 04 09 00 222 10.8 13.0  3.69 13.79  7.17 999 1013.0   9.1  10.9 999.0 99.0 99.00
2007 01 04 10 00 223  9.3 11.9  4.02 14.81  7.65 999 1013.1   9.5  10.9 999.0 99.0 99.00
2007 01 04 11 00 224  9.1 11.1  4.11 12.90  7.86 999 1013.3   8.7  10.9 999.0 99.0 99.00
2007 01 04 12 00 257  7.5 10.0  4.15 12.90  8.15 999 1013.4   8.6  10.9 999.0 99.0 99.00
2007 01 04 13 00 279 11.3 13.9  4.76 13.79  8.60 999 1013.4   8.6  10.9 999.0 99.0 99.00
2007 01 04 14 00 304 13.1 15.5  3.99 12.90  7.11 999 1014.5   6.9  10.8 999.0 99.0 99.00
2007 01 04 15 00 305 10.2 13.3  4.34 13.79  7.47 999 1015.6   7.4  10.8 999.0 99.0 99.00
2007 01 04 16 00 290  9.9 12.7  4.32 12.90  7.67 999 1016.7   6.4  10.8 999.0 99.0 99.00
2007 01 04 17 00 306  8.6 11.7  3.98 16.00  7.09 999 1018.2   5.9  10.8 999.0 99.0 99.00
2007 01 04 18 00 303 11.1 15.5  3.81 16.00  7.84 999 1018.9   7.6  10.8 999.0 99.0 99.00
2007 01 04 19 00 305 12.0 15.0  3.89 17.39  7.19 999 1020.1   7.7  10.8 999.0 99.0 99.00
2007 01 04 20 00 333 11.2 13.3  4.21 16.00  7.12 999 1021.4   6.3  10.8 999.0 99.0 99.00
2007 01 04 21 00 313 12.0 14.1  4.65 14.81  7.82 999 1021.7   8.2  10.8 999.0 99.0 99.00
2007 01 04 22 00 315 11.4 15.0  4.80 14.81  8.22 999 1022.7   7.9  10.8 999.0 99.0 99.00
2007 01 04 23 00 325 12.4 15.6  4.90 14.81  8.11 999 1024.1   7.3  10.8 999.0 99.0 99.00
2007 01 05 00 00 328 11.2 13.6  4.77 14.81  8.11 999 1025.4   7.6  10.9 999.0 99.0 99.00
2007 01 05 01 00 319 11.8 15.0  5.54 12.12  8.39 999 1026.3   8.1  10.8 999.0 99.0 99.00
2007 01 05 02 00 336 10.7 15.9  5.05 11.43  7.82 999 1027.4   7.3  10.7 999.0 99.0 99.00
2007 01 05 03 00 317  9.6 12.9  5.55 11.43  8.56 999 1028.3   7.9  10.7 999.0 99.0 99.00
2007 01 05 04 00 302  8.5 11.2  5.19 13.79  8.34 999 1029.2   8.0  10.7 999.0 99.0 99.00
2007 01 05 05 00 329  5.2  7.3  4.85 14.81  8.18 999 1029.9   7.6  10.7 999.0 99.0 99.00
2007 01 05 06 00 315  7.1  8.6  4.78 13.79  8.25 999 1030.5   7.9  10.7 999.0 99.0 99.00
2007 01 05 07 00 299  6.6  8.8  4.33 13.79  8.01 999 1031.3   8.3  10.7 999.0 99.0 99.00
2007 01 05 08 00 310  6.2  7.8  4.53 12.90  7.93 999 1031.7   7.8  10.7 999.0 99.0 99.00
2007 01 05 09 00 302  2.4  4.0  4.07 12.90  8.46 999 1032.0   7.5  10.7 999.0 99.0 99.00
2007 01 05 10 00 246  6.5 10.3  4.05 14.81  8.04 999 1032.2   7.9  10.7 999.0 99.0 99.00
2007 01 05 11 00 209  4.6  5.8  3.87 12.12  8.28 999 1032.9   7.8  10.6 999.0 99.0 99.00
2007 01 05 12 00 168  2.2  3.6  3.72 12.12  8.44 999 1033.0   7.5  10.6 999.0 99.0 99.00
2007 01 05 13 00 222  7.2  8.7  4.05 13.79  8.89 999 1032.6   8.7  10.6 999.0 99.0 99.00
2007 01 05 14 00 204  8.9 10.8  4.44 13.79  9.28 999 1032.5   8.7  10.6 999.0 99.0 99.00
2007 01 05 15 00 201  9.8 11.4  3.95 13.79  8.34 999 1032.3   8.6  10.6 999.0 99.0 99.00
2007 01 05 16 00 190 10.5 12.8  4.27 13.79  8.12 999 1031.7   8.7  10.6 999.0 99.0 99.00
2007 01 05 17 00 195 12.0 15.0  4.34 12.90  7.80 999 1031.8   8.7  10.7 999.0 99.0 99.00
2007 01 05 18 00 198 12.4 14.9  4.09 12.90  7.19 999 1031.8   8.7  10.7 999.0 99.0 99.00
2007 01 05 19 00 206 13.5 16.7  4.94 12.90  7.85 999 1031.3   9.0  10.8 999.0 99.0 99.00
2007 01 05 20 00 200 13.5 16.4  4.81 12.12  7.26 999 1030.5   8.8  10.8 999.0 99.0 99.00
2007 01 05 21 00 205 12.0 14.2  4.60 12.12  7.28 999 1029.6   9.2  10.8 999.0 99.0 99.00
2007 01 05 22 00 199 10.4 12.5  4.42 12.90  7.71 999 1029.1   9.5  10.8 999.0 99.0 99.00
2007 01 05 23 00 209 12.6 15.6  4.00 14.81  6.91 999 1029.1   9.5  10.9 999.0 99.0 99.00
2007 01 06 00 00 205 10.9 14.0  4.36 13.79  7.28 999 1029.1  10.0  10.9 999.0 99.0 99.00
2007 01 06 01 00 216 12.1 14.9  4.10 13.79  7.02 999 1028.9  10.6  10.9 999.0 99.0 99.00
2007 01 06 02 00 214 11.0 12.9  4.12 12.90  7.00 999 1028.3  10.0  10.9 999.0 99.0 99.00
2007 01 06 03 00 217 12.0 14.5  3.84 13.79  6.98 999 1027.7  10.3  10.9 999.0 99.0 99.00
2007 01 06 04 00 216 13.6 15.8  4.15 12.90  7.12 999 1026.7  10.3  10.9 999.0 99.0 99.00
2007 01 06 05 00 215 13.7 16.9  4.30 11.43  7.11 999 1025.3  10.1  10.8 999.0 99.0 99.00
2007 01 06 06 00 226 13.2 17.1  5.17 13.79  7.92 999 1025.6  10.1  10.8 999.0 99.0 99.00
2007 01 06 07 00 229 14.3 18.5  5.43 12.90  7.79 999 1025.0  10.1  10.8 999.0 99.0 99.00
2007 01 06 08 00 236 15.1 19.3  5.62 12.90  7.90 999 1024.3  10.1  10.8 999.0 99.0 99.00
2007 01 06 09 00 247 13.6 16.6  6.05 12.90  8.17 999 1024.4  10.4  10.8 999.0 99.0 99.00
2007 01 06 10 00 263 13.6 16.4  6.76 12.90  8.83 999 1024.6  10.6  10.9 999.0 99.0 99.00
2007 01 06 11 00 301  9.7 12.2  5.84 11.43  8.32 999 1026.2  10.4  10.8 999.0 99.0 99.00
2007 01 06 12 00 295  9.7 12.2  6.23 12.90  8.96 999 1027.0  10.2  10.8 999.0 99.0 99.00
2007 01 06 13 00 302  8.0 10.4  5.78 14.81  8.57 999 1027.2  10.1  10.8 999.0 99.0 99.00
2007 01 06 14 00 300  7.8 10.0  6.20 12.12  8.76 999 1027.8  10.0  10.8 999.0 99.0 99.00
2007 01 06 15 00 307  6.8  9.3  6.08 12.90  9.09 999 1028.9  10.0  10.8 999.0 99.0 99.00
2007 01 06 16 00 297  6.7  9.0  5.41 14.81  8.98 999 1029.6   9.9  10.7 999.0 99.0 99.00
2007 01 06 17 00 302  6.0  8.4  6.25 14.81  9.63 999 1030.8   9.7  10.7 999.0 99.0 99.00
2007 01 06 18 00 270  7.8 10.3  5.52 13.79  9.18 999 1031.5   9.3  10.7 999.0 99.0 99.00
2007 01 06 19 00 244  2.7  4.6  5.65 14.81  9.54 999 1032.2   9.3  10.7 999.0 99.0 99.00
2007 01 06 20 00 210  3.5  4.5  5.34 14.81  9.66 999 1032.2   9.4  10.7 999.0 99.0 99.00
2007 01 06 21 00 223  3.4  5.1  5.23 14.81  9.84 999 1032.4   9.7  10.7 999.0 99.0 99.00
2007 01 06 22 00 200  4.1  4.9  6.37 14.81 10.87 999 1031.9   9.8  10.8 999.0 99.0 99.00
2007 01 06 23 00 194  4.0  5.3  5.67 14.81 10.07 999 1031.9   9.9  10.8 999.0 99.0 99.00
2007 01 07 00 00 206  6.1  7.9  5.41 12.90  9.91 999 1032.3  10.4  10.8 999.0 99.0 99.00
2007 01 07 01 00 224  7.8 10.0  5.14 14.81  9.54 999 1032.9   9.5  10.7 999.0 99.0 99.00
2007 01 07 02 00 200  6.3  8.3  5.39 13.79  9.65 999 1033.1   8.7  10.7 999.0 99.0 99.00
2007 01 07 03 00 196  6.6  8.1  5.13 12.12  9.73 999 1032.7   9.5  10.7 999.0 99.0 99.00
2007 01 07 04 00 193 10.0 11.6  4.78 11.43  9.03 999 1032.6   9.5  10.7 999.0 99.0 99.00
2007 01 07 05 00 200 10.1 12.6  4.71 12.90  8.63 999 1032.1   9.8  10.7 999.0 99.0 99.00
2007 01 07 06 00 257  7.2  9.5  4.58 14.81  8.44 999 1032.9  10.1  10.7 999.0 99.0 99.00
