#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 07 07 00 238  7.6  9.5  4.56 12.90  8.39 999 1033.2  10.6  10.7 999.0 99.0 99.00
2007 01 07 08 00 226  8.9 10.6  4.51 12.90  8.41 999 1032.7  10.7  10.7 999.0 99.0 99.00
2007 01 07 09 00 223  8.1  9.9  4.75 16.00  9.20 999 1032.8  10.8  10.7 999.0 99.0 99.00
2007 01 07 10 00 218  8.7 10.3  4.34 13.79  8.51 999 1032.8  11.0  10.7 999.0 99.0 99.00
2007 01 07 11 00 214  9.9 12.7  4.05 16.00  8.46 999 1033.1  10.9  10.7 999.0 99.0 99.00
2007 01 07 12 00 208 10.2 12.5  4.09 16.00  8.15 999 1033.1  11.0  10.7 999.0 99.0 99.00
2007 01 07 13 00 212 10.1 12.5  4.51 14.81  8.47 999 1033.5  11.1  10.7 999.0 99.0 99.00
2007 01 07 14 00 213 10.1 13.5  4.25 14.81  8.44 999 1033.5  11.1  10.7 999.0 99.0 99.00
2007 01 07 15 00 222 10.6 12.8  4.14 16.00  8.15 999 1033.6  11.3  10.7 999.0 99.0 99.00
2007 01 07 16 00 211 12.1 14.5  4.72 14.81  8.20 999 1032.8  11.3  10.7 999.0 99.0 99.00
2007 01 07 17 00 213 11.6 14.3  4.60 16.00  8.28 999 1033.5  11.3  10.7 999.0 99.0 99.00
2007 01 07 18 00 215 11.7 15.6  4.59 16.00  7.93 999 1034.1  11.4  10.7 999.0 99.0 99.00
2007 01 07 19 00 216 12.4 15.3  5.11 14.81  8.24 999 1034.2  11.0  10.7 999.0 99.0 99.00
2007 01 07 20 00 217 13.0 16.2  5.34 14.81  8.31 999 1033.9  10.4  10.7 999.0 99.0 99.00
2007 01 07 21 00 223 11.8 14.7  5.65 14.81  8.49 999 1033.7  10.5  10.7 999.0 99.0 99.00
2007 01 07 22 00 232 10.8 13.2  5.44 10.81  8.25 999 1033.7  10.6  10.7 999.0 99.0 99.00
2007 01 07 23 00 228  9.9 11.8  5.62 14.81  8.83 999 1033.6  10.6  10.7 999.0 99.0 99.00
2007 01 08 00 00 239  8.8 10.5  5.36 17.39  8.76 999 1033.9  10.7  10.7 999.0 99.0 99.00
2007 01 08 01 00 244  8.3 10.1  5.85 16.00  9.68 999 1034.2  10.8  10.7 999.0 99.0 99.00
2007 01 08 02 00 247  7.7  9.9  6.01 14.81 10.12 999 1034.5  10.9  10.7 999.0 99.0 99.00
2007 01 08 03 00 252  7.0  8.8  5.80 16.00  9.74 999 1035.0  10.9  10.7 999.0 99.0 99.00
2007 01 08 04 00 304  5.1  7.6  6.23 16.00 10.24 999 1035.5  10.2  10.7 999.0 99.0 99.00
2007 01 08 05 00 261  2.9  4.8  5.37 17.39 10.08 999 1035.9  10.3  10.7 999.0 99.0 99.00
2007 01 08 06 00 252  2.6  4.5  5.74 16.00 10.23 999 1036.6  10.4  10.7 999.0 99.0 99.00
2007 01 08 07 00 222  3.5  5.3  5.26 16.00 10.19 999 1036.7  10.2  10.7 999.0 99.0 99.00
2007 01 08 08 00 209  4.6  6.0  5.67 12.90 10.57 999 1036.5  10.1  10.7 999.0 99.0 99.00
2007 01 08 09 00 251  3.2  4.9  6.33 13.79 11.09 999 1036.7  10.3  10.7 999.0 99.0 99.00
2007 01 08 10 00 245  3.4  5.4  6.40 14.81 11.09 999 1036.7  10.4  10.8 999.0 99.0 99.00
2007 01 08 11 00 251  3.2  5.4  6.26 14.81 11.00 999 1036.9   9.9  10.8 999.0 99.0 99.00
2007 01 08 12 00 240  2.6  4.3  6.57 13.79 11.31 999 1036.6  10.0  10.8 999.0 99.0 99.00
2007 01 08 13 00 239  2.6  4.8  6.28 17.39 10.99 999 1036.7  10.1  10.7 999.0 99.0 99.00
2007 01 08 14 00 221  2.0  3.5  6.44 14.81 10.60 999 1036.5  10.1  10.8 999.0 99.0 99.00
2007 01 08 15 00 225  1.6  3.4  6.79 16.00 10.77 999 1036.6   9.8  10.8 999.0 99.0 99.00
2007 01 08 16 00 203  3.5  4.5  6.67 14.81 10.79 999 1036.7  10.0  10.8 999.0 99.0 99.00
2007 01 08 17 00 198  2.6  3.7  5.80 16.00 10.10 999 1037.1  10.4  10.8 999.0 99.0 99.00
2007 01 08 18 00 195  3.4  4.8  5.06 12.90  9.66 999 1037.2  10.5  10.8 999.0 99.0 99.00
2007 01 08 19 00 191  4.7  5.7  5.04 17.39  9.81 999 1036.8  10.6  10.8 999.0 99.0 99.00
2007 01 08 20 00 183  5.1  6.5  4.44 13.79  9.63 999 1035.9  10.4  10.8 999.0 99.0 99.00
2007 01 08 21 00 183  5.2  6.2  4.49 16.00  9.97 999 1035.3  10.4  10.8 999.0 99.0 99.00
2007 01 08 22 00 198  4.0  5.0  4.16 16.00  9.74 999 1035.1  10.3  10.8 999.0 99.0 99.00
2007 01 08 23 00 186  4.0  5.1  4.63 16.00 10.68 999 1034.1  10.3  10.8 999.0 99.0 99.00
2007 01 09 00 00 181  4.5  6.3  3.76 16.00  9.97 999 1033.2  10.0  10.8 999.0 99.0 99.00
2007 01 09 01 00 191  3.2  3.9  4.47 14.81 10.65 999 1032.8   9.9  10.8 999.0 99.0 99.00
2007 01 09 02 00 184  2.2  3.0  4.21 13.79 10.45 999 1032.3   9.9  10.8 999.0 99.0 99.00
2007 01 09 03 00 198  1.6  2.4  4.00 12.90 10.14 999 1031.9   9.8  10.8 999.0 99.0 99.00
2007 01 09 04 00 181  1.7  2.9  3.83 13.79 10.16 999 1031.3   9.9  10.8 999.0 99.0 99.00
2007 01 09 05 00 140  1.2  2.9  4.05 12.90 10.16 999 1030.9   9.8  10.8 999.0 99.0 99.00
2007 01 09 06 00 193  1.9  2.8  4.04 13.79 10.10 999 1030.4   9.7  10.8 999.0 99.0 99.00
2007 01 09 07 00 167  2.4  3.4  3.63 12.12  9.45 999 1029.8   9.3  10.8 999.0 99.0 99.00
2007 01 09 08 00 202  1.8  2.8  3.78 12.12  9.57 999 1029.0   8.9  10.8 999.0 99.0 99.00
2007 01 09 09 00 209  1.7  3.0  3.53 11.43  9.21 999 1027.9   8.5  10.8 999.0 99.0 99.00
2007 01 09 10 00 161  2.0  3.0  3.51 10.00  9.12 999 1026.9   7.9  10.8 999.0 99.0 99.00
2007 01 09 11 00 152  2.6  3.8  2.60 11.43  8.23 999 1026.1   7.7  10.7 999.0 99.0 99.00
2007 01 09 12 00 153  2.3  3.1  2.47 14.81  8.01 999 1025.2   7.5  10.7 999.0 99.0 99.00
2007 01 09 13 00 164  2.7  3.7  2.80 13.79  9.26 999 1024.2   7.7  10.7 999.0 99.0 99.00
2007 01 09 14 00 184  3.1  3.9  2.63 13.79  9.03 999 1023.3   7.3  10.7 999.0 99.0 99.00
2007 01 09 15 00 178  4.3  5.5  2.42 13.79  8.96 999 1022.6   7.6  10.7 999.0 99.0 99.00
2007 01 09 16 00 176  6.2  7.6  2.40 12.90  8.64 999 1021.1   8.0  10.7 999.0 99.0 99.00
2007 01 09 17 00 187  6.6  8.3  2.30 12.90  7.81 999 1020.5   8.4  10.7 999.0 99.0 99.00
2007 01 09 18 00 187  9.0 10.7  2.42 12.90  7.45 999 1019.7   9.1  10.7 999.0 99.0 99.00
2007 01 09 19 00 197 10.3 11.7  2.21 13.79  6.26 999 1019.3   9.6  10.8 999.0 99.0 99.00
2007 01 09 20 00 215 11.4 13.7  2.64 13.79  6.25 999 1019.1   9.3  10.8 999.0 99.0 99.00
2007 01 09 21 00 215 11.0 13.1  2.66 12.90  6.03 999 1018.0   9.8  10.8 999.0 99.0 99.00
2007 01 09 22 00 208 11.2 13.3  3.03 12.90  6.15 999 1017.0  10.2  10.8 999.0 99.0 99.00
2007 01 09 23 00 204 10.9 13.6  3.27 10.81  6.38 999 1016.4  10.4  10.8 999.0 99.0 99.00
2007 01 10 00 00 265  9.9 12.5  3.31 12.12  6.47 999 1016.7   8.9  10.8 999.0 99.0 99.00
2007 01 10 01 00 291  9.7 12.5  3.80  9.09  6.71 999 1016.9   7.8  10.8 999.0 99.0 99.00
2007 01 10 02 00 290  9.2 10.6  3.83 10.00  6.87 999 1017.5   6.8  10.8 999.0 99.0 99.00
2007 01 10 03 00 312 10.6 13.8  3.57 10.81  6.82 999 1017.5   8.2  10.7 999.0 99.0 99.00
2007 01 10 04 00 305 10.9 13.9  3.62 10.00  6.78 999 1018.0   7.5  10.7 999.0 99.0 99.00
2007 01 10 05 00 299 12.0 14.6  3.92 10.81  6.70 999 1018.1   7.0  10.7 999.0 99.0 99.00
2007 01 10 06 00 307  9.9 13.2  4.04 11.43  7.02 999 1018.6   6.7  10.6 999.0 99.0 99.00
2007 01 10 07 00 303 10.0 12.7  3.36 10.00  6.64 999 1018.9   7.3  10.6 999.0 99.0 99.00
2007 01 10 08 00 306  8.9 11.3  3.36 10.81  6.80 999 1019.3   7.0  10.6 999.0 99.0 99.00
2007 01 10 09 00 313  7.6 12.1  3.52 12.12  7.07 999 1019.4   5.7  10.5 999.0 99.0 99.00
2007 01 10 10 00 295  7.1 10.4  3.61 11.43  7.37 999 1019.3   6.9  10.5 999.0 99.0 99.00
2007 01 10 11 00 273  7.2  9.9  3.70 10.81  7.62 999 1019.1   7.0  10.5 999.0 99.0 99.00
2007 01 10 12 00 255  8.3 12.4  3.53 10.81  7.53 999 1019.0   7.1  10.5 999.0 99.0 99.00
