YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
2000 01 02 21 282  5.6  7.9  3.93 11.11  8.22 999 1022.9   7.2   9.8 999.0 99.0
2000 01 02 22 269  5.8  7.7  3.92 11.11  8.32 999 1023.3   7.7  10.2 999.0 99.0
2000 01 02 23 279  7.0  8.7  3.85 11.11  7.96 999 1023.8   7.5  10.2 999.0 99.0
2000 01 03 00 287  5.8  8.2  3.74 10.00  7.90 999 1024.6   7.1  10.2 999.0 99.0
2000 01 03 01 312  4.6  6.6  4.29 11.11  8.43 999 1025.2   7.5  10.2 999.0 99.0
2000 01 03 02 306  4.4  6.0  3.86 11.11  8.02 999 1025.8   7.4  10.2 999.0 99.0
2000 01 03 03 292  4.2  5.5  4.04 11.11  8.35 999 1026.4   7.4  10.2 999.0 99.0
2000 01 03 04 271  2.9  4.5  3.59 11.11  7.92 999 1026.7   7.4  10.2 999.0 99.0
2000 01 03 05 268  3.7  5.2  4.01 12.50  8.31 999 1026.9   7.5  10.2 999.0 99.0
2000 01 03 06 244  1.7  3.2  3.54 11.11  7.96 999 1027.2   7.5  10.2 999.0 99.0
2000 01 03 07 193  1.9  3.6  3.79 10.00  8.41 999 1027.4   7.5  10.2 999.0 99.0
2000 01 03 08 180  4.6  6.0  3.44 12.50  8.71 999 1027.4   7.9  10.2 999.0 99.0
2000 01 03 09 177  6.0  7.6  3.02 12.50  8.07 999 1027.1   8.2  10.2 999.0 99.0
2000 01 03 10 195  5.9  7.5  3.08 12.50  8.34 999 1027.0   8.5  10.2 999.0 99.0
2000 01 03 11 182  6.9  8.8  2.94 12.50  8.42 999 1026.9   8.6  10.2 999.0 99.0
2000 01 03 12 192  9.2 11.5  3.15 12.50  8.03 999 1026.5   8.9  10.2 999.0 99.0
2000 01 03 13 197  8.3 10.2  3.24 12.50  7.80 999 1026.3   9.5  10.2 999.0 99.0
2000 01 03 14 217  7.9  9.9  3.44 11.11  7.92 999 1026.3   9.7  10.2 999.0 99.0
2000 01 03 15 213  8.8 10.8  3.21 12.50  7.54 999 1026.2   9.5  10.2 999.0 99.0
2000 01 03 16 211  9.7 11.6  3.10 12.50  7.26 999 1026.2   9.9  10.2 999.0 99.0
2000 01 03 17 211  9.9 12.0  3.13 12.50  7.14 999 1026.0   9.7  10.2 999.0 99.0
2000 01 03 18 211 10.4 12.4  3.43 12.50  7.19 999 1026.4   9.7  10.2 999.0 99.0
2000 01 03 19 203 11.5 14.1  3.22 12.50  6.67 999 1026.3   9.7  10.2 999.0 99.0
2000 01 03 20 200 11.6 13.8  3.47 12.50  6.80 999 1025.5  10.2  10.2 999.0 99.0
2000 01 03 21 206 10.5 12.9  3.37 12.50  6.77 999 1025.1  10.2  10.2 999.0 99.0
2000 01 03 22 204 12.3 15.1  3.71  7.14  6.79 999 1024.1  10.2  10.2 999.0 99.0
2000 01 03 23 197 12.7 15.5  3.84  7.14  6.77 999 1023.1  10.5  10.2 999.0 99.0
2000 01 04 00 198 13.3 16.3  3.96  7.69  6.83 999 1023.0  10.3  10.2 999.0 99.0
2000 01 04 01 190 13.1 16.2  3.79  7.69  6.73 999 1022.2  10.4  10.2 999.0 99.0
2000 01 04 02 191 13.7 16.5  3.77  7.69  6.66 999 1021.1  10.5  10.2 999.0 99.0
2000 01 04 03 185 13.7 17.2  4.11  8.33  6.80 999 1020.1  10.5  10.2 999.0 99.0
2000 01 04 04 184 14.4 17.6  4.36  8.33  6.91 999 1019.0  10.2  10.2 999.0 99.0
2000 01 04 05 190 15.9 19.6  4.67  8.33  6.88 999 1018.1  10.2  10.2 999.0 99.0
2000 01 04 06 187 17.1 21.9  5.13  8.33  7.17 999 1016.9  10.2  10.2 999.0 99.0
2000 01 04 07 190 17.2 21.9  5.59  9.09  7.46 999 1016.4  10.2  10.2 999.0 99.0
2000 01 04 08 199 15.5 20.6  5.50  9.09  7.49 999 1017.3  10.2  10.2 999.0 99.0
2000 01 04 09 195 15.3 19.2  5.62 10.00  7.86 999 1016.8  10.3  10.2 999.0 99.0
2000 01 04 10 197 15.3 18.2  6.00 10.00  7.83 999 1016.3  10.3  10.2 999.0 99.0
2000 01 04 11 264  8.3 10.5  6.03 10.00  8.21 999 1018.7   9.7  10.2 999.0 99.0
2000 01 04 12 275  8.8 11.0  5.51 10.00  7.78 999 1019.4   9.7  10.2 999.0 99.0
2000 01 04 13 282  7.2  9.1  4.72 10.00  7.68 999 1020.0   9.5  10.2 999.0 99.0
2000 01 04 14 274  7.3  9.3  4.22 10.00  7.46 999 1020.8   9.2  10.2 999.0 99.0
2000 01 04 15 265  7.3  9.0  4.46 10.00  7.72 999 1021.8   9.5  10.2 999.0 99.0
2000 01 04 16 282  9.9 12.6  3.96 10.00  7.47 999 1022.7   9.8  10.2 999.0 99.0
2000 01 04 17 270  8.1 10.1  3.95 10.00  7.49 999 1024.0   9.5  10.2 999.0 99.0
2000 01 04 18 279  8.6 10.7  4.00  9.09  7.52 999 1025.1   9.6  10.1 999.0 99.0
2000 01 04 19 277  7.6 10.0  3.60 10.00  7.45 999 1026.4   9.0  10.1 999.0 99.0
2000 01 04 20 270  8.2 10.3  3.35 10.00  7.10 999 1026.7   9.5  10.2 999.0 99.0
2000 01 04 21 267  9.2 11.6  3.79 10.00  7.46 999 1027.3   9.4  10.2 999.0 99.0
2000 01 04 22 283  6.0  7.6  3.55 10.00  7.35 999 1028.0   9.0  10.2 999.0 99.0
2000 01 04 23 279  7.4  9.4  3.72 10.00  7.58 999 1028.3   9.4  10.2 999.0 99.0
2000 01 05 00 271  7.8 10.1  3.87 10.00  7.66 999 1028.9   9.5   9.8 999.0 99.0
2000 01 05 01 259  6.8  8.7  3.70 11.11  7.62 999 1029.8   8.7   9.8 999.0 99.0
2000 01 05 02 292  8.7 11.6  4.04 10.00  7.73 999 1030.2   9.5   9.9 999.0 99.0
2000 01 05 03 275  7.7 11.6  3.99 10.00  7.67 999 1030.4   9.2   9.9 999.0 99.0
2000 01 05 04 278  6.9  8.4  4.59 10.00  8.11 999 1031.0   8.9  10.0 999.0 99.0
2000 01 05 05 295  5.7  7.4  4.01 10.00  7.58 999 1031.0   8.2   9.9 999.0 99.0
2000 01 05 06 289  4.9  6.5  4.01 11.11  7.92 999 1031.5   8.6  10.0 999.0 99.0
2000 01 05 07 297  6.4  8.3  4.01 11.11  8.10 999 1032.0   9.0   9.8 999.0 99.0
2000 01 05 08 309  8.6 11.1  4.01 11.11  8.32 999 1032.6   8.5   9.9 999.0 99.0
2000 01 05 09 298  6.9  9.0  3.67 12.50  8.15 999 1032.6   8.9  10.0 999.0 99.0
2000 01 05 10 303  6.8  8.5  3.88 12.50  8.51 999 1033.1   8.8   9.9 999.0 99.0
2000 01 05 11 308  6.2  8.0  3.68 12.50  8.46 999 1033.5   8.9   9.8 999.0 99.0
2000 01 05 12 317  6.3  8.3  3.90 12.50  9.00 999 1033.7   9.0   9.8 999.0 99.0
2000 01 05 13 313  6.2  7.8  3.74 12.50  8.77 999 1033.9   8.7   9.8 999.0 99.0
2000 01 05 14 310  4.8  6.6  4.01 12.50  8.97 999 1034.2   8.9   9.8 999.0 99.0
2000 01 05 15 348  4.4  6.9  3.69 11.11  8.57 999 1034.5   8.0   9.8 999.0 99.0
2000 01 05 16 320  3.0  5.4  3.72 11.11  8.39 999 1034.4   8.0   9.7 999.0 99.0
2000 01 05 17 312  5.2  6.8  3.61 11.11  8.37 999 1034.7   8.4   9.7 999.0 99.0
2000 01 05 18 347  3.6  4.9  3.62 11.11  8.10 999 1035.1   8.6   9.8 999.0 99.0
2000 01 05 19   8  3.4  4.6  4.03 11.11  8.51 999 1035.1   8.6   9.8 999.0 99.0
2000 01 05 20 341  1.9  3.6  3.58 11.11  8.15 999 1035.1   8.7   9.8 999.0 99.0
2000 01 05 21   4  2.2  3.6  3.68 11.11  8.15 999 1034.7   8.6   9.8 999.0 99.0
2000 01 05 22  18  2.7  3.9  4.15 11.11  8.48 999 1034.5   8.3   9.8 999.0 99.0
2000 01 05 23  17  1.5  2.4  3.81 11.11  8.22 999 1034.2   8.6   9.8 999.0 99.0
2000 01 06 00  66  0.4  2.5  3.58 11.11  8.23 999 1034.2   8.4   9.8 999.0 99.0
2000 01 06 01  17  1.2  2.0  3.41 12.50  8.43 999 1034.1   8.5   9.8 999.0 99.0
2000 01 06 02  10  1.6  2.5  3.07 11.11  8.31 999 1033.9   8.6   9.8 999.0 99.0
2000 01 06 03 178  0.5  1.6  3.13 12.50  8.80 999 1033.5   8.2   9.7 999.0 99.0
2000 01 06 04  61  1.1  2.6  2.87 11.11  8.62 999 1033.2   8.2   9.7 999.0 99.0
2000 01 06 05  97  2.5  4.3  2.66 11.11  8.56 999 1032.2   8.2   9.8 999.0 99.0
2000 01 06 06  82  3.0  4.3  2.50 12.50  8.31 999 1031.4   7.9   9.7 999.0 99.0
2000 01 06 07  99  4.3  5.8  2.21 11.11  8.02 999 1030.8   7.8   9.7 999.0 99.0
2000 01 06 08  93  2.5  4.0  2.69 11.11  8.66 999 1030.8   7.4   9.8 999.0 99.0
2000 01 06 09  76  3.3  4.2  2.28 11.11  8.19 999 1030.2   7.1   9.8 999.0 99.0
2000 01 06 10  89  4.7  6.1  2.50 11.11  8.15 999 1029.6   7.1   9.8 999.0 99.0
2000 01 06 11  91  6.0  7.4  2.37 10.00  8.01 999 1028.9   6.9   9.8 999.0 99.0
2000 01 06 12 100  7.7  9.7  2.51 10.00  7.77 999 1027.1   6.6   9.8 999.0 99.0
2000 01 06 13 111  8.4 10.3  2.29 10.00  7.29 999 1025.7   6.6   9.8 999.0 99.0
2000 01 06 14 132  7.1  9.0  2.22 10.00  6.78 999 1025.3   7.1   9.8 999.0 99.0
2000 01 06 15 187  3.8  5.2  2.12 10.00  6.74 999 1025.8   7.9   9.8 999.0 99.0
2000 01 06 16 197  7.4  8.9  2.08  9.09  6.91 999 1025.5   7.5   9.8 999.0 99.0
2000 01 06 17 168  7.9  9.7  1.96 10.00  6.29 999 1024.9   7.4   9.8 999.0 99.0
2000 01 06 18 187  7.7  8.9  1.95 10.00  6.12 999 1025.3   7.8   9.8 999.0 99.0
2000 01 06 19 180  7.7  8.8  1.93 11.11  6.69 999 1025.6   7.9   9.8 999.0 99.0
2000 01 06 20 209  6.4  7.7  1.82 10.00  6.48 999 1025.3   8.9   9.8 999.0 99.0
2000 01 06 21 186  7.2  9.2  1.78 10.00  6.55 999 1024.2   9.0   9.8 999.0 99.0
2000 01 06 22 185  8.2  9.9  1.78 11.11  6.50 999 1024.1   8.9   9.8 999.0 99.0
2000 01 06 23 184  9.1 11.6  2.02 11.11  6.39 999 1023.8   9.0   9.8 999.0 99.0
2000 01 07 00 188  7.9  9.5  2.24 20.00  6.46 999 1024.2   8.8   9.8 999.0 99.0
2000 01 07 01 175 10.1 13.1  2.41 20.00  6.24 999 1023.9   8.9   9.8 999.0 99.0
2000 01 07 02 166 10.6 12.9  2.38 20.00  5.96 999 1024.1   8.6   9.8 999.0 99.0
2000 01 07 03 174  9.5 11.7  2.78 20.00  6.35 999 1024.3   8.9   9.8 999.0 99.0
2000 01 07 04 192 10.6 13.7  2.91  5.88  6.13 999 1024.5   9.5   9.8 999.0 99.0
2000 01 07 05 194  9.7 12.0  3.29  6.25  6.50 999 1025.0   9.7   9.8 999.0 99.0
2000 01 07 06 203  6.3  7.7  3.28  6.67  6.62 999 1025.4  10.0   9.8 999.0 99.0
2000 01 07 07 276  3.8  5.1  3.21  7.69  6.96 999 1025.7   9.6   9.8 999.0 99.0
2000 01 07 08 267  1.1  2.2  3.26  7.69  7.09 999 1025.8   9.4   9.8 999.0 99.0
2000 01 07 09 279  3.4  4.6  3.15 20.00  7.21 999 1026.2   9.1   9.8 999.0 99.0
2000 01 07 10 258  3.7  4.8  2.96  7.69  7.07 999 1026.6   8.9   9.8 999.0 99.0
2000 01 07 11 272  3.8  4.9  2.94 16.67  8.05 999 1026.8   9.0   9.8 999.0 99.0
2000 01 07 12 295  4.9  6.1  2.70 20.00  7.79 999 1027.0   8.7   9.8 999.0 99.0
2000 01 07 13 312  4.7  5.7  2.58 16.67  7.53 999 1026.8   8.6   9.8 999.0 99.0
2000 01 07 14 320  3.4  4.7  2.70 16.67  8.00 999 1027.5   8.7   9.8 999.0 99.0
2000 01 07 15 324  1.3  2.4  2.71 16.67  8.78 999 1027.7   9.0   9.8 999.0 99.0
2000 01 07 16  66  0.5  1.9  2.86 16.67  8.67 999 1026.8   9.0   9.8 999.0 99.0
2000 01 07 17 116  1.8  2.8  2.34 16.67  7.93 999 1026.8   9.0   9.8 999.0 99.0
2000 01 07 18 185  2.3  3.2  2.40 16.67  8.06 999 1027.2   9.0   9.8 999.0 99.0
2000 01 07 19 187  3.1  3.9  2.45 16.67  7.93 999 1026.8   9.0   9.8 999.0 99.0
2000 01 07 20 196  2.5  3.7  2.72 16.67  8.98 999 1026.7   8.9   9.8 999.0 99.0
2000 01 07 21 212  3.2  3.8  2.72 16.67  8.81 999 1025.8   8.7   9.8 999.0 99.0
2000 01 07 22 211  4.6  5.5  3.15 16.67  9.92 999 1025.3   8.9   9.8 999.0 99.0
2000 01 07 23 202  5.7  6.5  2.76 16.67  9.16 999 1024.5   9.3   9.8 999.0 99.0
2000 01 08 00 202  7.5  9.0  2.46 16.67  8.24 999 1024.2   9.3   9.8 999.0 99.0
2000 01 08 01 182  7.2  8.7  2.50 14.29  8.17 999 1023.6   9.4   9.8 999.0 99.0
2000 01 08 02 185  8.8 10.7  2.51 14.29  8.14 999 1022.6   9.5   9.8 999.0 99.0
2000 01 08 03 186  9.9 12.4  2.82 16.67  8.17 999 1021.5   9.7   9.8 999.0 99.0
2000 01 08 04 193 11.3 14.1  2.80 14.29  7.34 999 1021.0  10.1   9.8 999.0 99.0
2000 01 08 05 194 12.0 14.2  3.00 14.29  7.27 999 1020.0  10.1   9.8 999.0 99.0
2000 01 08 06 192 13.6 16.6  2.80 14.29  6.53 999 1018.2   9.9   9.8 999.0 99.0
2000 01 08 07 199 13.1 17.0  3.20 14.29  6.53 999 1017.9   9.7   9.9 999.0 99.0
2000 01 08 08 204 14.6 18.7  3.77  6.67  6.86 999 1017.7   9.4   9.9 999.0 99.0
2000 01 08 09 218 12.3 14.8  3.91 14.29  7.23 999 1017.9   9.7   9.8 999.0 99.0
2000 01 08 10 251  8.2 10.1  4.06  7.69  7.14 999 1018.5  10.3   9.9 999.0 99.0
2000 01 08 11 257  9.0 11.8  3.95 14.29  7.21 999 1019.4  10.6  10.1 999.0 99.0
2000 01 08 12 278  8.5 10.6  4.00 14.29  7.48 999 1020.1   9.8  10.2 999.0 99.0
2000 01 08 13 285 10.5 12.8  4.20  8.33  7.54 999 1020.5  10.2  10.2 999.0 99.0
2000 01 08 14 276  9.3 11.7  4.05  7.69  7.35 999 1021.7   9.9  10.2 999.0 99.0
2000 01 08 15 291  9.6 12.6  4.05  8.33  7.53 999 1022.6   9.7  10.2 999.0 99.0
2000 01 08 16 279  9.7 13.9  3.83  8.33  7.34 999 1023.9   9.0  10.2 999.0 99.0
2000 01 08 17 289  8.2 11.9  3.95  7.69  7.43 999 1024.9   8.3  10.1 999.0 99.0
2000 01 08 18 281  9.1 12.2  3.80 10.00  7.44 999 1025.8   8.7  10.2 999.0 99.0
2000 01 08 19 290  8.9 11.8  3.95 11.11  7.82 999 1026.7   8.0  10.2 999.0 99.0
2000 01 08 20 285  7.4  9.5  4.04 11.11  8.07 999 1026.6   9.0  10.2 999.0 99.0
2000 01 08 21 281  7.5  9.3  4.53 12.50  8.70 999 1025.8   8.6  10.2 999.0 99.0
2000 01 08 22 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
2000 01 08 23 261  4.4  6.4  4.86 12.50  9.46 999 1025.9   8.1  10.2 999.0 99.0
2000 01 09 00 271  3.5  5.8  4.86 14.29  9.46 999 1026.1   8.3  10.2 999.0 99.0
2000 01 09 01 235  7.1  9.4  4.99 14.29  9.75 999 1025.9   8.3  10.2 999.0 99.0
2000 01 09 02 213  5.5  7.1  5.65 14.29 10.47 999 1025.5   7.6  10.2 999.0 99.0
2000 01 09 03 221  7.2  8.9  5.75 14.29  9.93 999 1025.2   8.6  10.2 999.0 99.0
2000 01 09 04 218  7.5  9.2  5.29 16.67  9.85 999 1024.2   8.6  10.2 999.0 99.0
2000 01 09 05 224  9.2 11.4  6.97 14.29 11.12 999 1023.9   8.7  10.2 999.0 99.0
2000 01 09 06 213  9.5 11.6  5.61 14.29  9.99 999 1022.9   8.7  10.2 999.0 99.0
2000 01 09 07 219  9.9 12.2  6.52 14.29 10.57 999 1022.3   9.2  10.2 999.0 99.0
2000 01 09 08 216 11.3 13.5  6.34 14.29 10.37 999 1020.9   9.0  10.2 999.0 99.0
2000 01 09 09 210 12.9 15.7  5.93 14.29  9.76 999 1019.3   9.0  10.2 999.0 99.0
2000 01 09 10 206 14.1 16.7  5.62 14.29  9.09 999 1017.8   9.4  10.2 999.0 99.0
2000 01 09 11 205 14.0 17.5  5.51 16.67  9.11 999 1016.5   9.4  10.2 999.0 99.0
2000 01 09 12 211 15.1 19.5  6.34 14.29  9.59 999 1015.3   9.7  10.2 999.0 99.0
2000 01 09 13 216 14.6 18.2  5.85 14.29  8.69 999 1015.1   9.7  10.2 999.0 99.0
2000 01 09 14 222 13.8 17.0  5.45 14.29  8.44 999 1015.0   9.7  10.2 999.0 99.0
2000 01 09 15 227 12.5 14.9  5.37 14.29  8.52 999 1014.8  10.1  10.2 999.0 99.0
2000 01 09 16 230 12.2 14.6  5.81 16.67  8.62 999 1015.0  10.2  10.2 999.0 99.0
2000 01 09 17 251  8.5 10.2  5.27 14.29  8.29 999 1015.8   9.7  10.2 999.0 99.0
2000 01 09 18 282 10.6 13.9  5.06 14.29  8.51 999 1017.0   9.7  10.2 999.0 99.0
2000 01 09 19 285 11.4 14.5  5.63 14.29  8.76 999 1017.6   9.5  10.2 999.0 99.0
2000 01 09 20 293  8.8 10.9  5.84 14.29  9.02 999 1018.5   8.7  10.2 999.0 99.0
2000 01 09 21 287  8.1 11.0  6.31 14.29  9.51 999 1018.8   8.3  10.2 999.0 99.0
2000 01 09 22 291  6.9 10.4  6.10 14.29  9.42 999 1018.7   8.7  10.2 999.0 99.0
2000 01 09 23 268  8.4 11.7  5.89 14.29  9.27 999 1018.9   8.6  10.2 999.0 99.0
2000 01 10 00 260  6.2  8.4  5.99 14.29  9.38 999 1019.5   7.7  10.2 999.0 99.0
2000 01 10 01 258  7.3  9.5  5.50 12.50  9.19 999 1019.5   8.2  10.2 999.0 99.0
2000 01 10 02 271  9.7 12.1  5.39 14.29  8.90 999 1019.3   7.8  10.2 999.0 99.0
2000 01 10 03 264  6.5  8.5  5.90 14.29  9.57 999 1019.4   7.8  10.1 999.0 99.0
2000 01 10 04 255  5.8  7.7  5.24 14.29  9.03 999 1018.9   7.6  10.1 999.0 99.0
2000 01 10 05 238  5.5  6.9  5.47 14.29  9.31 999 1018.9   7.4  10.1 999.0 99.0
2000 01 10 06 259  9.3 12.3  5.59 14.29  9.62 999 1018.7   7.8  10.1 999.0 99.0
2000 01 10 07 250  7.1  8.8  4.75 14.29  9.03 999 1018.5   8.2  10.1 999.0 99.0
2000 01 10 08 238  7.3  9.3  5.13 14.29  9.50 999 1018.1   8.6  10.1 999.0 99.0
2000 01 10 09 235 11.0 13.8  4.57 14.29  8.82 999 1016.9   8.3   9.8 999.0 99.0
2000 01 10 10 252  8.6 10.1  5.28 14.29  9.58 999 1016.4   7.9   9.8 999.0 99.0
2000 01 10 11 259  6.1  8.5  5.02 14.29  9.32 999 1015.7   6.9   9.8 999.0 99.0
2000 01 10 12 232  5.9  7.6  4.59 12.50  9.27 999 1014.5   7.1   9.8 999.0 99.0
2000 01 10 13 224  6.2  7.5  4.97 14.29  9.59 999 1013.5   7.1   9.8 999.0 99.0
2000 01 10 14 207  3.6  5.3  4.65 14.29  9.28 999 1012.2   7.0   9.8 999.0 99.0
2000 01 10 15 217  4.5  5.9  4.79 12.50  9.44 999 1011.2   6.7   9.8 999.0 99.0
2000 01 10 16 207  3.6  5.1  4.82 14.29  9.35 999 1009.9   6.7   9.8 999.0 99.0
2000 01 10 17 266  1.4  3.6  4.97 12.50  9.77 999 1008.7   6.4   9.8 999.0 99.0
2000 01 10 18 312  0.7  2.3  4.70 14.29  9.68 999 1008.4   6.3   9.8 999.0 99.0
2000 01 10 19 318  0.8  2.1  4.18 14.29  9.23 999 1007.6   6.3   9.8 999.0 99.0
2000 01 10 20 195  4.1  5.1  4.54 14.29  9.62 999 1006.1   6.4   9.8 999.0 99.0
2000 01 10 21 239  2.5  4.0  4.38 14.29  9.84 999 1005.3   6.6   9.8 999.0 99.0
2000 01 10 22 213  3.2  4.2  3.82 14.29  9.31 999 1004.4   6.9   9.8 999.0 99.0
2000 01 10 23 312  2.2  3.8  3.84 14.29  9.02 999 1003.8   6.9   9.8 999.0 99.0
2000 01 11 00 289  4.9  7.2  3.99 14.29  9.52 999 1003.8   7.1   9.9 999.0 99.0
2000 01 11 01 279  6.9  9.3  4.16 14.29  9.06 999 1003.8   7.4   9.9 999.0 99.0
2000 01 11 02 280  7.2  9.8  4.69 14.29  9.47 999 1003.7   7.5   9.8 999.0 99.0
2000 01 11 03 271  7.0  9.1  4.74 14.29  9.34 999 1004.0   7.8   9.8 999.0 99.0
2000 01 11 04 282  7.7 10.0  4.95 14.29  9.13 999 1004.3   7.2   9.8 999.0 99.0
2000 01 11 05 286  7.3  9.4  5.24 14.29  9.12 999 1004.6   7.8   9.8 999.0 99.0
2000 01 11 06 301  5.7  7.8  4.70 14.29  9.25 999 1005.3   7.6   9.8 999.0 99.0
2000 01 11 07 303  5.4  7.5  5.13 14.29  9.47 999 1005.9   7.1   9.8 999.0 99.0
2000 01 11 08 290  6.0  8.0  4.83 14.29  9.43 999 1006.3   7.4   9.8 999.0 99.0
2000 01 11 09 286  4.8  7.1  4.67 12.50  9.31 999 1006.2   7.4   9.8 999.0 99.0
2000 01 11 10 259  4.0  5.8  5.04 14.29  9.61 999 1006.3   7.5   9.8 999.0 99.0
2000 01 11 11 220  3.4  4.8  4.78 14.29  9.27 999 1006.2   7.5   9.8 999.0 99.0
2000 01 11 12 213  4.7  6.3  4.51 14.29  9.49 999 1005.6   7.8   9.8 999.0 99.0
2000 01 11 13 186  4.3  6.0  4.14 14.29  8.95 999 1004.3   7.8   9.8 999.0 99.0
2000 01 11 14 188  3.3  8.4  4.36 14.29  9.07 999 1003.6   6.4   9.8 999.0 99.0
2000 01 11 15 286  6.5  8.4  3.91 14.29  8.54 999 1003.8   4.8   9.8 999.0 99.0
2000 01 11 16 267 14.4 18.6  4.21 14.29  8.65 999 1004.3   4.9   9.8 999.0 99.0
