YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
2000 01 01 00 299  4.5  5.5  1.52 10.00  5.82 999 1019.3   9.0   9.4 999.0 99.0
2000 01 01 01 303  3.8  4.4  1.58 16.67  6.41 999 1019.0   8.9   9.4 999.0 99.0
2000 01 01 02 306  5.4  6.7  1.72 16.67  6.80 999 1019.1   8.7   9.4 999.0 99.0
2000 01 01 03 308  3.7  4.3  1.64 16.67  6.46 999 1019.2   8.6   9.4 999.0 99.0
2000 01 01 04 307  3.9  5.1  1.64 16.67  6.36 999 1019.0   8.5   9.4 999.0 99.0
2000 01 01 05 280  2.8  4.0  1.70 16.67  6.39 999 1018.7   8.7   9.4 999.0 99.0
2000 01 01 06 281  3.5  4.3  1.88 16.67  6.83 999 1018.8   8.2   9.4 999.0 99.0
2000 01 01 07 298  5.5  6.7  1.89 16.67  7.01 999 1018.1   8.3   9.4 999.0 99.0
2000 01 01 08 283  8.0  9.8  1.84  6.25  6.17 999 1018.2   9.0   9.5 999.0 99.0
2000 01 01 09 265  4.3  5.6  1.95 16.67  6.16 999 1017.8   7.9   9.5 999.0 99.0
2000 01 01 10 261  7.1  8.8  1.85 14.29  6.26 999 1016.6   8.2   9.5 999.0 99.0
2000 01 01 11 245  7.5  9.3  1.88 14.29  6.24 999 1016.3   8.4   9.5 999.0 99.0
2000 01 01 12 243  7.9 10.5  2.09 14.29  6.29 999 1015.8   8.6   9.5 999.0 99.0
2000 01 01 13 243  9.3 11.3  2.30 14.29  6.36 999 1014.8   9.0   9.5 999.0 99.0
2000 01 01 14 238 10.9 12.9  2.47 14.29  6.22 999 1013.3   9.0   9.5 999.0 99.0
2000 01 01 15 268  8.9 10.7  2.53  8.33  6.01 999 1013.3   7.8   9.5 999.0 99.0
2000 01 01 16 296 10.2 13.1  2.71 14.29  6.35 999 1013.3   8.6   9.5 999.0 99.0
2000 01 01 17 300 10.9 13.2  3.10 14.29  6.54 999 1013.5   8.8   9.5 999.0 99.0
2000 01 01 18 296  9.9 12.7  3.50  8.33  6.91 999 1014.3   9.0   9.4 999.0 99.0
2000 01 01 19 296 12.6 15.4  3.54  8.33  6.99 999 1015.0   8.4   9.5 999.0 99.0
2000 01 01 20 290  7.8 10.3  3.57  8.33  7.18 999 1015.5   8.2   9.5 999.0 99.0
2000 01 01 21 294  9.0 11.5  3.55  9.09  7.45 999 1015.1   9.0   9.6 999.0 99.0
2000 01 01 22 282  9.2 12.1  3.84 10.00  7.80 999 1015.3   8.7   9.7 999.0 99.0
2000 01 01 23 282  9.4 12.8  3.91 10.00  7.97 999 1015.7   8.8   9.7 999.0 99.0
2000 01 02 00 283  9.4 11.8  4.00 11.11  7.97 999 1016.3   8.9   9.8 999.0 99.0
2000 01 02 01 287  8.4 11.0  4.06 10.00  8.05 999 1016.6   8.4   9.8 999.0 99.0
2000 01 02 02 298  7.7  9.9  4.31 11.11  7.99 999 1017.0   8.3   9.8 999.0 99.0
2000 01 02 03 298  9.0 12.9  4.43 11.11  8.26 999 1016.9   8.9   9.8 999.0 99.0
2000 01 02 04 294 10.8 12.8  4.06 11.11  8.05 999 1017.2   8.4   9.8 999.0 99.0
2000 01 02 05 273  8.5 10.4  4.53 11.11  7.91 999 1017.4   8.6  10.1 999.0 99.0
2000 01 02 06 279  9.6 11.3  4.27 11.11  8.09 999 1017.3   8.8  10.2 999.0 99.0
2000 01 02 07 281  7.5  9.3  4.10 12.50  7.91 999 1017.8   7.4  10.2 999.0 99.0
2000 01 02 08 279  9.5 13.4  4.33 11.11  8.01 999 1017.7   7.7  10.2 999.0 99.0
2000 01 02 09 284  7.6 11.8  4.26 11.11  7.79 999 1017.5   7.4  10.2 999.0 99.0
2000 01 02 10 279  9.9 12.2  3.87 10.00  7.25 999 1017.3   8.6  10.2 999.0 99.0
2000 01 02 11 272 11.1 13.9  4.61 11.11  8.00 999 1017.7   8.6  10.2 999.0 99.0
2000 01 02 12 275  7.8  9.7  4.23 11.11  7.71 999 1017.9   7.4  10.2 999.0 99.0
2000 01 02 13 289 10.5 12.9  4.05 11.11  7.53 999 1017.5   7.9  10.2 999.0 99.0
2000 01 02 14 311  9.5 11.5  4.33 11.11  7.85 999 1017.9   7.5  10.2 999.0 99.0
2000 01 02 15 287 10.4 14.5  4.04 11.11  7.75 999 1018.9   7.1  10.2 999.0 99.0
2000 01 02 16 303 10.6 13.2  3.70 10.00  7.53 999 1019.1   7.9  10.2 999.0 99.0
2000 01 02 17 299 10.1 13.5  3.73 11.11  7.56 999 1020.1   7.7   9.8 999.0 99.0
2000 01 02 18 291  7.0 10.2  4.04 11.11  8.04 999 1021.1   6.8   9.8 999.0 99.0
2000 01 02 19 288  8.3  9.9  3.70 12.50  7.81 999 1022.0   7.7   9.9 999.0 99.0
2000 01 02 20 291  8.5 11.8  4.07 11.11  8.15 999 1022.6   8.2  10.1 999.0 99.0
