YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 01 01 00 176 10.6 13.2  5.15 16.67 10.22 999 1017.3  11.2  11.6 999.0 99.0 99.00
2003 01 01 01 172 11.8 13.9  4.13 16.67  8.78 999 1017.8  11.3  11.7 999.0 99.0 99.00
2003 01 01 02 180 12.4 14.9  4.71 16.67  9.32 999 1018.2  11.1  11.6 999.0 99.0 99.00
2003 01 01 03 188 11.9 14.6  4.37 14.29  8.89 999 1018.4  10.3  11.5 999.0 99.0 99.00
2003 01 01 04 220  8.7 10.1  4.43 14.29  9.28 999 1018.6  10.9  11.5 999.0 99.0 99.00
2003 01 01 05 202  9.5 11.2  4.39 14.29  9.66 999 1018.7  11.0  11.5 999.0 99.0 99.00
2003 01 01 06 188 11.3 13.6  4.07 14.29  8.79 999 1019.1  11.1  11.4 999.0 99.0 99.00
2003 01 01 07 178 11.2 13.9  4.14 14.29  8.68 999 1019.3  11.2  11.4 999.0 99.0 99.00
2003 01 01 08 177 12.3 14.9  4.36 14.29  8.58 999 1018.7  11.3  11.4 999.0 99.0 99.00
2003 01 01 09 164 11.6 13.7  4.48 14.29  8.20 999 1018.6  11.1  11.4 999.0 99.0 99.00
2003 01 01 10 168 13.1 16.3  4.95 12.50  8.47 999 1018.7  11.2  11.4 999.0 99.0 99.00
2003 01 01 11 169 13.2 16.0  5.07 14.29  8.48 999 1018.3  11.3  11.5 999.0 99.0 99.00
2003 01 01 12 161 11.7 14.3  5.40 12.50  8.65 999 1017.4  10.6  11.6 999.0 99.0 99.00
2003 01 01 13 178 16.0 19.1  4.71 12.50  7.68 999 1016.1  10.3  11.7 999.0 99.0 99.00
2003 01 01 14 155 14.2 17.0  5.13 12.50  7.92 999 1015.4   9.8  11.7 999.0 99.0 99.00
2003 01 01 15 157 15.6 19.8  5.09 16.67  7.74 999 1014.6  10.2  11.7 999.0 99.0 99.00
2003 01 01 16 161 15.2 18.9  5.16 16.67  7.88 999 1014.2  10.1  11.7 999.0 99.0 99.00
2003 01 01 17 176 19.7 23.7  5.46  9.09  7.41 999 1013.5  11.4  11.6 999.0 99.0 99.00
2003 01 01 18 174 18.9 23.4  5.91 10.00  7.79 999 1013.5  10.8  11.7 999.0 99.0 99.00
2003 01 01 19 178 18.9 25.4  6.33 10.00  8.21 999 1013.7  11.1  11.7 999.0 99.0 99.00
2003 01 01 20 179 19.4 25.7  7.03 11.11  8.41 999 1013.2  11.3  11.8 999.0 99.0 99.00
2003 01 01 21 180 20.5 25.0  7.51 11.11  8.60 999 1012.8  11.5  11.8 999.0 99.0 99.00
2003 01 01 22 177 19.4 24.9  7.15 11.11  8.61 999 1012.7  11.6  11.8 999.0 99.0 99.00
2003 01 01 23 176 19.6 24.1  6.76 11.11  8.26 999 1012.7  11.7  11.8 999.0 99.0 99.00
2003 01 02 00 174 18.7 23.1  6.67 11.11  8.46 999 1013.0  11.6  11.8 999.0 99.0 99.00
2003 01 02 01 172 19.7 24.6  7.48 11.11  8.50 999 1012.3  11.5  11.7 999.0 99.0 99.00
2003 01 02 02 170 16.4 20.7  6.75 11.11  8.43 999 1012.2  11.7  11.3 999.0 99.0 99.00
2003 01 02 03 172 18.1 22.9  6.31 11.11  8.02 999 1011.8  12.0  11.3 999.0 99.0 99.00
2003 01 02 04 173 18.3 23.0  6.74 11.11  8.49 999 1012.2  11.8  11.3 999.0 99.0 99.00
2003 01 02 05 179 18.0 21.5  6.31 11.11  8.26 999 1011.9  12.1  11.2 999.0 99.0 99.00
2003 01 02 06 170 18.5 23.7  6.28 11.11  8.30 999 1010.8  11.8  11.1 999.0 99.0 99.00
2003 01 02 07 172 18.5 22.6  6.53 11.11  8.07 999 1009.9  12.5  11.1 999.0 99.0 99.00
2003 01 02 08 171 17.2 21.2  6.39 11.11  8.24 999 1009.4  12.7  11.1 999.0 99.0 99.00
2003 01 02 09 170 17.8 24.0  6.35 10.00  8.00 999 1008.5  12.6  11.1 999.0 99.0 99.00
2003 01 02 10 168 20.2 24.9  6.15 10.00  7.97 999 1007.1  12.7  11.2 999.0 99.0 99.00
2003 01 02 11 173 21.4 26.8  5.84 11.11  7.68 999 1007.5  11.3  11.2 999.0 99.0 99.00
2003 01 02 12 173 20.8 26.0  6.42 11.11  8.20 999 1007.8  11.2  11.3 999.0 99.0 99.00
2003 01 02 13 177 19.5 24.8  6.64 11.11  8.19 999 1009.1  11.5  11.3 999.0 99.0 99.00
2003 01 02 14 178 18.3 23.1  7.58 11.11  8.84 999 1009.8  11.3  11.4 999.0 99.0 99.00
2003 01 02 15 183 17.0 21.8  7.22 12.50  8.64 999 1010.5  11.5  11.4 999.0 99.0 99.00
2003 01 02 16 176 16.7 21.4  7.63 11.11  8.76 999 1011.3  11.3  11.4 999.0 99.0 99.00
2003 01 02 17 171 16.9 20.9  8.66 12.50  9.46 999 1011.7  11.1  11.4 999.0 99.0 99.00
2003 01 02 18 176 17.1 21.2  7.48 12.50  8.83 999 1011.8  10.8  11.4 999.0 99.0 99.00
2003 01 02 19 181 18.4 23.5  7.13 11.11  8.62 999 1011.2  12.0  11.4 999.0 99.0 99.00
2003 01 02 20 170 15.3 19.4  6.57 12.50  8.58 999 1010.4  11.9  11.4 999.0 99.0 99.00
2003 01 02 21 154 10.9 13.3  6.32 12.50  8.90 999 1009.2  11.3  11.4 999.0 99.0 99.00
2003 01 02 22 151 13.8 16.5  5.47 12.50  8.50 999 1007.2  11.3  11.4 999.0 99.0 99.00
2003 01 02 23 160 13.6 15.8  5.83 12.50  8.95 999 1007.0  11.2  11.3 999.0 99.0 99.00
2003 01 03 00 165 15.7 20.4  6.23 12.50  8.82 999 1006.8  11.6  11.4 999.0 99.0 99.00
2003 01 03 01 175 18.5 23.7  7.30 11.11  8.77 999 1007.4  10.8  11.3 999.0 99.0 99.00
2003 01 03 02 169 18.5 24.7  6.91 11.11  8.41 999 1007.5  11.3  11.3 999.0 99.0 99.00
2003 01 03 03 168 19.1 23.2  6.41 11.11  7.99 999 1007.4  11.4  11.4 999.0 99.0 99.00
2003 01 03 04 190 14.4 19.5  6.10 11.11  8.06 999 1009.6  12.4  11.4 999.0 99.0 99.00
2003 01 03 05 202 14.9 18.6  5.90 11.11  8.05 999 1010.8  13.1  11.4 999.0 99.0 99.00
2003 01 03 06 205 12.6 15.3  5.75 11.11  7.89 999 1012.5  12.8  11.4 999.0 99.0 99.00
2003 01 03 07 214 12.7 15.4  5.87 11.11  8.14 999 1013.6  12.8  11.4 999.0 99.0 99.00
2003 01 03 08 188  8.3  9.6  5.42 11.11  8.48 999 1014.7  12.2  11.2 999.0 99.0 99.00
2003 01 03 09 193  9.7 11.7  5.05 12.50  8.47 999 1015.0  12.2  11.2 999.0 99.0 99.00
2003 01 03 10 186  9.2 11.5  4.32 11.11  8.14 999 1015.7  12.0  11.3 999.0 99.0 99.00
2003 01 03 11 186  8.9 10.9  4.09 11.11  7.99 999 1016.8  11.8  11.3 999.0 99.0 99.00
2003 01 03 12 199  8.9 11.4  4.44 12.50  8.47 999 1017.5  11.8  11.3 999.0 99.0 99.00
2003 01 03 13 194  7.9 10.0  4.60 12.50  9.04 999 1017.2  11.8  11.4 999.0 99.0 99.00
2003 01 03 14 160  7.9  9.9  4.96 12.50  9.39 999 1017.2  11.7  11.4 999.0 99.0 99.00
2003 01 03 15 165  8.7 10.7  4.76 12.50  9.42 999 1017.6  11.7  11.4 999.0 99.0 99.00
2003 01 03 16 156  8.4 10.5  4.95 12.50  9.72 999 1017.5  11.7  11.4 999.0 99.0 99.00
2003 01 03 17 151  9.6 11.9  4.93 12.50  9.23 999 1017.3  11.5  11.4 999.0 99.0 99.00
2003 01 03 18 150 11.0 13.7  5.12 14.29  9.34 999 1017.0  11.7  11.4 999.0 99.0 99.00
2003 01 03 19 157 10.0 12.8  5.68 14.29  9.75 999 1017.3  11.8  11.4 999.0 99.0 99.00
2003 01 03 20 167 10.0 12.3  4.88 12.50  9.05 999 1017.3  11.7  11.4 999.0 99.0 99.00
2003 01 03 21 175  9.3 12.0  4.60 12.50  8.77 999 1017.1  11.8  11.4 999.0 99.0 99.00
2003 01 03 22 172  8.0 10.1  5.28 12.50  9.20 999 1016.1  12.0  11.4 999.0 99.0 99.00
2003 01 03 23 175 10.6 12.4  5.40 12.50  9.10 999 1015.9  12.1  11.4 999.0 99.0 99.00
2003 01 04 00 153  9.3 11.9  5.22 14.29  8.82 999 1015.2  12.2  11.4 999.0 99.0 99.00
2003 01 04 01 158 10.4 12.7  5.35 14.29  9.42 999 1015.1  12.8  11.4 999.0 99.0 99.00
2003 01 04 02 145  5.7  7.2  5.18 14.29  9.55 999 1014.9  12.2  11.4 999.0 99.0 99.00
2003 01 04 03 142  4.6  5.9  5.73 14.29 10.65 999 1013.4  12.1  11.4 999.0 99.0 99.00
2003 01 04 04 171  5.2  7.2  4.72 14.29  9.93 999 1012.9  12.0  11.4 999.0 99.0 99.00
2003 01 04 05 182  6.6  8.0  5.52 14.29 10.96 999 1013.0  11.9  11.4 999.0 99.0 99.00
2003 01 04 06 170  9.0 10.9  4.35 14.29  9.16 999 1012.5  12.3  11.4 999.0 99.0 99.00
2003 01 04 07 154 12.9 16.1  5.04 14.29  9.26 999 1011.2  12.6  11.4 999.0 99.0 99.00
2003 01 04 08 153 11.9 13.9  4.07 14.29  7.93 999 1010.4  12.4  11.4 999.0 99.0 99.00
2003 01 04 09 160 10.3 12.6  4.45 14.29  8.35 999 1010.0  12.5  11.4 999.0 99.0 99.00
2003 01 04 10 154  9.4 11.7  4.62 14.29  8.60 999 1009.7  12.2  11.5 999.0 99.0 99.00
2003 01 04 11 169 14.3 17.8  4.50 12.50  7.90 999 1009.3  12.7  11.5 999.0 99.0 99.00
2003 01 04 12 170 16.8 21.2  4.68 12.50  7.52 999 1008.8  12.1  11.5 999.0 99.0 99.00
2003 01 04 13 173 16.1 19.9  5.79 14.29  8.19 999 1007.7  12.4  11.4 999.0 99.0 99.00
2003 01 04 14 175 15.5 18.8  5.98 12.50  8.28 999 1007.6  12.6  11.4 999.0 99.0 99.00
2003 01 04 15 176 15.5 19.2  5.62 12.50  7.93 999 1007.7  12.5  11.4 999.0 99.0 99.00
2003 01 04 16 192 15.1 18.5 99.00 99.00 99.00 999 1008.6  12.3  11.4 999.0 99.0 99.00
2003 01 04 17 213 11.0 13.2  5.05  9.09  7.69 999 1011.5  12.6  11.4 999.0 99.0 99.00
2003 01 04 18 202  9.0 11.5  4.96 10.00  8.05 999 1013.8  12.5  11.5 999.0 99.0 99.00
2003 01 04 19 203  9.2 11.4  4.29 11.11  8.08 999 1015.5  12.5  11.5 999.0 99.0 99.00
2003 01 04 20 215 10.0 11.6  4.82 10.00  8.40 999 1016.4  11.6  11.5 999.0 99.0 99.00
2003 01 04 21 219 10.5 12.6  4.48 10.00  8.39 999 1017.4  12.1  11.5 999.0 99.0 99.00
2003 01 04 22 237 10.4 13.6  4.75 11.11  8.80 999 1018.3  12.1  11.5 999.0 99.0 99.00
2003 01 04 23 235  8.1 10.5  4.20 11.11  8.72 999 1019.9  12.0  11.5 999.0 99.0 99.00
2003 01 05 00 229  6.5  8.0  4.28 11.11  8.82 999 1021.7  11.9  11.5 999.0 99.0 99.00
2003 01 05 01 230  6.7  8.7  4.12 14.29  9.30 999 1022.8  11.7  11.4 999.0 99.0 99.00
2003 01 05 02 242  5.7  7.4  4.63 14.29  9.10 999 1024.0  11.6  11.4 999.0 99.0 99.00
2003 01 05 03 232  3.9  5.5  4.83 16.67  9.93 999 1024.7  11.5  11.4 999.0 99.0 99.00
2003 01 05 04 217  3.3  5.3  4.32 16.67  9.70 999 1025.8  11.5  11.4 999.0 99.0 99.00
2003 01 05 05 232  4.1  6.0  5.43 16.67 10.55 999 1026.4  11.5  11.4 999.0 99.0 99.00
2003 01 05 06 187  2.3  3.5  4.83 16.67 10.05 999 1026.9  11.4  11.4 999.0 99.0 99.00
2003 01 05 07 173  3.5  4.7  5.65 16.67 10.92 999 1026.8  11.3  11.4 999.0 99.0 99.00
2003 01 05 08 179  2.4  3.7  5.21 16.67 10.43 999 1027.9  11.3  11.4 999.0 99.0 99.00
2003 01 05 09 136  4.8  6.9  5.46 16.67 10.45 999 1027.5  10.9  11.3 999.0 99.0 99.00
2003 01 05 10 150  4.8  7.5  5.65 16.67 10.45 999 1027.8  10.9  11.4 999.0 99.0 99.00
2003 01 05 11 140  3.5  5.3  5.16 12.50 10.05 999 1028.5  10.8  11.2 999.0 99.0 99.00
2003 01 05 12 130  5.1  7.1  5.10 16.67 10.87 999 1028.6  10.4  11.2 999.0 99.0 99.00
2003 01 05 13 110  6.1  9.0  4.90 16.67 10.49 999 1028.3  10.3  11.2 999.0 99.0 99.00
2003 01 05 14 101  5.5  7.8  4.27 16.67 10.24 999 1028.8   9.7  11.3 999.0 99.0 99.00
2003 01 05 15 107  5.8  9.2  4.79 16.67 10.93 999 1028.6  10.0  11.3 999.0 99.0 99.00
2003 01 05 16 100  5.1  6.7  4.25 16.67 10.42 999 1028.7   9.6  11.3 999.0 99.0 99.00
2003 01 05 17 100  5.3  7.2  3.96 16.67 10.58 999 1028.7  10.0  11.3 999.0 99.0 99.00
2003 01 05 18  91  6.7  8.8  3.88 16.67 10.12 999 1029.0   9.8  11.4 999.0 99.0 99.00
2003 01 05 19 102  7.0  9.5  3.37 14.29  9.27 999 1029.0  10.3  11.4 999.0 99.0 99.00
2003 01 05 20  91  6.0  8.3  3.56 14.29  9.81 999 1027.8  10.7  11.4 999.0 99.0 99.00
2003 01 05 21  77  4.6  6.4  3.71 14.29 10.05 999 1027.2  10.9  11.4 999.0 99.0 99.00
2003 01 05 22  82  6.8  9.2  4.64 14.29 10.95 999 1026.5  11.6  11.4 999.0 99.0 99.00
2003 01 05 23  82  6.3  8.1  3.77 12.50  9.83 999 1026.2  11.8  11.5 999.0 99.0 99.00
2003 01 06 00  79  6.3  8.7  3.99 14.29  9.81 999 1026.3  12.2  11.4 999.0 99.0 99.00
2003 01 06 01  84  7.8 10.8  4.13 14.29 10.13 999 1025.9  12.0  11.4 999.0 99.0 99.00
2003 01 06 02  89  7.3 10.8  4.44 12.50  9.97 999 1026.1  11.8  11.4 999.0 99.0 99.00
2003 01 06 03  85  7.3  9.3  3.73 14.29  9.15 999 1025.9  11.6  11.4 999.0 99.0 99.00
2003 01 06 04  83  6.9  9.3  3.37 14.29  9.00 999 1025.7  11.6  11.4 999.0 99.0 99.00
2003 01 06 05  77  5.0  6.8  3.17 14.29  9.19 999 1025.6  11.8  11.4 999.0 99.0 99.00
2003 01 06 06  76  7.6 10.2  3.39 14.29  9.64 999 1025.1  11.8  11.3 999.0 99.0 99.00
2003 01 06 07  80  7.5  9.2  2.90 14.29  8.61 999 1024.5  11.7  11.4 999.0 99.0 99.00
2003 01 06 08  85  7.2  8.9  2.69 14.29  8.69 999 1023.8  11.7  11.4 999.0 99.0 99.00
2003 01 06 09  90  7.2  9.3  2.43 14.29  8.23 999 1023.2  11.8  11.4 999.0 99.0 99.00
2003 01 06 10  90  7.7  9.8  2.51 14.29  8.43 999 1022.9  11.6  11.4 999.0 99.0 99.00
2003 01 06 11  90  6.4  8.3  2.67 14.29  8.90 999 1022.8  11.6  11.3 999.0 99.0 99.00
2003 01 06 12  84  6.7  8.3  2.71 14.29  9.08 999 1022.1  11.7  11.3 999.0 99.0 99.00
2003 01 06 13  84  7.2  9.5  2.73 14.29  9.21 999 1021.4  11.5  11.3 999.0 99.0 99.00
2003 01 06 14  81  7.2  9.3  2.96 14.29  9.30 999 1021.0  11.2  11.3 999.0 99.0 99.00
2003 01 06 15  74  7.6  9.6  2.78 14.29  9.40 999 1020.5  11.4  11.3 999.0 99.0 99.00
2003 01 06 16  76  9.1 11.1  2.75 14.29  8.62 999 1020.2  11.1  11.3 999.0 99.0 99.00
2003 01 06 17  81  8.6 10.8  2.66 14.29  8.08 999 1020.4  11.2  11.3 999.0 99.0 99.00
2003 01 06 18  90  9.7 12.6  3.10 12.50  8.46 999 1020.2  11.0  11.3 999.0 99.0 99.00
2003 01 06 19  89  9.2 11.4  3.21 12.50  8.71 999 1019.9  11.3  11.4 999.0 99.0 99.00
2003 01 06 20  88  9.9 12.3  3.36 14.29  9.62 999 1018.7  11.8  11.4 999.0 99.0 99.00
2003 01 06 21  88 10.2 13.0  4.01 20.00 10.53 999 1017.2  12.3  11.3 999.0 99.0 99.00
2003 01 06 22  93  9.2 11.9  3.74 20.00 10.41 999 1016.7  13.2  11.3 999.0 99.0 99.00
2003 01 06 23  96  7.3 10.1  4.08 20.00 11.19 999 1016.4  13.5  11.3 999.0 99.0 99.00
2003 01 07 00 113  4.2  7.3  3.97 16.67 11.69 999 1016.9  13.4  11.3 999.0 99.0 99.00
2003 01 07 01 160  2.2  3.3  5.00 20.00 13.67 999 1017.5  12.7  11.3 999.0 99.0 99.00
2003 01 07 02 173  2.3  3.0  4.11 16.67 12.64 999 1018.1  13.4  11.3 999.0 99.0 99.00
2003 01 07 03 110  2.5  4.5  4.25 20.00 12.88 999 1018.2  12.6  11.3 999.0 99.0 99.00
2003 01 07 04 116  4.7  6.0  4.58 16.67 13.39 999 1018.3  12.7  11.3 999.0 99.0 99.00
2003 01 07 05 108  4.5  6.8  4.85 16.67 13.40 999 1018.6  12.2  11.3 999.0 99.0 99.00
2003 01 07 06 105  6.2  8.2  3.98 16.67 12.22 999 1018.6  11.7  11.3 999.0 99.0 99.00
2003 01 07 07 117  5.9  8.9  4.70 16.67 12.55 999 1019.1  11.7  11.4 999.0 99.0 99.00
2003 01 07 08 189  0.6  2.0  4.40 16.67 12.21 999 1019.7  11.5  11.3 999.0 99.0 99.00
2003 01 07 09  41  1.3  3.7  4.65 14.29 12.25 999 1019.8  11.1  11.2 999.0 99.0 99.00
2003 01 07 10  58  2.3  4.4  4.73 16.67 11.72 999 1019.7  11.0  11.2 999.0 99.0 99.00
2003 01 07 11  84  5.1  7.0  4.15 16.67 11.13 999 1019.8  10.8  11.2 999.0 99.0 99.00
2003 01 07 12  91  5.1  8.2  4.70 16.67 11.65 999 1019.4  10.4  11.2 999.0 99.0 99.00
2003 01 07 13 107  4.9  7.1  4.07 16.67 11.13 999 1019.7  10.5  11.2 999.0 99.0 99.00
2003 01 07 14  75  1.1  4.0  4.31 14.29 11.42 999 1020.4  10.6  11.2 999.0 99.0 99.00
2003 01 07 15  87  4.6  6.9  3.96 16.67 11.01 999 1020.5  10.5  11.2 999.0 99.0 99.00
2003 01 07 16  78  4.3  6.3  3.45 14.29 10.15 999 1021.2  10.1  11.2 999.0 99.0 99.00
2003 01 07 17  80  3.8  5.4  3.53 16.67 10.31 999 1022.0  10.5  11.2 999.0 99.0 99.00
2003 01 07 18  87  3.1  4.4  3.44 16.67 10.24 999 1022.5  10.6  11.2 999.0 99.0 99.00
2003 01 07 19  82  3.6  5.6  3.49 14.29 10.55 999 1022.9  10.6  11.3 999.0 99.0 99.00
2003 01 07 20  66  3.1  4.8  3.33 14.29 10.46 999 1022.4  10.8  11.3 999.0 99.0 99.00
2003 01 07 21  55  4.7  6.1  3.16 14.29 10.37 999 1021.5  11.0  11.4 999.0 99.0 99.00
2003 01 07 22  57  4.0  6.1  3.11 14.29 10.64 999 1020.9  11.2  11.4 999.0 99.0 99.00
2003 01 07 23  70  3.1  5.0  3.38 14.29 11.40 999 1020.4  11.5  11.4 999.0 99.0 99.00
2003 01 08 00  42  3.2  4.7  3.37 14.29 11.36 999 1020.1  11.8  11.4 999.0 99.0 99.00
2003 01 08 01  69  3.7  5.9  3.38 14.29 11.34 999 1019.7  12.0  11.4 999.0 99.0 99.00
2003 01 08 02  67  5.3  8.0  3.15 14.29 10.97 999 1019.5  12.3  11.4 999.0 99.0 99.00
2003 01 08 03  67  6.4  8.6  3.34 14.29 10.91 999 1019.3  11.9  11.3 999.0 99.0 99.00
