#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 12 31 23 50 162  1.7  2.8  1.82 12.90  9.96 285 1026.3   8.6   9.7 999.0 99.0 99.00
2014 01 01 00 50 194  1.3  1.7  1.91 13.79 10.22 287 1026.5   8.4   9.7 999.0 99.0 99.00
2014 01 01 01 50  20  0.6  1.3  1.94 14.81 10.80 284 1026.6   8.4   9.7 999.0 99.0 99.00
2014 01 01 02 50 326  1.4  2.3  2.24 13.79 10.97 286 1027.0   8.5   9.7 999.0 99.0 99.00
2014 01 01 03 50 338  2.4  3.5  2.25 14.81 10.58 291 1026.8   8.6   9.7 999.0 99.0 99.00
2014 01 01 04 50 350  2.6  3.8  2.17 12.12 10.20 278 1027.2   8.4   9.7 999.0 99.0 99.00
2014 01 01 05 50  41  3.9  4.8  2.57 13.79 10.98 292 1027.1   7.8   9.7 999.0 99.0 99.00
2014 01 01 06 50  44  4.3  6.0  2.14 14.81 10.11 290 1027.2   7.8   9.7 999.0 99.0 99.00
2014 01 01 07 50  20  3.4  4.3  2.01 14.81  9.86 292 1027.1   7.8   9.6 999.0 99.0 99.00
2014 01 01 08 50  46  4.6  5.5  1.99 14.81  9.97 273 1026.7   7.6   9.6 999.0 99.0 99.00
2014 01 01 09 50  45  4.4  5.5  1.89 13.79  9.75 242 1026.4   8.3   9.6 999.0 99.0 99.00
2014 01 01 10 50  43  4.1  5.0  1.85 12.90  9.56 278 1026.8   8.5   9.6 999.0 99.0 99.00
2014 01 01 11 50  52  2.7  3.7  1.82 13.79  9.56 294 1027.1   8.5   9.6 999.0 99.0 99.00
2014 01 01 12 50  46  3.1  3.8  1.97 13.79 10.04 279 1027.1   8.5   9.6 999.0 99.0 99.00
2014 01 01 13 50  44  3.5  4.4  1.79 13.79 10.05 284 1026.7   8.7   9.6 999.0 99.0 99.00
2014 01 01 14 50  62  3.7  5.0  1.79 13.79  9.79 277 1026.6   8.6   9.6 999.0 99.0 99.00
2014 01 01 15 50  59  3.1  4.2  1.79 12.90  9.71 288 1026.4   8.6   9.6 999.0 99.0 99.00
2014 01 01 16 50  72  3.4  4.8  1.89 12.90  9.88 293 1026.3   8.7   9.4 999.0 99.0 99.00
2014 01 01 17 50  66  2.2  3.2  1.86 12.12  9.82 287 1026.6   8.8   9.4 999.0 99.0 99.00
2014 01 01 18 50  51  1.4  2.5  1.91 12.90  9.84 287 1026.7   9.0   9.4 999.0 99.0 99.00
2014 01 01 19 50  65  2.5  3.1  1.75 13.79  9.45 284 1025.9   9.0   9.5 999.0 99.0 99.00
2014 01 01 20 50  70  4.0  5.1  1.50 12.90  8.57 276 1024.8   8.9   9.6 999.0 99.0 99.00
2014 01 01 21 50  30  3.8  4.4  1.57 13.79  9.30 290 1024.5   8.8   9.7 999.0 99.0 99.00
2014 01 01 22 50   4  4.4  5.2  1.59 11.43  9.56 287 1024.7   8.8   9.7 999.0 99.0 99.00
2014 01 01 23 50   4  4.8  5.9  1.65 12.90  9.98 282 1024.8   9.1   9.7 999.0 99.0 99.00
2014 01 02 00 50  39  5.1  6.6  1.42 12.90  9.27 276 1024.6   9.3   9.6 999.0 99.0 99.00
2014 01 02 01 50  50  4.2  5.0  1.35 12.90  9.08 291 1024.7   9.2   9.5 999.0 99.0 99.00
2014 01 02 02 50  55  4.0  5.0  1.32 12.90  8.95 274 1024.3   9.2   8.9 999.0 99.0 99.00
2014 01 02 03 50  56  2.7  3.6  1.33 12.90  8.57 282 1023.9   9.3   9.1 999.0 99.0 99.00
2014 01 02 04 50  93  4.0  4.9  1.42 12.12  9.21 276 1023.4   9.5   9.2 999.0 99.0 99.00
2014 01 02 05 50 108  3.8  4.7  1.25 11.43  8.97 287 1023.4   9.4   9.3 999.0 99.0 99.00
2014 01 02 06 50  83  1.3  1.8  1.21 12.90  8.36 270 1023.7   9.1   9.1 999.0 99.0 99.00
2014 01 02 07 50 121  2.8  3.4  1.28 12.12  8.36 285 1023.5   9.2   8.9 999.0 99.0 99.00
2014 01 02 08 50 113  3.6  4.4  1.06 12.12  8.37 279 1023.0   9.2   9.2 999.0 99.0 99.00
2014 01 02 09 50 118  3.6  4.4  1.15 12.12  8.86 290 1022.9   9.0   8.9 999.0 99.0 99.00
2014 01 02 10 50 134  2.0  2.5  1.08 12.12  9.26 271 1023.3   9.1   9.2 999.0 99.0 99.00
2014 01 02 11 50 126  1.7  2.2  1.09 12.12  9.27 286 1023.0   9.0   9.4 999.0 99.0 99.00
2014 01 02 12 50 120  3.1  4.0  0.95 10.00  8.90 293 1022.5   8.9   9.3 999.0 99.0 99.00
2014 01 02 13 50 122  2.6  3.2  1.05 11.43  9.47 303 1022.5   8.9   9.5 999.0 99.0 99.00
2014 01 02 14 50 116  4.2  5.2  1.15 11.43 10.17 287 1021.9   8.8   9.6 999.0 99.0 99.00
2014 01 02 15 50 143  3.6  4.4  0.95 11.43  8.48 261 1021.7   8.8   9.6 999.0 99.0 99.00
2014 01 02 16 50 160  3.3  3.8  1.07 12.90  9.04 266 1021.8   9.0   9.5 999.0 99.0 99.00
2014 01 02 17 50 216  2.0  2.4  1.04 11.43  9.31 287 1022.2   9.0   9.6 999.0 99.0 99.00
2014 01 02 18 50 204  2.5  2.9  1.23 10.81  9.86 274 1022.0   9.4   9.6 999.0 99.0 99.00
2014 01 02 19 50 202  2.7  3.1  1.22 12.12  9.92 284 1021.3   9.5   9.7 999.0 99.0 99.00
2014 01 02 20 50 187  2.5  3.1  1.19 11.43  9.60 283 1020.5   9.5   9.7 999.0 99.0 99.00
2014 01 02 21 50 182  5.0  5.9  1.21 12.12 10.16 262 1019.6   9.3   9.8 999.0 99.0 99.00
2014 01 02 22 50 192  5.0  6.0  1.18 16.00  9.67 317 1019.2   9.1   9.7 999.0 99.0 99.00
2014 01 02 23 50 205  4.1  4.8  1.15 11.43  8.93 273 1019.6   9.1   9.7 999.0 99.0 99.00
2014 01 03 00 50 205  4.5  5.2  1.37 11.43  9.11 274 1019.8   9.3   9.7 999.0 99.0 99.00
2014 01 03 01 50 185  5.4  6.3  1.49 14.81  9.36 290 1019.2   9.3   9.6 999.0 99.0 99.00
2014 01 03 02 50 259  5.5  7.5  1.47 14.81  9.10 280 1019.9   9.3   9.6 999.0 99.0 99.00
2014 01 03 03 50 193  4.4  5.4  1.52 12.12  8.73 273 1019.5   9.4   9.6 999.0 99.0 99.00
2014 01 03 04 50 193  5.8  6.8  1.71 14.81  9.04 304 1019.2   9.2   9.6 999.0 99.0 99.00
2014 01 03 05 50 193  7.2  8.4  1.81 14.81  8.20 288 1019.2   9.0   9.6 999.0 99.0 99.00
2014 01 03 06 50 204  7.2  8.3  1.93 16.00  8.19 279 1019.3   9.2   9.6 999.0 99.0 99.00
2014 01 03 07 50  13  9.0 11.0  2.00 14.81  7.61 300 1020.0   8.9   9.6 999.0 99.0 99.00
2014 01 03 08 50  36  5.7  6.7  2.17 14.81  7.64 313 1020.5   8.9   9.6 999.0 99.0 99.00
2014 01 03 09 50  17  5.2  6.2  2.20 14.81  8.15 292 1021.0   9.3   9.6 999.0 99.0 99.00
2014 01 03 10 50  14  5.9  8.3  1.95 14.81  7.66 299 1021.7   9.0   9.6 999.0 99.0 99.00
2014 01 03 11 50  25  8.4 10.2  2.08 14.81  7.34 300 1022.7   9.0   9.5 999.0 99.0 99.00
2014 01 03 12 50  26  7.2  8.3  2.42 14.81  8.13 307 1022.9   8.8   9.5 999.0 99.0 99.00
2014 01 03 13 50  24  8.3  9.5  2.40 14.81  8.04 311 1023.2   8.7   9.5 999.0 99.0 99.00
2014 01 03 14 50   9  7.7  9.1  2.70 13.79  8.20 294 1023.2   8.4   9.5 999.0 99.0 99.00
2014 01 03 15 50  16  8.3 10.0  2.79 14.81  8.29 299 1023.8   8.2   9.5 999.0 99.0 99.00
2014 01 03 16 50  24  8.8 10.6  2.66 13.79  8.22 297 1024.3   8.0   9.5 999.0 99.0 99.00
2014 01 03 17 50  26  8.5 10.3  2.81 13.79  7.89 286 1024.6   8.1   9.5 999.0 99.0 99.00
2014 01 03 18 50  30  8.9 10.6  2.79 13.79  7.76 300 1025.1   8.1   9.5 999.0 99.0 99.00
2014 01 03 19 50  24  8.2 10.0  2.99 13.79  8.08 302 1025.2   8.3   9.5 999.0 99.0 99.00
2014 01 03 20 50  28  7.6  8.9  2.72 12.90  7.63 294 1024.7   8.2   9.5 999.0 99.0 99.00
2014 01 03 21 50  17  7.4  9.0  3.23 13.79  8.76 294 1024.6   8.4   9.5 999.0 99.0 99.00
2014 01 03 22 50  11  8.0  9.4  2.90 13.79  8.21 292 1024.7   8.5   9.5 999.0 99.0 99.00
2014 01 03 23 50  12  8.7 10.4  2.83 13.79  8.03 297 1025.0   8.5   9.5 999.0 99.0 99.00
2014 01 04 00 50  19  8.4 10.3  2.64 12.90  7.35 297 1025.0   8.4   9.4 999.0 99.0 99.00
2014 01 04 01 50  19  7.7  9.2  2.93 13.79  7.96 287 1025.0   8.5   9.5 999.0 99.0 99.00
2014 01 04 02 50  17  8.0  9.9  2.70 12.90  7.97 302 1025.3   8.4   9.4 999.0 99.0 99.00
2014 01 04 03 50  28  8.2  9.7  2.79 12.90  8.00 299 1025.7   8.2   9.3 999.0 99.0 99.00
2014 01 04 04 50  36  7.7  9.6  2.65 13.79  7.47 312 1026.4   8.2   9.3 999.0 99.0 99.00
2014 01 04 05 50  34  7.7  9.3  2.70 13.79  7.82 291 1026.3   8.2   9.2 999.0 99.0 99.00
2014 01 04 06 50  52  5.7  6.9  2.62 13.79  7.69 296 1026.3   7.6   9.2 999.0 99.0 99.00
2014 01 04 07 50  51  5.9  7.4  2.52 13.79  7.84 278 1026.6   7.6   9.1 999.0 99.0 99.00
2014 01 04 08 50  37  6.9  8.2  2.58 12.12  7.83 288 1026.4   7.4   9.1 999.0 99.0 99.00
2014 01 04 09 50  34  6.4  7.6  2.15 12.90  7.16 303 1026.3   7.3   9.1 999.0 99.0 99.00
