#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 12 31 23 50 999 99.0 99.0  0.84 12.90  5.00 999 1029.5   6.7  11.8 999.0 99.0 99.00
2015 01 01 00 50 999 99.0 99.0  0.97 12.12  4.92 999 1028.8   6.7  11.6 999.0 99.0 99.00
2015 01 01 01 50 999 99.0 99.0  0.83 12.90  4.83 999 1028.6   7.0  11.5 999.0 99.0 99.00
2015 01 01 02 50 999 99.0 99.0  0.78 12.12  4.44 999 1028.2   6.9  11.6 999.0 99.0 99.00
2015 01 01 03 50 999 99.0 99.0  0.87 12.12  4.28 999 1027.8   7.0  11.4 999.0 99.0 99.00
2015 01 01 04 50 999 99.0 99.0  0.78 12.12  4.45 999 1027.5   6.1  11.6 999.0 99.0 99.00
2015 01 01 05 50 999 99.0 99.0  0.87 12.90  4.58 999 1027.0   6.8  11.8 999.0 99.0 99.00
2015 01 01 06 50 999 99.0 99.0  0.85 12.12  4.45 999 1026.6   6.2  12.4 999.0 99.0 99.00
2015 01 01 07 50 999 99.0 99.0  0.95 13.79  4.97 999 1026.3   6.2  12.5 999.0 99.0 99.00
2015 01 01 08 50 999 99.0 99.0  1.15  6.67  5.61 999 1025.7   6.3  12.5 999.0 99.0 99.00
2015 01 01 09 50 999 99.0 99.0  1.42  7.14  6.03 999 1025.3   6.1  12.4 999.0 99.0 99.00
2015 01 01 10 50 999 99.0 99.0  1.40  7.69  5.97 999 1025.2   6.0  12.4 999.0 99.0 99.00
2015 01 01 11 50 999 99.0 99.0  1.54  7.69  6.21 999 1025.0   6.6  11.9 999.0 99.0 99.00
2015 01 01 12 50 999 99.0 99.0  1.52  7.69  6.21 999 1024.3   6.7  12.1 999.0 99.0 99.00
2015 01 01 13 50 999 99.0 99.0  1.46  7.69  6.27 999 1023.8   6.3  12.5 999.0 99.0 99.00
2015 01 01 14 50 999 99.0 99.0  1.42 13.79  6.24 999 1023.5   5.9  12.4 999.0 99.0 99.00
2015 01 01 15 50 999 99.0 99.0  1.43  7.69  6.06 999 1023.6   6.3  12.3 999.0 99.0 99.00
2015 01 01 16 50 999 99.0 99.0  1.31  6.67  5.68 999 1023.9   6.1  12.4 999.0 99.0 99.00
2015 01 01 17 50 999 99.0 99.0  1.33 13.79  6.00 999 1024.0   6.2  12.5 999.0 99.0 99.00
2015 01 01 18 50 999 99.0 99.0  1.18 13.79  5.78 999 1024.1   6.7  12.3 999.0 99.0 99.00
2015 01 01 19 50 999 99.0 99.0  1.33 13.79  6.37 999 1023.4   7.2  12.2 999.0 99.0 99.00
2015 01 01 20 50 999 99.0 99.0  1.30 13.79  6.50 999 1022.9   7.3  11.9 999.0 99.0 99.00
2015 01 01 21 50 999 99.0 99.0  1.35 13.79  6.81 999 1022.3   7.7  11.8 999.0 99.0 99.00
2015 01 01 22 50 999 99.0 99.0  1.14 12.90  6.29 999 1022.0   8.4  11.8 999.0 99.0 99.00
2015 01 01 23 50 999 99.0 99.0  1.14 12.90  6.55 999 1022.1   9.0  12.0 999.0 99.0 99.00
2015 01 02 00 50 999 99.0 99.0  1.33 12.90  6.65 999 1022.5   9.6  12.3 999.0 99.0 99.00
