#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2010 12 31 23 50 109  8.7 10.6  1.69 12.90  4.93 308 1011.8   5.9  10.1 999.0 99.0 99.00
2011 01 01 00 50 107  9.1 11.2  1.82 13.79  5.36 299 1011.7   5.7  10.1 999.0 99.0 99.00
2011 01 01 01 50 107  9.3 11.1  1.72 12.90  5.08 302 1011.5   5.7  10.1 999.0 99.0 99.00
2011 01 01 02 50 112  8.9 10.7  1.70 12.90  4.91 296 1011.5   5.8  10.1 999.0 99.0 99.00
2011 01 01 03 50 115  8.4 10.1  1.62 12.90  5.12 298 1011.8   5.9  10.1 999.0 99.0 99.00
2011 01 01 04 50 112  8.6 10.3  1.61 12.90  5.04 276 1011.8   5.7  10.1 999.0 99.0 99.00
2011 01 01 05 50 115  9.5 11.5  1.65 12.90  4.81  94 1011.5   6.1  10.0 999.0 99.0 99.00
2011 01 01 06 50 110  9.5 11.6  1.73 12.12  4.84 302 1011.5   6.0  10.0 999.0 99.0 99.00
2011 01 01 07 50 113 10.5 12.9  1.83  7.14  4.90 213 1011.2   5.8  10.0 999.0 99.0 99.00
2011 01 01 08 50 101 10.3 12.0  1.88  4.55  4.87 129 1010.9   5.4  10.0 999.0 99.0 99.00
2011 01 01 09 50 119 12.1 15.2  1.70  4.00  4.79 118 1011.0   6.4  10.0 999.0 99.0 99.00
2011 01 01 10 50 108 10.4 12.0  1.91  4.55  4.90 121 1011.4   5.7  10.1 999.0 99.0 99.00
2011 01 01 11 50 110 10.6 12.3  2.03  8.33  5.13 196 1011.7   5.6  10.1 999.0 99.0 99.00
2011 01 01 12 50 116 10.6 13.2  2.31  8.33  5.41 203 1011.9   6.4  10.2 999.0 99.0 99.00
2011 01 01 13 50 112  9.1 10.6  2.37  9.09  5.75 208 1012.8   6.7  10.2 999.0 99.0 99.00
2011 01 01 14 50 112  9.2 11.4  2.23  9.09  5.84 201 1013.4   6.7  10.1 999.0 99.0 99.00
2011 01 01 15 50 125 10.5 12.3  2.41  8.33  5.73 201 1013.9   7.2  10.2 999.0 99.0 99.00
