#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 01 16 50 113  8.3  9.9  2.14  9.09  5.86 205 1014.8   7.0  10.2 999.0 99.0 99.00
2011 01 01 17 50 106  8.4 10.0  2.28 17.39  6.27  64 1015.7   6.6  10.2 999.0 99.0 99.00
2011 01 01 18 50 100  8.0 10.0  2.84 17.39  7.52 284 1016.4   6.8  10.2 999.0 99.0 99.00
2011 01 01 19 50 109  7.3  9.9  2.96 16.00  7.83 291 1016.6   7.3  10.2 999.0 99.0 99.00
2011 01 01 20 50 101  7.7 10.0  3.57 16.00  9.16 289 1016.8   7.3  10.2 999.0 99.0 99.00
2011 01 01 21 50 101  6.9  9.0  3.95 16.00  9.48 284 1017.0   8.0  10.2 999.0 99.0 99.00
2011 01 01 22 50 111  6.7  8.8  3.99 16.00 10.26 289 1017.6   8.1  10.2 999.0 99.0 99.00
2011 01 01 23 50 109  6.8  9.8  4.27 12.12  9.65 285 1017.8   8.2  10.2 999.0 99.0 99.00
2011 01 02 00 50 106  6.2  8.6  4.23 14.81  9.93 294 1018.0   8.4  10.2 999.0 99.0 99.00
2011 01 02 01 50  97  6.9  8.9  4.57 14.81 10.08 286 1018.2   7.9  10.2 999.0 99.0 99.00
2011 01 02 02 50  96  6.6  9.0 99.00 99.00 99.00 999 1018.4   7.3  10.2 999.0 99.0 99.00
2011 01 02 03 50 101  6.7  8.8  4.46 14.81 10.35 286 1018.6   7.0  10.2 999.0 99.0 99.00
2011 01 02 04 50  93  5.7  8.4  4.07 16.00  9.58 290 1019.0   6.8  10.1 999.0 99.0 99.00
2011 01 02 05 50 109  6.3  8.4  3.68 14.81  9.48 278 1019.1   6.6  10.1 999.0 99.0 99.00
2011 01 02 06 50 103  5.7  7.7  3.81 14.81  9.52 296 1019.4   6.4  10.2 999.0 99.0 99.00
2011 01 02 07 50 101  5.4  6.8 99.00 99.00 99.00 999 1019.4   6.7  10.2 999.0 99.0 99.00
2011 01 02 08 50 106  5.1  7.1  3.34 14.81  9.32 283 1019.1   6.8  10.1 999.0 99.0 99.00
2011 01 02 09 50  86  4.5  6.0  3.22 14.81  9.60 290 1019.7   6.5  10.0 999.0 99.0 99.00
2011 01 02 10 50  78  6.4  8.0  2.98 12.90  8.98 278 1020.1   6.1   9.9 999.0 99.0 99.00
2011 01 02 11 50  83  5.3  7.0  2.71 13.79  9.14 288 1020.1   6.1   9.9 999.0 99.0 99.00
2011 01 02 12 50  78  4.4  6.6  2.90 13.79  9.49 296 1019.8   6.2   9.9 999.0 99.0 99.00
2011 01 02 13 50  84  5.6  7.1  3.31 12.90 10.15 283 1019.7   5.9   9.8 999.0 99.0 99.00
2011 01 02 14 50  73  6.4  8.1  3.45 12.90 10.14 289 1020.1   5.5   9.9 999.0 99.0 99.00
2011 01 02 15 50  81  6.4  8.3  3.17 13.79  9.76 288 1019.7   5.4  10.0 999.0 99.0 99.00
2011 01 02 16 50  86  6.1  7.8  3.28 12.90  9.55 292 1019.5   5.6   9.9 999.0 99.0 99.00
2011 01 02 17 50  83  7.2  8.9  3.12 12.12  9.23 290 1019.4   5.6   9.8 999.0 99.0 99.00
2011 01 02 18 50  82  6.4  8.2  3.48 11.43  9.55 296 1019.5   6.0   9.8 999.0 99.0 99.00
2011 01 02 19 50  86  5.8  7.9  3.35 12.90 10.00 285 1019.2   6.1   9.8 999.0 99.0 99.00
2011 01 02 20 50  37  3.6  5.5  3.03 16.00  9.76 300 1019.1   6.7   9.8 999.0 99.0 99.00
2011 01 02 21 50   9  4.1  4.9  2.91 14.81  9.95 287 1018.8   7.1   9.8 999.0 99.0 99.00
2011 01 02 22 50  12  5.1  5.9  2.69 13.79  9.86 291 1018.5   7.5   9.8 999.0 99.0 99.00
2011 01 02 23 50  14  7.4  8.6  3.18 13.79 10.49 300 1018.4   8.0   9.8 999.0 99.0 99.00
2011 01 03 00 50  32  7.2  8.3  2.97 13.79  9.56 299 1018.4   7.9   9.8 999.0 99.0 99.00
2011 01 03 01 50  45  6.5  7.9  2.70 12.90  8.94 295 1018.4   8.0   9.8 999.0 99.0 99.00
2011 01 03 02 50  92  5.0  6.3  2.92 13.79  9.47 301 1018.3   7.1   9.8 999.0 99.0 99.00
2011 01 03 03 50  89  5.6  7.4 99.00 99.00 99.00 999 1018.3   6.4   9.7 999.0 99.0 99.00
2011 01 03 04 50  93  5.8  7.6  2.40 13.79  8.48 296 1018.4   6.0   9.7 999.0 99.0 99.00
2011 01 03 05 50  96  6.0  7.2  2.51 12.90  8.39 293 1018.6   5.9   9.7 999.0 99.0 99.00
2011 01 03 06 50  84  6.7  8.0  2.30 13.79  8.27 296 1018.8   5.8   9.6 999.0 99.0 99.00
2011 01 03 07 50  73  5.0  6.1 99.00 99.00 99.00 999 1019.2   5.8   9.6 999.0 99.0 99.00
2011 01 03 08 50  80  5.9  7.2  2.32 11.43  8.87 299 1019.2   5.8   9.5 999.0 99.0 99.00
2011 01 03 09 50  79  5.9  7.9  2.50 12.90  8.50 303 1019.2   5.6   9.5 999.0 99.0 99.00
2011 01 03 10 50  79  5.3  6.9  2.47 11.43  8.57 297 1019.5   5.3   9.5 999.0 99.0 99.00
2011 01 03 11 50  70  4.6  6.2  2.10 12.90  7.99 288 1019.5   5.3   9.5 999.0 99.0 99.00
2011 01 03 12 50  63  4.6  6.5  2.45 12.90  8.64 289 1019.7   5.5   9.5 999.0 99.0 99.00
2011 01 03 13 50  81  4.9  6.6  2.50 12.90  8.84 293 1020.0   5.5   9.7 999.0 99.0 99.00
2011 01 03 14 50  66  3.9  5.4  2.49 12.90  8.86 301 1020.5   5.2   9.7 999.0 99.0 99.00
2011 01 03 15 50  68  3.4  4.9  2.41 12.90  8.84 302 1020.7   5.2   9.6 999.0 99.0 99.00
2011 01 03 16 50  95  3.5  5.1  1.88 12.90  8.33 290 1020.9   5.4   9.6 999.0 99.0 99.00
2011 01 03 17 50  81  4.3  5.7  2.21 12.90  8.77 291 1021.4   5.4   9.8 999.0 99.0 99.00
2011 01 03 18 50  85  6.0  7.5  2.04 12.90  7.73 291 1021.5   4.9   9.8 999.0 99.0 99.00
2011 01 03 19 50  71  5.0  6.3  1.92 13.79  7.44 285 1021.6   5.6   9.7 999.0 99.0 99.00
2011 01 03 20 50  58  3.5  4.9  1.91 13.79  8.38 297 1021.1   6.1   9.7 999.0 99.0 99.00
2011 01 03 21 50  70  4.4  5.6  1.87 13.79  8.68 312 1020.5   6.5   9.7 999.0 99.0 99.00
2011 01 03 22 50  21  4.1  4.6  1.96 12.90  9.31 295 1021.0   6.6   9.6 999.0 99.0 99.00
2011 01 03 23 50   5  5.2  6.0  2.51 12.90 11.03 295 1021.5   7.4   9.6 999.0 99.0 99.00
2011 01 04 00 50  18  5.7  7.0  2.34 12.90 10.25 293 1021.6   7.3   9.6 999.0 99.0 99.00
2011 01 04 01 50  39  5.7  7.2  1.92 17.39  8.29 299 1022.0   7.9   9.5 999.0 99.0 99.00
2011 01 04 02 50  27  5.3  6.2  2.27 12.12  9.04 290 1022.7   7.8   9.5 999.0 99.0 99.00
2011 01 04 03 50  35  4.3  5.2  2.96 16.00 10.94 288 1022.9   7.6   9.4 999.0 99.0 99.00
2011 01 04 04 50  50  3.3  4.4  3.14 16.00 11.19 289 1023.1   7.4   9.4 999.0 99.0 99.00
2011 01 04 05 50  77  3.9  5.8  2.87 16.00 10.58 274 1022.6   7.2   9.4 999.0 99.0 99.00
2011 01 04 06 50  81  3.4  5.0  3.31 16.00 11.80 288 1022.9   6.5   9.4 999.0 99.0 99.00
2011 01 04 07 50  95  3.4  5.2  3.05 16.00 11.43 290 1022.9   6.6   9.4 999.0 99.0 99.00
2011 01 04 08 50  88  4.3  5.6  3.19 17.39 11.19 287 1022.8   6.0   9.3 999.0 99.0 99.00
2011 01 04 09 50  88  2.9  4.7  3.40 16.00 11.54 279 1023.0   5.9   9.3 999.0 99.0 99.00
2011 01 04 10 50  85  2.6  4.0  3.51 14.81 11.95 283 1023.5   5.9   9.3 999.0 99.0 99.00
2011 01 04 11 50  89  1.8  3.3  3.38 14.81 11.92 283 1023.2   5.7   9.3 999.0 99.0 99.00
2011 01 04 12 50 137  1.4  2.8  3.26 14.81 11.84 287 1023.3   5.9   9.3 999.0 99.0 99.00
2011 01 04 13 50  95  0.4  1.5  3.92 14.81 12.78 288 1023.5   6.0   9.3 999.0 99.0 99.00
2011 01 04 14 50 127  1.1  2.4  3.69 14.81 12.59 286 1023.9   6.0   9.3 999.0 99.0 99.00
2011 01 04 15 50 120  1.9  3.7  3.55 14.81 12.12 287 1023.8   6.0   9.4 999.0 99.0 99.00
2011 01 04 16 50 135  2.1  3.8  3.58 16.00 12.01 290 1024.5   6.2   9.3 999.0 99.0 99.00
2011 01 04 17 50 160  2.8  4.4  3.39 13.79 11.78 288 1024.6   6.3   9.5 999.0 99.0 99.00
2011 01 04 18 50 168  2.6  3.9  3.59 13.79 11.92 284 1024.9   7.4   9.6 999.0 99.0 99.00
2011 01 04 19 50 182  5.5  7.0  3.49 13.79 11.76 289 1024.2   7.2   9.7 999.0 99.0 99.00
2011 01 04 20 50 182  5.4  6.7  3.15 16.00 10.71 282 1023.6   7.3   9.7 999.0 99.0 99.00
2011 01 04 21 50 181  6.3  7.7  3.01 13.79 10.09 282 1023.6   7.4   9.6 999.0 99.0 99.00
2011 01 04 22 50 179  6.4  7.8  2.67 12.90  9.69 283 1023.8   7.7   9.6 999.0 99.0 99.00
2011 01 04 23 50 183  6.6  8.0  2.94 13.79  9.72 284 1024.5   7.9   9.6 999.0 99.0 99.00
2011 01 05 00 50 191  6.1  7.3  2.91 16.00  9.92 289 1024.9   8.4   9.6 999.0 99.0 99.00
2011 01 05 01 50 209  5.7  7.0  2.86 13.79  9.43 287 1024.7   9.0   9.5 999.0 99.0 99.00
2011 01 05 02 50 209  5.2  6.0  3.00 14.81 10.11 282 1024.3   9.0   9.5 999.0 99.0 99.00
2011 01 05 03 50 201  4.8  5.6  2.93 16.00 10.26 289 1024.2   9.1   9.5 999.0 99.0 99.00
2011 01 05 04 50 198  5.7  6.8  2.69 14.81 10.00 281 1024.2   9.2   9.5 999.0 99.0 99.00
2011 01 05 05 50 201  6.2  7.5  2.45 14.81  9.53 281 1024.2   9.4   9.5 999.0 99.0 99.00
2011 01 05 06 50 174  7.3  9.0  2.28 14.81  7.98 284 1024.2   9.0   9.5 999.0 99.0 99.00
2011 01 05 07 50 178  7.0  8.7  2.73 13.79  8.64 297 1024.4   9.0   9.4 999.0 99.0 99.00
2011 01 05 08 50 202  6.2  7.3  2.91 14.81  9.05 282 1024.2   9.6   9.4 999.0 99.0 99.00
2011 01 05 09 50 199  7.9  9.1  2.88 13.79  8.55 294 1023.9   9.6   9.4 999.0 99.0 99.00
2011 01 05 10 50 200  7.3  8.8  2.80 12.90  8.00 286 1024.3   9.7   9.4 999.0 99.0 99.00
2011 01 05 11 50 203  8.0  9.7  2.66 13.79  7.53 306 1024.5   9.6   9.4 999.0 99.0 99.00
2011 01 05 12 50 204  7.9  9.4  2.95 13.79  7.56 287 1024.7   9.6   9.4 999.0 99.0 99.00
2011 01 05 13 50 202  9.1 10.6  2.81 12.90  7.22 275 1024.5   9.6   9.4 999.0 99.0 99.00
2011 01 05 14 50 204  8.4 10.1  3.15 12.90  7.36 280 1024.9   9.6   9.4 999.0 99.0 99.00
2011 01 05 15 50 198  9.0 10.6  3.20 13.79  7.19 271 1025.0   9.6   9.4 999.0 99.0 99.00
2011 01 05 16 50 195  9.5 11.2  3.12 13.79  7.10 265 1025.4   9.7   9.4 999.0 99.0 99.00
2011 01 05 17 50 192  9.1 11.4  3.19 14.81  7.15 254 1026.0   9.6   9.5 999.0 99.0 99.00
2011 01 05 18 50 194  8.7 10.4  3.25 14.81  7.11 285 1026.8   9.8   9.5 999.0 99.0 99.00
2011 01 05 19 50 198  8.6 10.5  3.10 12.90  7.02 263 1026.7   9.8   9.5 999.0 99.0 99.00
2011 01 05 20 50 190  9.0 11.0  3.01 14.81  6.74 142 1025.9   9.9   9.5 999.0 99.0 99.00
2011 01 05 21 50 191  9.8 11.8  3.05 14.81  6.97 278 1025.4  10.0   9.5 999.0 99.0 99.00
2011 01 05 22 50 197  9.1 10.6  3.12 13.79  7.00 281 1026.0  10.0   9.5 999.0 99.0 99.00
2011 01 05 23 50 194  8.5 10.1  2.90 13.79  6.96 294 1026.4  10.0   9.5 999.0 99.0 99.00
2011 01 06 00 50 192  7.7  9.3  2.98 13.79  7.24 288 1026.8  10.0   9.5 999.0 99.0 99.00
2011 01 06 01 50 195  7.0  8.2  3.02 12.90  7.80 284 1027.0  10.1   9.5 999.0 99.0 99.00
2011 01 06 02 50 191  6.9  8.5  2.79 13.79  7.43 291 1027.1  10.1   9.6 999.0 99.0 99.00
2011 01 06 03 50 195  6.5  8.1  2.55 13.79  7.35 276 1027.4  10.1   9.6 999.0 99.0 99.00
2011 01 06 04 50 191  5.4  6.6  2.90 12.90  8.04 294 1027.4  10.0   9.7 999.0 99.0 99.00
2011 01 06 05 50 179  4.6  5.4  3.07 11.43  8.38 282 1027.4  10.0   9.7 999.0 99.0 99.00
2011 01 06 06 50 165  5.6  6.9  2.95 12.12  8.25 280 1027.3   9.8   9.7 999.0 99.0 99.00
2011 01 06 07 50 166  6.0  7.7  3.20 13.79  8.57 272 1026.9   9.7   9.7 999.0 99.0 99.00
2011 01 06 08 50 177  5.4  6.9  3.49 19.05  9.30 290 1026.5   9.8   9.7 999.0 99.0 99.00
2011 01 06 09 50 177  4.4  5.5  3.65 19.05  9.46 295 1026.3   9.8   9.7 999.0 99.0 99.00
2011 01 06 10 50 187  4.5  5.7  3.61 19.05 10.08 293 1026.7   9.8   9.7 999.0 99.0 99.00
2011 01 06 11 50 176  4.4  5.7  3.73 19.05 10.25 297 1026.5   9.8   9.7 999.0 99.0 99.00
2011 01 06 12 50 182  4.2  5.4  3.49 17.39  9.95 298 1026.2   9.8   9.7 999.0 99.0 99.00
2011 01 06 13 50 185  4.0  5.3  3.66 17.39 10.36 303 1026.2   9.8   9.6 999.0 99.0 99.00
2011 01 06 14 50 188  4.2  5.1  4.36 17.39 12.02 288 1026.0   9.8   9.7 999.0 99.0 99.00
2011 01 06 15 50 176  4.1  5.3  4.28 17.39 11.87 293 1026.0   9.8   9.7 999.0 99.0 99.00
2011 01 06 16 50 174  4.4  5.7  4.27 17.39 11.75 287 1026.1   9.8   9.7 999.0 99.0 99.00
2011 01 06 17 50 176  4.8  5.9  4.44 16.00 11.86 297 1026.3   9.9   9.7 999.0 99.0 99.00
2011 01 06 18 50 180  4.6  6.0  4.31 17.39 11.68 291 1026.1   9.6   9.7 999.0 99.0 99.00
2011 01 06 19 50 186  4.0  5.3  3.85 14.81 11.05 293 1025.6   9.8   9.7 999.0 99.0 99.00
2011 01 06 20 50 198  4.1  5.5  3.92 16.00 11.12 295 1024.6   9.8   9.8 999.0 99.0 99.00
2011 01 06 21 50 210  3.6  4.7  4.41 16.00 11.80 292 1024.3   9.8   9.9 999.0 99.0 99.00
2011 01 06 22 50 226  1.0  2.4  3.70 13.79 11.02 302 1024.3   9.9  10.1 999.0 99.0 99.00
2011 01 06 23 50 238  0.7  1.8  4.79 16.00 12.03 292 1024.5   9.8   9.9 999.0 99.0 99.00
2011 01 07 00 50 125  0.9  2.4  4.45 16.00 11.75 292 1023.9   9.8   9.8 999.0 99.0 99.00
2011 01 07 01 50 151  1.4  3.0  3.76 16.00 11.29 287 1023.7   9.6   9.8 999.0 99.0 99.00
2011 01 07 02 50 166  1.5  2.9  3.66 14.81 10.90 295 1023.7   9.7   9.8 999.0 99.0 99.00
2011 01 07 03 50 170  1.9  3.1  3.73 16.00 10.89 295 1023.5   9.6   9.8 999.0 99.0 99.00
2011 01 07 04 50 174  1.8  3.1  3.42 16.00 10.89 288 1023.1   9.7   9.8 999.0 99.0 99.00
2011 01 07 05 50 192  2.2  3.8  3.82 16.00 11.25 289 1023.1   9.7   9.8 999.0 99.0 99.00
2011 01 07 06 50 178  2.7  3.8  3.76 14.81 11.37 294 1023.0   9.8   9.8 999.0 99.0 99.00
2011 01 07 07 50 196  2.2  2.9  3.23 12.90 10.47 294 1022.9   9.8   9.8 999.0 99.0 99.00
2011 01 07 08 50 203  2.2  2.9  3.52 16.00 10.80 293 1022.2   9.8   9.8 999.0 99.0 99.00
2011 01 07 09 50 201  2.6  3.3  3.67 13.79 11.29 296 1022.1   9.8   9.8 999.0 99.0 99.00
2011 01 07 10 50 201  2.7  3.4  3.84 13.79 11.49 297 1022.2   9.9   9.7 999.0 99.0 99.00
2011 01 07 11 50 205  2.6  3.2  3.58 14.81 10.90 286 1021.9   9.7   9.7 999.0 99.0 99.00
2011 01 07 12 50 185  3.0  4.1  3.66 16.00 11.33 288 1021.6   9.8   9.7 999.0 99.0 99.00
2011 01 07 13 50 197  3.9  5.0  3.92 12.12 11.05 298 1021.4   9.9   9.7 999.0 99.0 99.00
2011 01 07 14 50 187  6.1  7.4  3.21 12.90  9.78 284 1021.4   9.6   9.6 999.0 99.0 99.00
2011 01 07 15 50 182  7.1  8.8  3.09 13.79  9.33 285 1021.1   9.6   9.5 999.0 99.0 99.00
2011 01 07 16 50 181  7.4  8.9  3.38 13.79  9.45 289 1021.0   9.7   9.5 999.0 99.0 99.00
2011 01 07 17 50 184  8.2 10.1  3.14 12.90  8.56 285 1021.1   9.5   9.6 999.0 99.0 99.00
2011 01 07 18 50 187  8.7 10.5  3.10 16.00  8.15 285 1020.6   9.7   9.5 999.0 99.0 99.00
2011 01 07 19 50 188  9.2 11.1  2.92 14.81  7.41 283 1019.9   9.8   9.6 999.0 99.0 99.00
2011 01 07 20 50 208  9.3 11.8  3.14 12.90  7.71 273 1019.5   9.7   9.6 999.0 99.0 99.00
2011 01 07 21 50 208  9.1 11.5  3.11 13.79  7.54 292 1019.1   9.3   9.7 999.0 99.0 99.00
2011 01 07 22 50 332  5.5  9.3  3.01 14.81  7.80 286 1019.6   9.0   9.7 999.0 99.0 99.00
2011 01 07 23 50 340  8.0 10.1  3.23 13.79  8.10 290 1020.2   8.7   9.7 999.0 99.0 99.00
2011 01 08 00 50 354  8.7 10.3  3.04 14.81  7.88 293 1020.6   8.7   9.7 999.0 99.0 99.00
2011 01 08 01 50 359  7.8  9.9  2.79 13.79  7.37 293 1021.0   8.8   9.8 999.0 99.0 99.00
2011 01 08 02 50 351  9.6 11.7  2.78 13.79  6.96 310 1021.1   9.2   9.8 999.0 99.0 99.00
2011 01 08 03 50 351  9.1 10.8  3.08 13.79  7.05 287 1021.5   9.0  10.0 999.0 99.0 99.00
2011 01 08 04 50 345  8.9 10.6  2.94 13.79  7.24 292 1021.7   8.8  10.1 999.0 99.0 99.00
2011 01 08 05 50   2  7.4  9.0  3.15 12.90  7.86 292 1022.1   8.7  10.2 999.0 99.0 99.00
2011 01 08 06 50 344  7.7  9.4  2.99 12.12  7.79 288 1022.3   8.7  10.3 999.0 99.0 99.00
2011 01 08 07 50 353  5.5  9.2  3.04 12.90  7.83 299 1022.7   8.0  10.2 999.0 99.0 99.00
2011 01 08 08 50 341  6.2  7.3  3.25 14.81  8.45 278 1022.6   8.4  10.1 999.0 99.0 99.00
2011 01 08 09 50 349  3.2  4.8  2.96 12.12  7.74 290 1022.7   7.6  10.0 999.0 99.0 99.00
2011 01 08 10 50 340  7.2  8.7  3.00 10.81  8.25 298 1023.3   8.2  10.0 999.0 99.0 99.00
2011 01 08 11 50 327  7.6  9.4  2.88 12.90  7.93 296 1023.2   7.8  10.0 999.0 99.0 99.00
2011 01 08 12 50 335  4.3  6.3  2.87 12.90  7.81 286 1023.0   8.1   9.9 999.0 99.0 99.00
2011 01 08 13 50 325  5.7 10.6  2.86 12.90  7.70 290 1023.1   7.1   9.9 999.0 99.0 99.00
2011 01 08 14 50 309  3.3  5.2  2.72 10.81  7.65 302 1022.8   7.7   9.8 999.0 99.0 99.00
2011 01 08 15 50 316  5.7  7.6  2.53 12.90  7.64 296 1022.7   8.1   9.8 999.0 99.0 99.00
2011 01 08 16 50 310  5.6  6.9  2.71 13.79  7.69 289 1022.8   7.7   9.8 999.0 99.0 99.00
2011 01 08 17 50 326 10.7 13.6  2.52 12.12  7.52 293 1022.6   7.2   9.8 999.0 99.0 99.00
2011 01 08 18 50  32  1.3  2.4  2.50 10.81  7.50 297 1023.1   6.9   9.8 999.0 99.0 99.00
2011 01 08 19 50 282  6.0  7.2  2.53 12.90  7.62 299 1022.4   7.4   9.8 999.0 99.0 99.00
2011 01 08 20 50 269  3.2  5.9  2.73 12.90  8.54 287 1022.0   7.5   9.8 999.0 99.0 99.00
2011 01 08 21 50 287  9.2 11.4  2.51 12.90  7.72 285 1021.3   6.9   9.7 999.0 99.0 99.00
2011 01 08 22 50 323  3.6  5.8  2.73 12.12  7.60 299 1021.7   6.4   9.5 999.0 99.0 99.00
2011 01 08 23 50 256  2.6  3.7  2.38 12.90  7.26 295 1021.8   6.2   9.5 999.0 99.0 99.00
2011 01 09 00 50 332  5.3  6.4  2.56 12.90  7.97 298 1021.6   7.5   9.6 999.0 99.0 99.00
2011 01 09 01 50 343  1.9  2.7  2.71 12.90  7.98 301 1021.6   6.5   9.7 999.0 99.0 99.00
2011 01 09 02 50 316  0.9  1.6  2.26 12.12  7.72 302 1021.4   6.7   9.7 999.0 99.0 99.00
2011 01 09 03 50 306  2.8  6.9  2.19 12.12  7.58 298 1021.0   6.6   9.8 999.0 99.0 99.00
2011 01 09 04 50 318  2.6  4.2  2.43 12.12  7.77 292 1020.8   7.0   9.8 999.0 99.0 99.00
2011 01 09 05 50 317  4.7  6.4  2.33 12.12  7.22 283 1021.2   7.9   9.8 999.0 99.0 99.00
2011 01 09 06 50 349  5.2  7.3  2.39 11.43  6.91 292 1021.2   7.1   9.7 999.0 99.0 99.00
2011 01 09 07 50 316  6.3  8.6  2.15 12.90  6.84 294 1021.1   7.8   9.7 999.0 99.0 99.00
2011 01 09 08 50 298  7.9  9.6  2.23 12.12  6.77 288 1020.6   7.2   9.7 999.0 99.0 99.00
2011 01 09 09 50 313  4.8  5.8  2.22  7.69  6.49 302 1020.8   7.1   9.7 999.0 99.0 99.00
2011 01 09 10 50 269  1.7  3.3  2.20 12.12  6.74 292 1020.9   6.3   9.7 999.0 99.0 99.00
2011 01 09 11 50 314  8.2 10.2 99.00 99.00 99.00 999 1020.5   7.3   9.6 999.0 99.0 99.00
2011 01 09 12 50 301  5.9  7.1  2.26 12.12  6.73 294 1020.7   7.4   9.6 999.0 99.0 99.00
2011 01 09 13 50 277  7.0  8.5  2.41 19.05  7.11 325 1020.5   7.2   9.6 999.0 99.0 99.00
2011 01 09 14 50 321  2.8  6.7  2.41 19.05  7.01 314 1020.8   6.0   9.6 999.0 99.0 99.00
2011 01 09 15 50 314  5.4  6.8  2.28 12.12  6.72 299 1021.0   7.4   9.6 999.0 99.0 99.00
2011 01 09 16 50 298  3.9  5.4  2.29 19.05  7.05 292 1021.4   7.3   9.5 999.0 99.0 99.00
2011 01 09 17 50  17  1.4  4.0  2.27 19.05  7.04 284 1021.8   6.7   9.5 999.0 99.0 99.00
2011 01 09 18 50 290  2.0  3.1  2.69 19.05  8.14 297 1021.9   7.5   9.4 999.0 99.0 99.00
2011 01 09 19 50  61  2.9  3.8  2.58 19.05  8.07 286 1021.5   6.5   9.5 999.0 99.0 99.00
2011 01 09 20 50 142  3.3  4.5  2.64 19.05  8.01 286 1021.3   6.4   9.4 999.0 99.0 99.00
2011 01 09 21 50 307  5.2  7.3  2.64 17.39  8.15 274 1021.4   7.7   9.4 999.0 99.0 99.00
2011 01 09 22 50 310  4.4  5.6  2.40 17.39  7.16 289 1021.8   7.8   9.4 999.0 99.0 99.00
2011 01 09 23 50 297  4.1  5.5  2.86 17.39  7.93 301 1022.2   7.9   9.4 999.0 99.0 99.00
2011 01 10 00 50 344  2.3  3.3  2.48 17.39  7.28 289 1022.3   6.7   9.4 999.0 99.0 99.00
2011 01 10 01 50  43  2.1  3.0  2.39 17.39  7.30 294 1022.7   6.9 999.0 999.0 99.0 99.00
2011 01 10 02 50 103  1.8  3.3  2.30 17.39  7.28 299 1023.3   5.4 999.0 999.0 99.0 99.00
2011 01 10 03 50 146  1.0  2.0  2.57 17.39  8.07 303 1023.8   6.2 999.0 999.0 99.0 99.00
2011 01 10 04 50 198  2.4  3.4  2.71 16.00  8.67 304 1024.2   6.6 999.0 999.0 99.0 99.00
2011 01 10 05 50  39  1.1  2.5  2.36 17.39  7.78 308 1024.5   6.4 999.0 999.0 99.0 99.00
2011 01 10 06 50 151  1.6  2.8  2.49 16.00  8.39 297 1024.9   6.6 999.0 999.0 99.0 99.00
2011 01 10 07 50 189  2.6  3.7  2.55 16.00  8.58 295 1024.8   6.9 999.0 999.0 99.0 99.00
2011 01 10 08 50 180  4.2  6.9  2.38 16.00  8.38 291 1024.6   6.7 999.0 999.0 99.0 99.00
2011 01 10 09 50 176  4.3  5.2  2.79 16.00  8.66 298 1024.7   6.4 999.0 999.0 99.0 99.00
2011 01 10 10 50 173  4.8  5.9  2.69 16.00  8.91 305 1024.8   6.6 999.0 999.0 99.0 99.00
2011 01 10 11 50 163  5.9  7.1  2.78 16.00  9.09 305 1024.8   6.5 999.0 999.0 99.0 99.00
