YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
91 11 16 17 168 18.3 23.3 05.90 09.10 07.90 208 1002.1  10.1  12.1 999.0 20.8
91 11 16 18 172 17.4 23.2 05.70 09.10 07.80 204 1001.9  10.2  12.1 999.0 20.4
91 11 16 19 170 17.7 22.9 06.40 10.00 08.30 201 1001.4  10.2  12.1 999.0 20.1
91 11 16 20 170 17.9 23.3 07.20 10.00 08.70 205 0999.9  09.7  12.1 999.0 20.5
91 11 16 21 168 18.3 22.7 07.60 11.10 08.90 200 0998.1  10.2  12.1 999.0 20.0
91 11 16 22 167 17.6 23.2 99.00 99.00 99.00 999 0996.1  11.0  12.1 999.0 99.0
91 11 16 23 165 14.9 19.3 06.90 12.50 09.00 198 0994.6  10.9  12.5 999.0 19.8
91 11 17 00 170 18.3 26.2 99.00 99.00 99.00 999 0993.3  11.7  12.5 999.0 99.0
91 11 17 01 173 20.9 26.5 99.00 99.00 99.00 999 0991.7  11.2  12.5 999.0 99.0
91 11 17 02 176 20.8 26.2 07.80 12.50 09.00 196 0990.6  11.1  12.5 999.0 19.6
91 11 17 03 186 18.6 23.7 99.00 99.00 99.00 999 0991.4  11.7  12.6 999.0 99.0
91 11 17 04 190 18.2 24.0 09.10 12.50 09.90 202 0991.1  12.3  12.5 999.0 20.2
91 11 17 05 246 15.3 19.5 08.00 12.50 09.30 227 0995.2  12.9  12.2 999.0 22.7
91 11 17 06 230 12.0 16.3 07.40 12.50 09.30 219 0997.7  13.3  12.2 999.0 21.9
91 11 17 07 234 09.6 13.4 07.30 12.50 09.50 234 0998.7  12.6  12.5 999.0 23.4
91 11 17 08 195 10.3 13.0 07.00 12.50 09.50 227 0999.5  12.6  12.5 999.0 22.7
91 11 17 09 186 12.0 14.7 06.90 12.50 09.60 259 1000.0  12.2  12.5 999.0 25.9
91 11 17 10 185 11.8 15.0 07.10 12.50 09.90 268 1000.0  12.5  12.5 999.0 26.8
91 11 17 11 186 11.0 13.9 07.10 14.30 09.90 281 0999.9  12.5  12.5 999.0 28.1
91 11 17 12 213 13.0 15.8 06.40 14.30 09.60 281 1000.1  12.0  12.5 999.0 28.1
91 11 17 13 206 08.4 11.1 06.70 14.30 09.80 277 0999.2  11.7  12.5 999.0 27.7
91 11 17 14 190 07.3 09.3 06.10 14.30 09.80 277 0999.7  11.6  12.5 999.0 27.7
91 11 17 15 180 07.6 09.6 06.60 12.50 09.90 267 1000.4  11.1  12.5 999.0 26.7
91 11 17 16 194 08.3 10.1 99.00 99.00 99.00 999 1001.0  11.5  12.5 999.0 99.0
91 11 17 17 185 08.3 10.0 06.10 14.30 09.70 274 1001.2  11.7  12.2 999.0 27.4
91 11 17 18 187 08.1 10.2 05.70 14.30 09.40 283 1001.8  11.7  12.2 999.0 28.3
91 11 17 19 191 08.2 10.3 05.50 14.30 09.70 272 1002.3  12.1  12.2 999.0 27.2
91 11 17 20 196 08.0 11.2 06.00 14.30 10.20 282 1001.8  12.1  12.5 999.0 28.2
91 11 17 21 210 05.3 09.5 05.40 14.30 09.80 284 1001.7  10.7  12.4 999.0 28.4
91 11 17 22 198 06.9 08.7 05.80 14.30 10.20 280 1001.5  11.8  12.5 999.0 28.0
91 11 17 23 197 07.6 09.8 05.40 12.50 09.70 269 1001.9  09.9  12.2 999.0 26.9
91 11 18 00 182 08.0 10.1 05.20 14.30 09.60 284 1002.1  10.5  12.2 999.0 28.4
91 11 18 01 193 08.5 10.7 05.30 14.30 09.60 277 1002.1  11.3  12.5 999.0 27.7
91 11 18 02 195 07.1 09.2 04.90 14.30 09.60 269 1002.4  11.7  12.5 999.0 26.9
91 11 18 03 234 02.7 04.8 04.80 14.30 09.20 269 1003.5  09.8  12.5 999.0 26.9
91 11 18 04 229 03.5 05.2 04.80 14.30 09.50 265 1003.9  10.5  12.5 999.0 26.5
91 11 18 05 228 04.8 06.8 04.50 12.50 09.10 270 1004.7  10.9  12.5 999.0 27.0
91 11 18 06 300 06.4 08.5 04.60 14.30 09.40 276 1005.9  10.1  12.5 999.0 27.6
91 11 18 07 270 04.6 06.7 04.90 14.30 09.60 273 1006.6  10.5  12.5 999.0 27.3
91 11 18 08 249 06.5 08.5 04.60 14.30 09.50 274 1008.3  11.3  12.5 999.0 27.4
91 11 18 09 277 06.7 09.9 99.00 99.00 99.00 999 1009.4  10.7  12.5 999.0 99.0
91 11 18 10 284 08.7 12.4 04.20 14.30 08.90 273 1010.7  11.2  12.4 999.0 27.3
91 11 18 11 293 09.4 12.1 99.00 99.00 99.00 999 1012.4  11.7  12.2 999.0 99.0
91 11 18 12 284 07.5 09.6 04.90 14.30 09.30 275 1013.5  11.8  12.2 999.0 27.5
91 11 18 13 283 05.3 07.8 04.70 14.30 09.50 274 1014.6  11.9  12.3 999.0 27.4
91 11 18 14 271 05.5 07.4 04.70 14.30 09.30 266 1015.8  12.2  12.4 999.0 26.6
91 11 18 15 244 05.4 07.2 05.00 14.30 09.80 262 1016.5  12.2  12.5 999.0 26.2
91 11 18 16 244 04.6 06.5 05.60 14.30 10.20 270 1017.5  12.1  12.5 999.0 27.0
91 11 18 17 228 06.0 09.7 99.00 99.00 99.00 999 1018.7  12.3  12.5 999.0 99.0
91 11 18 18 187 04.6 06.2 04.60 12.50 09.60 266 1019.2  12.1  12.5 999.0 26.6
91 11 18 19 182 07.1 09.1 05.20 16.70 10.30 261 1019.8  12.1  12.5 999.0 26.1
91 11 18 20 195 07.5 09.6 04.90 14.30 10.10 261 1020.0  12.2  12.5 999.0 26.1
91 11 18 21 163 07.2 09.0 04.60 14.30 09.70 266 1019.9  12.0  12.5 999.0 26.6
91 11 18 22 188 07.1 08.6 05.30 14.30 10.30 276 1020.6  12.1  12.5 999.0 27.6
91 11 18 23 198 07.5 09.3 05.80 16.70 10.70 267 1020.8  12.6  12.5 999.0 26.7
