YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 01 00 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
98 01 01 01 188  7.3  8.8  2.50 12.50  7.68 999 1011.8  11.8  12.5 999.0 99.0
98 01 01 02 200  6.8  8.8  2.26 12.50  6.68 999 1011.2  11.4  12.5 999.0 99.0
98 01 01 03 192  8.8 10.7  2.50 11.11  6.92 999 1010.5  11.8  12.5 999.0 99.0
98 01 01 04 186 10.3 13.0  2.46 11.11  6.16 999 1009.7  12.1  12.2 999.0 99.0
98 01 01 05 186 11.2 13.5  2.45 11.11  5.87 999 1008.9  11.8  12.2 999.0 99.0
98 01 01 06 194 11.2 13.5  2.65 11.11  5.97 999 1008.2  11.8  12.2 999.0 99.0
98 01 01 07 199 11.0 14.1  2.68  6.67  6.00 999 1007.7  11.7  12.2 999.0 99.0
98 01 01 08 215 11.0 13.4  2.88  6.67  6.03 999 1006.7  11.4  12.5 999.0 99.0
98 01 01 09 203  9.5 11.8  2.87 11.11  6.25 999 1006.1  11.7  12.3 999.0 99.0
98 01 01 10 193 10.4 13.0  2.90  7.69  6.04 999 1005.3  12.2  12.2 999.0 99.0
98 01 01 11 197 13.7 17.2  3.48  7.69  6.41 999 1004.0  12.1  12.2 999.0 99.0
98 01 01 12 201 10.1 11.8  3.10  7.69  6.28 999 1003.4  11.8  12.2 999.0 99.0
98 01 01 13 190 12.5 15.4  3.19  7.69  6.26 999 1001.8  12.1  12.2 999.0 99.0
98 01 01 14 177 14.6 18.2  3.29  8.33  6.44 999 1000.1  12.1  12.2 999.0 99.0
98 01 01 15 187 17.1 21.3  3.92  7.69  6.51 999  999.0  12.5  12.2 999.0 99.0
98 01 01 16 188 12.8 16.0  4.34  8.33  7.14 999  998.9  12.0  12.1 999.0 99.0
98 01 01 17 199 12.7 14.9  4.13  9.09  7.03 999  999.3  11.7  12.1 999.0 99.0
98 01 01 18 214 12.8 15.5  3.64 10.00  6.85 999  999.6  11.3  12.1 999.0 99.0
98 01 01 19 202 12.0 14.6  3.83 10.00  6.89 999  999.5  12.1  12.1 999.0 99.0
98 01 01 20 216 12.5 15.3  3.78  9.09  6.79 999  999.4  12.1  12.5 999.0 99.0
98 01 01 21 232 10.3 12.8  3.63 10.00  6.73 999  999.7  11.5  12.5 999.0 99.0
98 01 01 22 265  8.3  9.6  3.52 10.00  6.77 999  999.7  10.6  12.5 999.0 99.0
98 01 01 23 308  5.1  6.6  3.07  9.09  6.70 999 1000.1   9.7  12.5 999.0 99.0
98 01 02 00 326  4.6  6.0  2.95  9.09  6.82 999 1000.9   9.2  12.5 999.0 99.0
98 01 02 01 327  8.9 11.5  2.80  9.09  6.77 999 1001.1   8.6  12.5 999.0 99.0
98 01 02 02 329  9.8 12.2  3.15  9.09  6.47 999 1001.7   7.6  12.5 999.0 99.0
98 01 02 03 327  9.7 12.4  3.13  9.09  6.56 999 1002.4   7.2  12.5 999.0 99.0
98 01 02 04 327  7.5  9.6  3.25  8.33  6.81 999 1003.3   6.7  12.6 999.0 99.0
98 01 02 05 325  6.4  9.5  3.26  9.09  6.92 999 1003.8   7.7  12.6 999.0 99.0
98 01 02 06 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
98 01 02 07 320  8.2 10.2  3.17  9.09  7.20 999 1004.2   8.6  12.6 999.0 99.0
98 01 02 08 324  9.3 11.8  3.39  8.33  7.33 999 1004.7   7.9  12.6 999.0 99.0
98 01 02 09 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
98 01 02 10 326  6.5 11.2  3.39  9.09  7.45 999 1005.5   8.0  12.6 999.0 99.0
98 01 02 11 318  4.4  6.8  3.11 11.11  7.28 999 1006.0   7.9  12.6 999.0 99.0
98 01 02 12 307  5.5  7.6  3.14 11.11  7.63 999 1005.6   8.2  12.6 999.0 99.0
98 01 02 13 322  4.8  6.6  3.15 11.11  7.52 999 1005.5   8.2  12.6 999.0 99.0
98 01 02 14   8  4.1  7.9  3.48 11.11  8.03 999 1005.4   7.5  12.6 999.0 99.0
98 01 02 15  28  3.7  5.2  3.25 12.50  7.92 999 1005.5   7.4  12.5 999.0 99.0
98 01 02 16   7  1.2  2.3  3.23 11.11  7.80 999 1005.6   7.4  12.5 999.0 99.0
98 01 02 17 356  1.5  3.5  3.38 11.11  8.07 999 1005.8   7.8  12.5 999.0 99.0
98 01 02 18  78  5.2  7.2  3.13 11.11  7.83 999 1005.8   6.9  12.5 999.0 99.0
98 01 02 19  64  1.7  3.5  3.40 11.11  8.14 999 1005.6   7.9  12.5 999.0 99.0
98 01 02 20 331  1.0  2.3  2.93 11.11  8.02 999 1004.9   8.2  12.5 999.0 99.0
98 01 02 21  38  2.3  3.4  3.19 11.11  8.25 999 1003.8   8.0  12.5 999.0 99.0
98 01 02 22  10  2.0  3.5  3.05 11.11  8.23 999 1003.6   7.8  12.5 999.0 99.0
98 01 02 23  38  2.1  3.6  3.16 11.11  8.38 999 1003.0   7.6  12.5 999.0 99.0
98 01 03 00 265  4.3  6.0  2.81 11.11  8.05 999 1002.7   7.1  12.5 999.0 99.0
98 01 03 01 228  4.2  5.7  2.82 11.11  8.08 999 1002.5   7.2  12.5 999.0 99.0
98 01 03 02 219   .8  2.8  2.86 10.00  8.33 999 1002.8   7.1  12.5 999.0 99.0
98 01 03 03 157  2.1  3.8  2.64 11.11  8.06 999 1002.5   7.0  12.5 999.0 99.0
98 01 03 04 173  4.1  5.9  2.41 11.11  7.96 999 1002.3   7.5  12.5 999.0 99.0
98 01 03 05 254  6.9 10.0  2.63 10.00  8.16 999 1002.5   6.0  12.5 999.0 99.0
98 01 03 06 213  6.1  7.8  2.34 10.00  7.71 999 1002.5   7.4  12.5 999.0 99.0
98 01 03 07 202  6.5  8.9  2.38 10.00  7.56 999 1002.4   8.2  12.5 999.0 99.0
98 01 03 08 228  5.3  7.4  2.06 10.00  6.70 999 1002.5   7.5  12.5 999.0 99.0
98 01 03 09 198  6.7  9.9  2.26 10.00  6.71 999 1001.8   8.6  12.3 999.0 99.0
98 01 03 10 153  9.7 12.8  2.36 10.00  6.10 999 1000.9   9.0  12.2 999.0 99.0
98 01 03 11 149  9.7 12.6  2.18 11.11  5.58 999 1000.7   8.5  12.1 999.0 99.0
98 01 03 12 147 12.5 15.4  2.38 11.11  5.66 999  999.3   8.2  12.1 999.0 99.0
98 01 03 13 141 12.6 15.3  2.28 11.11  5.54 999  998.5   7.9  12.1 999.0 99.0
98 01 03 14 148 13.0 16.3  2.57 11.11  5.79 999  997.7   8.3  12.1 999.0 99.0
98 01 03 15 146 12.8 16.5  2.39  6.25  5.42 999  996.6   9.0  12.1 999.0 99.0
98 01 03 16 138 12.9 15.6  2.41  5.56  5.29 999  995.3   8.7  12.1 999.0 99.0
98 01 03 17 147 13.1 16.8  2.51  6.67  5.49 999  994.9   8.8  12.1 999.0 99.0
98 01 03 18 165 11.9 14.8  2.76  7.14  5.85 999  995.0   8.9  12.1 999.0 99.0
98 01 03 19 202  7.6  9.5  2.75  7.69  6.05 999  995.8   7.9  12.2 999.0 99.0
