#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 03 07 20 50 177  7.7  9.5  1.88 13.79  6.42 278 1021.6   8.7   8.9 999.0 99.0 99.00
2008 03 07 21 50 163  8.7 10.7  1.73 12.90  6.04 280 1020.6   8.8   8.9 999.0 99.0 99.00
2008 03 07 22 50 193  7.2  8.6  1.79 12.12  5.81 282 1022.1   8.8   8.9 999.0 99.0 99.00
2008 03 07 23 50 195  5.5  6.5  1.85 12.90  6.31 280 1022.2   8.7   8.9 999.0 99.0 99.00
2008 03 08 00 50 156  9.8 13.8  1.93 12.90  6.03 275 1019.7   8.7   8.9 999.0 99.0 99.00
2008 03 08 01 50 185  9.5 11.5  1.97 12.90  5.71 278 1020.4   9.1   8.9 999.0 99.0 99.00
2008 03 08 02 50 169 11.3 13.6  2.13 12.90  5.37 262 1019.5   8.9   8.9 999.0 99.0 99.00
2008 03 08 03 50 172 11.3 14.1  2.14 12.12  5.42 286 1019.1   8.5   8.9 999.0 99.0 99.00
2008 03 08 04 50 178 10.4 12.6  2.37  5.26  5.40 199 1019.6   8.7   8.9 999.0 99.0 99.00
2008 03 08 05 50 181  5.0  6.9 99.00 99.00 99.00 999 1020.0   8.8   8.9 999.0 99.0 99.00
2008 03 08 06 50 308  8.2 10.0  2.19  6.25  6.20 234 1020.7   9.1   8.9 999.0 99.0 99.00
2008 03 08 07 50 324 11.7 14.8  2.22  7.14  6.01 206 1021.8   8.2   8.9 999.0 99.0 99.00
2008 03 08 08 50 333 10.9 12.9  2.45  7.69  5.71 218 1023.3   7.9   9.0 999.0 99.0 99.00
2008 03 08 09 50 329  9.8 11.8  2.35  7.69  6.15 215 1024.4   8.1   9.0 999.0 99.0 99.00
2008 03 08 10 50 350  7.9  9.4  2.45 11.43  6.25 264 1025.3   7.9   9.0 999.0 99.0 99.00
2008 03 08 12 50 317  6.9  8.6  2.50 11.43  6.96 269 1027.4   8.1   8.9 999.0 99.0 99.00
2008 03 08 13 50 353  5.6  7.9  2.51 14.81  7.16 283 1027.2   8.1   8.8 999.0 99.0 99.00
2008 03 08 14 50  10  4.8  7.0  2.63 12.90  7.23 270 1027.5   8.1   8.8 999.0 99.0 99.00
2008 03 08 15 50  16  3.6  5.1  2.69 12.90  7.79 274 1027.8   8.0   8.8 999.0 99.0 99.00
2008 03 08 16 50  60  2.9  4.7 99.00 99.00 99.00 999 1028.2   8.1   8.8 999.0 99.0 99.00
2008 03 08 17 50  78  0.1  0.7  2.84 12.90  8.48 277 1028.7   8.1   8.9 999.0 99.0 99.00
2008 03 08 18 50  67  0.8  2.0  2.99 12.12  8.53 274 1028.5   8.1   8.9 999.0 99.0 99.00
2008 03 08 19 50  99  1.4  3.1  2.84 11.43  8.32 267 1027.9   8.4   9.0 999.0 99.0 99.00
2008 03 08 20 50  87  1.4  2.6  2.86 12.12  8.31 270 1027.5   8.5   9.1 999.0 99.0 99.00
2008 03 08 21 50  19  1.5  2.2  2.71 12.90  8.33 271 1027.0   8.4   9.2 999.0 99.0 99.00
2008 03 08 22 50  29  1.2  3.3  2.77 12.90  8.58 270 1026.5   8.5   9.4 999.0 99.0 99.00
2008 03 08 23 50  17  2.6  3.6  2.57 12.90  8.55 266 1026.2   8.4   9.4 999.0 99.0 99.00
2008 03 09 00 50   4  3.3  4.2  2.60 12.90  8.77 263 1025.8   8.3   9.3 999.0 99.0 99.00
2008 03 09 01 50  38  4.4  5.6  2.18 12.12  8.11 260 1024.7   8.1   9.2 999.0 99.0 99.00
2008 03 09 02 50  57  5.5  7.1  2.52 12.90  9.18 268 1024.1   8.2   9.1 999.0 99.0 99.00
2008 03 09 03 50  64  6.2  7.9  2.36 12.12  8.76 268 1023.5   8.3   9.0 999.0 99.0 99.00
2008 03 09 04 50  66  4.1  5.5  2.37 12.90  8.96 259 1023.3   8.4   9.0 999.0 99.0 99.00
2008 03 09 05 50  77  3.3  4.8  2.18 12.90  8.90 263 1023.1   8.8   8.9 999.0 99.0 99.00
2008 03 09 06 50 104  4.6  5.6  2.30 12.90  9.24 270 1022.7   8.9   8.9 999.0 99.0 99.00
2008 03 09 07 50 112  4.5  5.8  2.15 11.43  9.22 268 1022.3   8.8   8.9 999.0 99.0 99.00
2008 03 09 08 50 117  4.7  6.3  2.36 12.12  9.46 267 1022.0   8.8   8.9 999.0 99.0 99.00
2008 03 09 09 50 131  4.4  5.3  2.29 12.12  9.19 267 1022.0   8.7   8.9 999.0 99.0 99.00
2008 03 09 10 50 139  4.3  5.4  1.93 12.12  8.62 273 1021.7   8.9   8.9 999.0 99.0 99.00
2008 03 09 11 50 146  3.7  4.6  2.13 12.12  8.84 275 1021.5   8.9   8.9 999.0 99.0 99.00
2008 03 09 12 50 179  2.4  3.3  1.91 11.43  8.59 269 1022.3   9.0   8.9 999.0 99.0 99.00
2008 03 09 13 50 168  6.4  7.5  1.79 11.43  8.48 275 1021.3   9.1   8.9 999.0 99.0 99.00
2008 03 09 14 50 169  4.8  5.6  1.96 12.12  8.07 272 1022.2   9.0   8.9 999.0 99.0 99.00
2008 03 09 15 50 176  5.7  6.6  2.10 11.43  8.24 261 1022.7   9.1   8.9 999.0 99.0 99.00
2008 03 09 16 50 165  5.4  6.3  1.80 12.12  7.64 266 1023.1   9.1   8.9 999.0 99.0 99.00
2008 03 09 17 50 162  5.2  6.0  1.84 12.12  7.82 262 1023.3   9.2   8.9 999.0 99.0 99.00
2008 03 09 18 50 146  3.6  4.4  1.82 12.90  8.28 272 1023.3   9.2   9.0 999.0 99.0 99.00
