#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2008 12 31 23 50 225  4.3  5.9  4.03 11.43  8.01 289 1023.1   8.8   9.6 999.0 99.0 99.00
2009 01 01 00 50 221  4.8  5.9  3.44 10.00  7.42 281 1023.3   8.9   9.6 999.0 99.0 99.00
2009 01 01 01 50 226  5.9  7.0  3.71 11.43  7.75 287 1022.3   9.0   9.6 999.0 99.0 99.00
2009 01 01 02 50 203  5.9  8.0  3.87 11.43  8.10 290 1021.8   8.9   9.6 999.0 99.0 99.00
2009 01 01 03 50 195  7.5  9.3  3.68 11.43  7.81 284 1020.8   8.4   9.6 999.0 99.0 99.00
2009 01 01 04 50 200  8.2  9.9  3.50 10.81  7.89 278 1020.0   8.9   9.5 999.0 99.0 99.00
2009 01 01 05 50 194  8.5 10.2  3.29 12.12  7.73 289 1019.6   8.7   9.5 999.0 99.0 99.00
2009 01 01 06 50 187  8.9 10.9  3.37 11.43  7.66 286 1018.3   8.3   9.6 999.0 99.0 99.00
2009 01 01 07 50 186 11.4 13.8  3.25 12.12  7.55 299 1016.7   8.6   9.6 999.0 99.0 99.00
2009 01 01 08 50 187 12.7 16.3  3.41 11.43  7.29 285 1014.6   8.2   9.6 999.0 99.0 99.00
2009 01 01 09 50 191 14.0 18.0  3.36 11.43  6.71 277 1013.1   8.4   9.5 999.0 99.0 99.00
2009 01 01 10 50 189 16.2 19.7  3.36 11.43  6.11 274 1011.3   8.6   9.5 999.0 99.0 99.00
2009 01 01 11 50 194 16.5 21.1  4.01 11.43  6.32 268 1010.0   9.0   9.6 999.0 99.0 99.00
2009 01 01 12 50 200 16.0 20.0  4.17 10.81  6.51 262 1009.2   9.4   9.6 999.0 99.0 99.00
2009 01 01 13 50 200 15.9 20.0  5.07  7.69  7.07 212 1008.7  10.0   9.6 999.0 99.0 99.00
2009 01 01 14 50 200 15.2 18.8  5.32  9.09  7.20 226 1008.5  10.0   9.6 999.0 99.0 99.00
2009 01 01 15 50 202 14.8 18.1  5.13  8.33  7.21 213 1007.9  10.4   9.6 999.0 99.0 99.00
2009 01 01 16 50 209 14.1 16.5  4.99  8.33  7.02 220 1008.1  10.6   9.6 999.0 99.0 99.00
2009 01 01 17 50 214 13.6 16.5  4.98  9.09  7.21 219 1008.4  10.7   9.7 999.0 99.0 99.00
2009 01 01 18 50 215 13.1 16.4  4.78 10.00  7.27 234 1008.4  10.7   9.7 999.0 99.0 99.00
2009 01 01 19 50 217 13.6 16.6  4.82  8.33  7.08 206 1007.9  10.8   9.7 999.0 99.0 99.00
2009 01 01 20 50 226 12.2 14.5  4.67  9.09  7.02 221 1007.5  10.7   9.7 999.0 99.0 99.00
2009 01 01 21 50 223 12.9 15.6  4.34  9.09  6.97 220 1006.7  10.7   9.7 999.0 99.0 99.00
