YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 01 30 16 218  6.0  7.3  1.27 10.00  5.23 999 1025.9   7.7   9.5 999.0 99.0 99.00
2002 01 30 17 215  6.3  7.6  1.29  9.09  5.10 999 1026.2   7.9   9.4 999.0 99.0 99.00
2002 01 30 18 206  6.6  8.2  1.35  9.09  4.98 999 1026.4   8.0   9.4 999.0 99.0 99.00
2002 01 30 19 196  8.2  9.6  1.45 10.00  4.83 999 1026.2   8.0   9.5 999.0 99.0 99.00
2002 01 30 20 216  9.0 11.5  1.54  9.09  5.01 999 1025.7   7.8   9.5 999.0 99.0 99.00
2002 01 30 21 207  8.7 10.8  1.55 10.00  5.01 999 1025.0   8.2   9.5 999.0 99.0 99.00
2002 01 30 22 196  9.1 11.1  1.78  4.17  4.93 999 1024.4   8.2   9.5 999.0 99.0 99.00
2002 01 30 23 194  9.3 10.9  1.64  4.76  5.02 999 1024.4   8.5   9.5 999.0 99.0 99.00
2002 01 31 00 197  9.2 11.1  1.69  5.00  5.09 999 1024.6   8.7   9.5 999.0 99.0 99.00
2002 01 31 01 198  9.6 11.5  1.78  5.00  5.11 999 1024.3   8.7   9.6 999.0 99.0 99.00
2002 01 31 02 201  9.8 11.8  1.95  5.26  5.22 999 1024.2   8.9   9.6 999.0 99.0 99.00
2002 01 31 03 212 10.0 12.1  2.06  5.56  5.19 999 1024.2   8.5   9.6 999.0 99.0 99.00
2002 01 31 04 198 10.5 12.8  2.14  5.56  5.33 999 1024.0   8.9   9.7 999.0 99.0 99.00
2002 01 31 05 197 10.9 12.7  2.15  5.26  5.27 999 1023.7   8.6   9.7 999.0 99.0 99.00
2002 01 31 06 191 10.5 12.9  2.11  6.67  5.27 999 1023.8   8.1   9.7 999.0 99.0 99.00
2002 01 31 07 186 10.3 12.3  2.31  5.26  5.35 999 1023.7   8.4   9.7 999.0 99.0 99.00
2002 01 31 08 195 11.5 13.7  2.40  5.56  5.32 999 1023.4   8.8   9.8 999.0 99.0 99.00
2002 01 31 09 192 10.9 13.0  2.15  5.56  5.07 999 1023.0   8.8   9.8 999.0 99.0 99.00
2002 01 31 10 194 11.3 13.4  2.27  6.25  5.33 999 1022.6   8.6   9.7 999.0 99.0 99.00
2002 01 31 11 186 10.6 12.7  2.60  6.25  5.41 999 1022.2   8.8   9.7 999.0 99.0 99.00
2002 01 31 12 191 11.0 13.6  2.43  5.88  5.33 999 1022.0   8.7   9.6 999.0 99.0 99.00
2002 01 31 13 190 11.6 13.7  2.53  6.25  5.44 999 1021.5   8.7   9.6 999.0 99.0 99.00
2002 01 31 14 201 10.6 13.2  2.70  6.67  5.57 999 1021.4   8.6   9.6 999.0 99.0 99.00
2002 01 31 15 194 11.5 13.8  2.67  6.67  5.62 999 1020.9   8.7   9.6 999.0 99.0 99.00
2002 01 31 16 192 13.1 16.9  2.81  7.14  5.82 999 1020.7   8.6   9.6 999.0 99.0 99.00
2002 01 31 17 231 10.2 12.4  2.78  6.67  5.69 999 1021.5   8.6   9.7 999.0 99.0 99.00
2002 01 31 18 206  8.8 10.6  2.88  7.14  5.88 999 1021.8   8.4   9.7 999.0 99.0 99.00
2002 01 31 19 230  5.4  6.8  2.64  6.67  6.08 999 1022.2   8.0   9.7 999.0 99.0 99.00
2002 01 31 20 269  5.2  6.2  2.60  6.67  6.16 999 1022.2   7.2   9.6 999.0 99.0 99.00
2002 01 31 21 224  6.1  7.5  2.79  7.14  6.52 999 1021.6   7.3   9.7 999.0 99.0 99.00
2002 01 31 22 208  5.8  7.0  2.56  7.14  6.55 999 1021.1   7.7   9.7 999.0 99.0 99.00
2002 01 31 23 197  5.7  7.1  2.75 16.67  6.99 999 1020.8   7.7   9.7 999.0 99.0 99.00
2002 02 01 00 208  6.4  7.6  3.29 16.67  8.32 999 1020.8   7.9   9.8 999.0 99.0 99.00
2002 02 01 01 221  6.3  7.3  3.11 16.67  7.94 999 1021.0   7.8   9.9 999.0 99.0 99.00
2002 02 01 02 224  4.6  5.6  3.64 16.67  9.23 999 1021.2   8.0   9.7 999.0 99.0 99.00
2002 02 01 03 227  3.2  4.2  3.13 16.67  8.81 999 1021.3   8.1   9.6 999.0 99.0 99.00
2002 02 01 04 222  3.6  5.1  3.38 16.67  9.23 999 1021.7   8.2   9.6 999.0 99.0 99.00
2002 02 01 05 206  3.9  4.8  3.46 16.67  9.16 999 1022.0   8.2   9.6 999.0 99.0 99.00
2002 02 01 06 219  3.0  4.5  3.70 16.67  9.16 999 1022.2   7.7   9.6 999.0 99.0 99.00
2002 02 01 07 183  3.7  4.9  3.85 16.67  9.82 999 1022.3   7.6   9.5 999.0 99.0 99.00
2002 02 01 08 187  2.5  3.8  3.15 14.29  8.67 999 1022.4   7.1   9.5 999.0 99.0 99.00
2002 02 01 09 166  3.4  5.1  3.38 14.29  8.77 999 1022.4   7.0   9.5 999.0 99.0 99.00
2002 02 01 10 168  2.6  3.7  3.14 14.29  8.79 999 1022.7   7.5   9.5 999.0 99.0 99.00
2002 02 01 11 174  2.8  3.7  2.75 14.29  8.09 999 1023.2   7.6   9.5 999.0 99.0 99.00
2002 02 01 12 184  1.0  2.1  2.97 14.29  8.63 999 1023.6   7.7   9.5 999.0 99.0 99.00
2002 02 01 13 254  2.4  3.8  3.00 14.29  8.23 999 1023.9   8.0   9.4 999.0 99.0 99.00
2002 02 01 14 264  2.3  3.5  3.03 14.29  8.80 999 1024.2   8.1   9.4 999.0 99.0 99.00
2002 02 01 15 241  2.2  3.3  2.94 14.29  9.16 999 1024.6   8.1   9.5 999.0 99.0 99.00
2002 02 01 16 243  2.8  4.1  2.83 14.29  8.75 999 1025.1   8.2   9.5 999.0 99.0 99.00
2002 02 01 17 209  2.6  3.5  2.70 14.29  8.81 999 1025.6   8.2   9.5 999.0 99.0 99.00
2002 02 01 18 207  2.0  2.6  2.78 14.29  9.23 999 1026.1   8.6   9.5 999.0 99.0 99.00
2002 02 01 19 168  5.6  7.1  3.17 14.29  9.72 999 1026.1   8.1   9.5 999.0 99.0 99.00
2002 02 01 20 179  5.1  6.2  2.64 14.29  9.06 999 1026.1   8.1   9.5 999.0 99.0 99.00
2002 02 01 21 177  5.2  6.3  2.73 14.29  8.99 999 1025.4   8.3   9.5 999.0 99.0 99.00
2002 02 01 22 171  5.1  6.4  2.74 14.29  9.29 999 1024.7   8.3   9.6 999.0 99.0 99.00
2002 02 01 23 175  4.4  5.4  2.50 14.29  8.82 999 1024.5   8.3   9.5 999.0 99.0 99.00
2002 02 02 00 171  4.0  5.0  2.32 12.50  8.44 999 1024.3   8.5   9.6 999.0 99.0 99.00
2002 02 02 01 169  4.3  5.4  2.45 12.50  8.68 999 1024.1   8.5   9.6 999.0 99.0 99.00
2002 02 02 02 167  3.7  4.8  2.53 12.50  9.38 999 1023.9   8.6   9.5 999.0 99.0 99.00
2002 02 02 03 139  3.3  4.7  2.32 11.11  8.62 999 1024.0   8.7   9.6 999.0 99.0 99.00
2002 02 02 04 118  4.8  6.1  2.25 12.50  8.75 999 1023.1   8.7   9.6 999.0 99.0 99.00
2002 02 02 05 123  4.6  6.1  1.98 11.11  8.25 999 1022.9   8.6   9.6 999.0 99.0 99.00
2002 02 02 06 125  5.7  7.4  2.36 12.50  8.59 999 1022.3   8.4   9.6 999.0 99.0 99.00
2002 02 02 07 128  5.5  6.9  2.29 12.50  8.39 999 1021.9   8.5   9.6 999.0 99.0 99.00
2002 02 02 08 127  5.8  7.2  2.13 12.50  7.64 999 1021.6   8.5   9.6 999.0 99.0 99.00
2002 02 02 09 134  5.8  7.2  2.02 12.50  7.46 999 1021.3   8.6   9.5 999.0 99.0 99.00
2002 02 02 10 151  8.1  9.9  1.94 12.50  6.66 999 1020.7   8.1   9.6 999.0 99.0 99.00
2002 02 02 11 145  6.5  7.6  1.98 12.50  6.89 999 1020.3   8.8   9.6 999.0 99.0 99.00
2002 02 02 12 150  8.1  9.4  1.93 12.50  7.25 999 1019.7   9.2   9.5 999.0 99.0 99.00
2002 02 02 13 156  9.4 11.2  1.74 11.11  6.24 999 1019.4   9.3   9.5 999.0 99.0 99.00
2002 02 02 14 155  9.0 10.6  1.89 11.11  6.17 999 1019.1   9.3   9.5 999.0 99.0 99.00
2002 02 02 15 155  8.5 10.5  1.90 12.50  5.89 999 1018.9   9.3   9.5 999.0 99.0 99.00
2002 02 02 16 149  8.5 10.2  2.05 11.11  6.08 999 1018.5   9.6   9.5 999.0 99.0 99.00
2002 02 02 17 161  9.5 12.2  1.91 11.11  5.99 999 1018.5  10.0   9.6 999.0 99.0 99.00
2002 02 02 18 153  9.4 11.6  1.80 10.00  5.31 999 1018.5  10.1   9.6 999.0 99.0 99.00
2002 02 02 19 151 11.3 13.2  1.96 11.11  5.59 999 1018.6  10.2   9.6 999.0 99.0 99.00
2002 02 02 20 157 11.8 14.2  2.11 20.00  5.55 999 1018.1   9.8   9.6 999.0 99.0 99.00
2002 02 02 21 161 11.0 13.6  2.45  6.25  5.60 999 1017.4   9.6   9.6 999.0 99.0 99.00
2002 02 02 22 168 12.2 15.1  2.85  6.67  5.94 999 1016.7   9.8   9.6 999.0 99.0 99.00
2002 02 02 23 168 13.1 16.4  3.04  7.69  6.29 999 1016.4   9.4   9.6 999.0 99.0 99.00
2002 02 03 00 161 11.9 14.8  2.99  7.69  6.17 999 1016.1  10.1   9.6 999.0 99.0 99.00
2002 02 03 01 159 12.7 15.1  3.18  7.69  6.23 999 1015.7  10.5   9.6 999.0 99.0 99.00
2002 02 03 02 166 12.9 16.1  3.20  8.33  6.31 999 1015.5  10.3   9.6 999.0 99.0 99.00
2002 02 03 03 171 12.8 16.4  3.85  8.33  6.68 999 1015.7  10.0   9.7 999.0 99.0 99.00
2002 02 03 04 169 13.6 16.8  4.12  8.33  6.92 999 1015.7   9.9   9.7 999.0 99.0 99.00
2002 02 03 05 217 10.6 13.9  3.91  9.09  6.73 999 1017.0   8.9   9.7 999.0 99.0 99.00
2002 02 03 06 207  9.0 10.8  4.26  9.09  7.19 999 1017.8   8.8   9.6 999.0 99.0 99.00
2002 02 03 07 183  9.8 12.7  3.74  9.09  7.10 999 1018.8   8.9   9.5 999.0 99.0 99.00
2002 02 03 08 189  8.8 10.7  3.19  9.09  6.83 999 1019.7   8.9   9.5 999.0 99.0 99.00
2002 02 03 09 232  8.0  9.4  2.94  8.33  6.75 999 1020.4   8.9   9.5 999.0 99.0 99.00
2002 02 03 10 230  8.9 10.8  3.07  9.09  6.73 999 1021.5   9.3   9.5 999.0 99.0 99.00
2002 02 03 11 233  7.3  8.9  2.88  9.09  6.75 999 1022.8   7.8   9.5 999.0 99.0 99.00
2002 02 03 12 243  7.8 10.4  3.06  9.09  6.76 999 1023.5   7.9   9.6 999.0 99.0 99.00
2002 02 03 13 249  7.7  9.5  2.83  9.09  6.71 999 1024.3   8.4   9.6 999.0 99.0 99.00
2002 02 03 14 242  6.3  7.5  2.80  8.33  6.87 999 1025.0   8.5   9.6 999.0 99.0 99.00
2002 02 03 15 239  5.6  7.0  2.57  8.33  6.82 999 1025.7   8.7   9.6 999.0 99.0 99.00
2002 02 03 16 226  3.6  5.2  2.60  9.09  6.97 999 1026.5   8.4   9.6 999.0 99.0 99.00
2002 02 03 17 233  3.7  5.0  2.90  9.09  7.26 999 1027.4   8.7   9.6 999.0 99.0 99.00
2002 02 03 18 211  3.5  5.3  2.73  9.09  7.20 999 1028.2   8.8   9.6 999.0 99.0 99.00
2002 02 03 19 196  4.3  5.4  2.79  9.09  7.62 999 1029.2   9.0   9.7 999.0 99.0 99.00
2002 02 03 20 185  3.6  4.4  3.32 11.11  8.39 999 1029.4   9.1   9.8 999.0 99.0 99.00
2002 02 03 21 180  2.7  4.6  3.43 11.11  8.50 999 1028.9   8.1   9.8 999.0 99.0 99.00
2002 02 03 22 184  2.6  3.5  3.47 11.11  8.64 999 1028.6   9.1   9.8 999.0 99.0 99.00
2002 02 03 23 173  3.7  4.9  3.54 11.11  8.86 999 1028.6   9.5   9.9 999.0 99.0 99.00
2002 02 04 00 165  4.6  5.6  3.25 11.11  8.61 999 1029.1   9.5   9.9 999.0 99.0 99.00
2002 02 04 01 166  3.5  5.0  3.82 11.11  9.31 999 1029.4   9.1   9.9 999.0 99.0 99.00
2002 02 04 02 158  3.3  4.7  3.13 11.11  8.44 999 1029.3   9.1   9.9 999.0 99.0 99.00
2002 02 04 03 141  3.8  4.8  3.06 11.11  8.43 999 1029.2   9.1   9.7 999.0 99.0 99.00
2002 02 04 04 124  3.5  5.0  2.89 11.11  8.16 999 1029.3   9.1   9.6 999.0 99.0 99.00
2002 02 04 05 131  3.3  4.7  2.82 10.00  8.23 999 1029.6   9.3   9.6 999.0 99.0 99.00
2002 02 04 06 115  3.0  4.5  2.71 10.00  8.12 999 1029.7   9.0   9.6 999.0 99.0 99.00
2002 02 04 07 102  4.1  5.9  2.77 10.00  8.10 999 1029.3   8.6   9.6 999.0 99.0 99.00
2002 02 04 08 109  5.7  7.1  2.61 10.00  8.10 999 1028.5   8.3   9.6 999.0 99.0 99.00
2002 02 04 09 108  6.3  8.9  2.24 10.00  7.36 999 1028.3   8.4   9.6 999.0 99.0 99.00
2002 02 04 10 112  7.5  8.9  2.46  9.09  7.55 999 1028.0   8.0   9.7 999.0 99.0 99.00
2002 02 04 11  99  3.8  5.2  2.42 10.00  7.61 999 1027.8   7.8   9.7 999.0 99.0 99.00
2002 02 04 12 110  5.1  6.6  2.11 10.00  7.45 999 1027.2   8.1   9.7 999.0 99.0 99.00
2002 02 04 13 117  6.7  8.3  2.19 10.00  7.09 999 1026.8   8.4   9.7 999.0 99.0 99.00
2002 02 04 14 109  5.9  7.2  2.01 10.00  7.06 999 1026.6   8.0   9.7 999.0 99.0 99.00
2002 02 04 15 120  6.0  7.0  1.82 10.00  6.69 999 1026.5   8.4   9.6 999.0 99.0 99.00
2002 02 04 16 125  6.0  7.1  1.89 10.00  6.88 999 1026.4   8.5   9.6 999.0 99.0 99.00
2002 02 04 17 135  5.3  6.5  2.01 10.00  6.87 999 1026.7   8.9   9.6 999.0 99.0 99.00
2002 02 04 18 123  5.5  6.5  1.73 10.00  6.60 999 1026.4   8.8   9.6 999.0 99.0 99.00
2002 02 04 19 126  5.0  6.1  1.81  9.09  6.97 999 1026.4   9.0   9.6 999.0 99.0 99.00
2002 02 04 20 135  5.7  6.6  1.66 14.29  6.75 999 1025.6   9.4   9.7 999.0 99.0 99.00
2002 02 04 21 146  5.6  7.1  1.74 14.29  7.21 999 1024.6   9.6   9.7 999.0 99.0 99.00
2002 02 04 22 151  5.5  6.5  1.64 14.29  7.15 999 1023.5   9.7   9.6 999.0 99.0 99.00
2002 02 04 23 171  5.2  6.4  1.67 14.29  7.02 999 1023.0   9.9   9.7 999.0 99.0 99.00
2002 02 05 00 186  5.0  6.0  1.84 14.29  7.66 999 1022.6   9.6   9.7 999.0 99.0 99.00
