#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 12 31 23 50 110  7.6  9.3  2.59 16.00  9.22 296 1023.5   7.4  10.6 999.0 99.0 99.00
2013 01 01 00 50 116  8.8 11.3  3.54 16.00 10.65 297 1023.5   7.7  10.7 999.0 99.0 99.00
2013 01 01 01 50 120  6.2  8.0  3.14 16.00  9.99 267 1024.6   7.8  10.7 999.0 99.0 99.00
2013 01 01 02 50  95  7.0  9.2  3.38 14.81 10.16 279 1025.2   7.9  10.7 999.0 99.0 99.00
2013 01 01 03 50  93  6.6  8.3  3.72 16.00 10.63 277 1025.7   6.7  10.7 999.0 99.0 99.00
2013 01 01 04 50  87  8.0 10.0  3.68 16.00 10.13 286 1026.2   6.4  10.7 999.0 99.0 99.00
2013 01 01 05 50  82  7.1  9.7  3.86 16.00 10.58 277 1027.1   6.6  10.7 999.0 99.0 99.00
2013 01 01 06 50  99  5.6  7.4  3.65 16.00 10.63 288 1027.6   6.8  10.7 999.0 99.0 99.00
2013 01 01 07 50 111  4.7  6.9  3.30 16.00 10.27 290 1027.5   6.9  10.7 999.0 99.0 99.00
2013 01 01 08 50 109  2.8  4.7  3.78 16.00 11.30 287 1027.6   7.0  10.7 999.0 99.0 99.00
2013 01 01 09 50  73  5.3  7.2  3.55 16.00 11.02 297 1028.0   6.9  10.7 999.0 99.0 99.00
2013 01 01 10 50  88  8.1 10.5  3.61 14.81 11.02 271 1027.8   6.2  10.7 999.0 99.0 99.00
2013 01 01 11 50 105  9.0 12.7  3.15 14.81  9.36 296 1027.2   6.1  10.7 999.0 99.0 99.00
2013 01 01 12 50 116  4.6  7.1  3.38 14.81  9.23 285 1027.7   6.2  10.7 999.0 99.0 99.00
2013 01 01 13 50 110  1.6  3.2  3.71 14.81 10.69 288 1027.9   6.1  10.6 999.0 99.0 99.00
2013 01 01 14 50  88  5.5  7.6  3.14 14.81  9.81 288 1027.9   5.6  10.6 999.0 99.0 99.00
2013 01 01 15 50  90  7.6 10.2  3.48 13.79 10.71 280 1028.0   5.1  10.6 999.0 99.0 99.00
2013 01 01 16 50 105  8.2 10.3  3.14 13.79  9.64 278 1027.8   5.6  10.6 999.0 99.0 99.00
2013 01 01 17 50 118  5.4  7.1  2.85 14.81  9.47 294 1028.4   5.6  10.6 999.0 99.0 99.00
