YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 01 00 999 99.0 99.0  2.55 16.67  9.50 999 1021.4   9.8   9.8 999.0 99.0 99.00
2001 01 01 01 999 99.0 99.0  2.58 14.29  9.66 999 1021.9   9.6   9.8 999.0 99.0 99.00
2001 01 01 02 999 99.0 99.0  2.35 14.29  8.80 999 1023.7   9.8   9.8 999.0 99.0 99.00
2001 01 01 03 999 99.0 99.0  2.77 14.29  9.21 999 1024.2   9.8   9.8 999.0 99.0 99.00
2001 01 01 04 999 99.0 99.0  2.69 11.11  9.07 999 1023.6   9.7   9.9 999.0 99.0 99.00
2001 01 01 05 999 99.0 99.0  2.71 14.29  9.37 999 1023.1   9.7   9.8 999.0 99.0 99.00
2001 01 01 06 999 99.0 99.0  2.96 14.29 10.08 999 1023.6   9.8   9.8 999.0 99.0 99.00
2001 01 01 07 999 99.0 99.0  2.70 14.29  9.48 999 1023.6   9.8   9.8 999.0 99.0 99.00
2001 01 01 08 999 99.0 99.0  2.72 14.29  9.68 999 1025.3   9.8   9.8 999.0 99.0 99.00
2001 01 01 09 999 99.0 99.0  2.91 14.29 10.12 999 1024.6   9.7   9.8 999.0 99.0 99.00
2001 01 01 10 999 99.0 99.0  3.08 14.29 10.63 999 1024.7   9.5   9.7 999.0 99.0 99.00
2001 01 01 11 999 99.0 99.0  2.71 14.29 10.47 999 1025.3   9.5   9.7 999.0 99.0 99.00
2001 01 01 12 999 99.0 99.0  2.91 12.50 10.94 999 1025.1   9.5   9.7 999.0 99.0 99.00
2001 01 01 13 999 99.0 99.0  2.89 14.29 11.41 999 1025.1   9.4   9.7 999.0 99.0 99.00
2001 01 01 14 999 99.0 99.0  2.43 14.29 10.83 999 1025.2   9.4   9.7 999.0 99.0 99.00
2001 01 01 15 999 99.0 99.0  2.34 14.29 10.21 999 1025.5   9.4   9.5 999.0 99.0 99.00
2001 01 01 16 999 99.0 99.0  2.33 12.50 10.02 999 1025.4   9.4   9.7 999.0 99.0 99.00
2001 01 01 17 999 99.0 99.0  2.70 14.29  9.92 999 1025.0   9.2   9.7 999.0 99.0 99.00
2001 01 01 18 999 99.0 99.0  2.60 12.50  8.68 999 1025.2   9.3   9.7 999.0 99.0 99.00
2001 01 01 19 999 99.0 99.0  2.88 14.29  8.75 999 1022.7   9.7   9.7 999.0 99.0 99.00
2001 01 01 20 999 99.0 99.0  2.96 12.50  9.16 999 1024.1  11.0   9.7 999.0 99.0 99.00
2001 01 01 21 999 99.0 99.0  2.98 12.50  9.85 999 1023.1  11.0   9.8 999.0 99.0 99.00
2001 01 01 22 999 99.0 99.0  2.82 11.11  9.71 999 1022.5  11.0  10.2 999.0 99.0 99.00
2001 01 01 23 999 99.0 99.0  3.39 16.67 10.62 999 1022.2  10.2  10.2 999.0 99.0 99.00
2001 01 02 00 999 99.0 99.0  2.86 14.29 10.61 999 1022.0  10.2   9.8 999.0 99.0 99.00
2001 01 02 01 999 99.0 99.0  3.79 20.00 12.79 999 1020.6  10.3   9.7 999.0 99.0 99.00
2001 01 02 02 999 99.0 99.0  4.03 20.00 13.22 999 1020.4  11.3   9.7 999.0 99.0 99.00
2001 01 02 03 999 99.0 99.0  3.38 20.00 12.17 999 1020.8  11.3   9.7 999.0 99.0 99.00
2001 01 02 04 999 99.0 99.0  3.94 20.00 12.68 999 1021.7  11.3   9.7 999.0 99.0 99.00
2001 01 02 05 999 99.0 99.0  4.31 20.00 13.82 999 1021.9  10.6   9.7 999.0 99.0 99.00
2001 01 02 06 999 99.0 99.0  4.20 16.67 13.22 999 1022.1  10.6   9.7 999.0 99.0 99.00
2001 01 02 07 999 99.0 99.0  3.92 16.67 12.65 999 1021.6  10.9   9.7 999.0 99.0 99.00
2001 01 02 08 999 99.0 99.0  4.37 16.67 12.53 999 1022.6  11.0   9.7 999.0 99.0 99.00
2001 01 02 09 999 99.0 99.0  4.41 16.67 12.39 999 1022.6  10.9   9.7 999.0 99.0 99.00
2001 01 02 10 999 99.0 99.0  3.84 16.67 12.14 999 1022.9  10.6   9.7 999.0 99.0 99.00
2001 01 02 11 999 99.0 99.0  3.94 16.67 11.73 999 1022.6  10.5   9.8 999.0 99.0 99.00
2001 01 02 12 999 99.0 99.0  3.01 16.67 10.89 999 1022.6  10.6   9.8 999.0 99.0 99.00
2001 01 02 13 999 99.0 99.0  3.01 14.29 10.49 999 1021.9  10.5   9.9 999.0 99.0 99.00
2001 01 02 14 999 99.0 99.0  3.28 14.29 10.56 999 1023.4  11.2   9.8 999.0 99.0 99.00
2001 01 02 15 999 99.0 99.0  3.71 16.67 11.38 999 1023.6  10.6   9.8 999.0 99.0 99.00
2001 01 02 16 999 99.0 99.0  2.97 14.29 10.08 999 1023.5  10.5   9.8 999.0 99.0 99.00
2001 01 02 17 999 99.0 99.0  3.10 14.29 10.83 999 1024.1  10.6   9.8 999.0 99.0 99.00
2001 01 02 18 999 99.0 99.0  2.79 14.29 10.48 999 1023.9  10.5   9.8 999.0 99.0 99.00
2001 01 02 19 999 99.0 99.0  2.76 14.29 10.23 999 1023.9  10.5   9.8 999.0 99.0 99.00
2001 01 02 20 999 99.0 99.0  2.92 14.29 10.83 999 1023.5  10.9   9.7 999.0 99.0 99.00
2001 01 02 21 999 99.0 99.0  2.72 14.29 10.55 999 1023.4  10.9   9.7 999.0 99.0 99.00
2001 01 02 22 999 99.0 99.0  2.51 14.29  9.81 999 1022.8  11.7   9.8 999.0 99.0 99.00
2001 01 02 23 999 99.0 99.0  2.80 12.50 10.18 999 1022.7  12.4   9.8 999.0 99.0 99.00
2001 01 03 00 999 99.0 99.0  2.77 14.29 10.13 999 1023.0  11.9   9.8 999.0 99.0 99.00
2001 01 03 01 999 99.0 99.0  2.87 14.29 10.23 999 1023.3  12.1   9.7 999.0 99.0 99.00
2001 01 03 02 999 99.0 99.0  2.82 14.29  9.98 999 1022.7  12.2   9.7 999.0 99.0 99.00
2001 01 03 03 999 99.0 99.0  3.16 12.50 10.07 999 1023.3  12.2   9.8 999.0 99.0 99.00
2001 01 03 04 999 99.0 99.0  2.72 14.29  9.63 999 1023.2  12.1   9.8 999.0 99.0 99.00
2001 01 03 05 999 99.0 99.0  2.85 14.29  9.77 999 1023.0  12.0   9.8 999.0 99.0 99.00
2001 01 03 06 999 99.0 99.0  2.60 14.29  8.89 999 1023.4  12.5   9.9 999.0 99.0 99.00
2001 01 03 07 999 99.0 99.0  2.74 12.50  8.65 999 1023.9  12.1   9.8 999.0 99.0 99.00
2001 01 03 08 999 99.0 99.0  2.78 12.50  8.20 999 1024.5  11.3   9.8 999.0 99.0 99.00
2001 01 03 09 999 99.0 99.0  2.39 14.29  7.45 999 1024.3  11.0   9.8 999.0 99.0 99.00
2001 01 03 10 999 99.0 99.0  2.37 11.11  7.12 999 1024.4  11.0   9.8 999.0 99.0 99.00
2001 01 03 11 999 99.0 99.0  2.71 12.50  7.54 999 1023.5  10.9   9.8 999.0 99.0 99.00
2001 01 03 12 999 99.0 99.0  2.65 12.50  7.47 999 1024.4  10.9   9.8 999.0 99.0 99.00
2001 01 03 13 999 99.0 99.0  2.67 12.50  7.45 999 1024.4  10.6   9.7 999.0 99.0 99.00
2001 01 03 14 999 99.0 99.0  2.59 12.50  7.36 999 1024.5  10.5   9.7 999.0 99.0 99.00
2001 01 03 15 999 99.0 99.0  2.54 12.50  7.31 999 1025.0  10.5   9.7 999.0 99.0 99.00
2001 01 03 16 999 99.0 99.0  2.66 12.50  6.84 999 1025.0  10.5   9.7 999.0 99.0 99.00
2001 01 03 17 999 99.0 99.0  2.82 12.50  6.92 999 1025.7  10.6   9.7 999.0 99.0 99.00
2001 01 03 18 999 99.0 99.0  3.06 14.29  7.63 999 1025.5  10.6   9.7 999.0 99.0 99.00
2001 01 03 19 999 99.0 99.0  3.16 14.29  7.72 999 1025.4  10.6   9.8 999.0 99.0 99.00
2001 01 03 20 999 99.0 99.0  2.97 14.29  7.06 999 1024.8  10.6   9.8 999.0 99.0 99.00
