#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2009 12 31 23 50 185 13.4 16.3  5.51 11.43  8.00 204 1010.6  11.3  10.2 999.0 99.0 99.00
2010 01 01 00 50 185 12.8 16.3  5.27 10.81  7.65 198 1010.7  11.1  10.3 999.0 99.0 99.00
2010 01 01 01 50 182 12.2 14.9  4.68 11.43  7.66 203 1011.0  10.9  10.3 999.0 99.0 99.00
2010 01 01 02 50 187 11.5 14.1  4.03 11.43  7.15 207 1011.4  11.0  10.2 999.0 99.0 99.00
2010 01 01 03 50 188 10.8 12.5  4.21 11.43  7.24 207 1011.8  11.1  10.3 999.0 99.0 99.00
2010 01 01 04 50 177  9.5 11.5  3.56 10.81  6.78 204 1011.7  11.0  10.3 999.0 99.0 99.00
2010 01 01 05 50 176  8.9 10.1  3.55 10.00  7.02 193 1011.5  11.1  10.3 999.0 99.0 99.00
2010 01 01 06 50 181  9.4 11.0  3.15  9.09  6.64 203 1011.7  11.0  10.3 999.0 99.0 99.00
2010 01 01 07 50 202  5.7  8.1  3.05  8.33  6.60 212 1011.4  11.0  10.3 999.0 99.0 99.00
2010 01 01 08 50 185 11.5 13.6  2.61  9.09  5.96 212 1010.1  11.1  10.3 999.0 99.0 99.00
2010 01 01 09 50 186 11.2 13.4  3.10  8.33  6.14 207 1009.8  11.5  10.3 999.0 99.0 99.00
2010 01 01 10 50 177 10.8 12.7  3.26  9.09  6.33 221 1010.5  11.3  10.3 999.0 99.0 99.00
2010 01 01 11 50 194  9.4 11.7  2.99 10.00  6.22 233 1010.4  11.3  10.3 999.0 99.0 99.00
2010 01 01 12 50 193 11.8 14.3  3.52 10.00  6.70 221 1010.5  11.5  10.3 999.0 99.0 99.00
2010 01 01 13 50 201 12.1 14.9  3.27 10.00  6.31 241 1011.2  11.6  10.4 999.0 99.0 99.00
2010 01 01 14 50 186 10.8 12.7  3.05 10.00  6.17 224 1011.4  11.4  10.4 999.0 99.0 99.00
2010 01 01 15 50 198 12.7 14.9  3.27 10.00  6.51 223 1010.8  11.4  10.4 999.0 99.0 99.00
2010 01 01 16 50 208 13.1 17.0  3.47  9.09  6.37 228 1011.4  10.0  10.3 999.0 99.0 99.00
2010 01 01 17 50 214 13.4 17.4  3.94 10.00  6.59 244 1011.9  11.0  10.3 999.0 99.0 99.00
2010 01 01 18 50 203 14.8 17.9  3.92 10.81  6.67 242 1012.9  11.3  10.3 999.0 99.0 99.00
2010 01 01 19 50 203 13.3 15.8  4.46 12.90  7.33 258 1013.6  11.2  10.3 999.0 99.0 99.00
2010 01 01 20 50 202 14.8 18.5  5.51 12.90  8.60 254 1013.5  10.8  10.3 999.0 99.0 99.00
2010 01 01 21 50 205 14.9 18.4  6.82 14.81  9.41 255 1014.1  10.5  10.3 999.0 99.0 99.00
2010 01 01 22 50 211 13.1 16.1  6.63 13.79  9.79 258 1015.0  10.7  10.3 999.0 99.0 99.00
2010 01 01 23 50 210 12.8 15.7  7.21 16.00 10.01 252 1016.1  10.8  10.3 999.0 99.0 99.00
2010 01 02 00 50 212 10.8 13.2  6.28 17.39  9.63 266 1017.3  10.8  10.3 999.0 99.0 99.00
2010 01 02 01 50 213 10.1 12.1  6.44 14.81  9.56 262 1018.4  10.5  10.3 999.0 99.0 99.00
2010 01 02 02 50 212  9.5 11.9  6.24 14.81  9.90 259 1019.1  10.8  10.3 999.0 99.0 99.00
2010 01 02 03 50 206 10.2 12.5  5.46 14.81  9.25 255 1019.7  10.6  10.3 999.0 99.0 99.00
2010 01 02 04 50 205  9.4 11.6  5.39 16.00  8.96 246 1020.4  10.5  10.3 999.0 99.0 99.00
2010 01 02 05 50 206  8.9 10.6  5.71 13.79  9.46 250 1020.8  10.6  10.3 999.0 99.0 99.00
2010 01 02 06 50 205  9.3 11.3  5.71 14.81  9.72 257 1021.0  10.6  10.4 999.0 99.0 99.00
2010 01 02 07 50 210 10.0 12.1  5.11 14.81  8.80 250 1021.5  10.6  10.4 999.0 99.0 99.00
2010 01 02 08 50 212  9.9 12.3  5.02 14.81  8.89 260 1021.7  10.7  10.4 999.0 99.0 99.00
2010 01 02 09 50 209  8.9 10.5  5.04 13.79  8.78 262 1022.5  10.5  10.4 999.0 99.0 99.00
2010 01 02 10 50 213  8.2  9.8  4.84 14.81  9.00 259 1023.1  10.6  10.4 999.0 99.0 99.00
2010 01 02 11 50 210  7.6  9.3  4.70 13.79  8.67 260 1023.5  10.5  10.4 999.0 99.0 99.00
2010 01 02 12 50 201  7.2  8.7  5.31 13.79  9.49 260 1023.4  10.5  10.4 999.0 99.0 99.00
2010 01 02 13 50 204  7.2  8.5  4.88 12.90  9.28 264 1023.5  10.5  10.4 999.0 99.0 99.00
2010 01 02 14 50 200  7.3  8.6  4.33 13.79  8.92 268 1023.8  10.5  10.4 999.0 99.0 99.00
2010 01 02 15 50 203  6.4  7.6  4.45 12.90  9.50 266 1024.0  10.4  10.4 999.0 99.0 99.00
2010 01 02 16 50 206  6.4  7.9  4.38 13.79  9.21 262 1024.6  10.5  10.5 999.0 99.0 99.00
2010 01 02 17 50 209  6.1  7.2  4.41 13.79  9.64 256 1025.2  10.6  10.5 999.0 99.0 99.00
2010 01 02 18 50 192  4.7  5.9  4.07 13.79  9.31 260 1025.7  10.6  10.5 999.0 99.0 99.00
2010 01 02 19 50 197  6.0  7.4  3.93 13.79  9.14 268 1025.4  10.5  10.5 999.0 99.0 99.00
2010 01 02 20 50 209  4.9  6.2  3.26 13.79  8.31 269 1025.0  10.5  10.5 999.0 99.0 99.00
2010 01 02 21 50 201  3.2  4.5  3.63 12.90  8.97 264 1025.1  10.4  10.5 999.0 99.0 99.00
2010 01 02 22 50 187  3.1  3.8  3.49 12.12  8.56 273 1025.1  10.5  10.5 999.0 99.0 99.00
