YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
96 01 03 11 253  8.2 10.4  4.03 10.00  7.72 266 1012.2  12.6  12.1 999.0 99.0
96 01 03 12 278  8.6 11.0 99.00 99.00 99.00 999 1012.8  12.2  12.1 999.0 99.0
96 01 03 13 275  8.1 10.5  4.47 12.50  8.35 274 1012.7  11.8  12.1 999.0 99.0
96 01 03 14 278  6.8  8.9  4.88 12.50  8.92 272 1012.9  12.1  12.1 999.0 99.0
96 01 03 15 272  6.1  8.3 99.00 99.00 99.00 999 1013.3  12.4  12.1 999.0 99.0
96 01 03 16 263  4.9  7.3  5.54 14.29  9.65 273 1013.6  12.0  12.1 999.0 99.0
96 01 03 17 326  6.2  8.5  4.73 14.29  9.27 271 1014.0  11.3  12.1 999.0 99.0
96 01 03 18 335  6.8  8.1  4.64 14.29  9.27 267 1014.3  11.0  12.1 999.0 99.0
96 01 03 19 334  6.4  8.2  4.58 14.29  9.10 269 1014.8  11.4  12.1 999.0 99.0
96 01 03 20 318  7.5  9.8  4.03 14.29  8.54 277 1014.8  11.3  12.0 999.0 99.0
96 01 03 21 316  6.9  8.9  4.81 14.29  9.51 273 1014.7  11.0  12.0 999.0 99.0
96 01 03 22 318  5.8  7.9  4.14 12.50  8.89 262 1014.7  10.9  12.1 999.0 99.0
96 01 03 23 313  5.5  7.4  3.90 12.50  8.47 268 1014.9  11.0  12.1 999.0 99.0
96 01 04 00 309  6.2  8.2  3.83 12.50  8.28 273 1015.2  10.5  12.1 999.0 99.0
96 01 04 01 318  6.5  8.6  3.97 12.50  8.32 266 1015.3  10.2  12.1 999.0 99.0
96 01 04 02 295  5.3  8.2  3.69 12.50  8.39 269 1015.3  10.9  12.1 999.0 99.0
96 01 04 03 302  7.0  9.3  3.67 12.50  8.21 268 1015.6  11.0  12.1 999.0 99.0
96 01 04 04 286  6.2  7.9  3.54 11.11  7.80 264 1015.8  10.9  12.1 999.0 99.0
96 01 04 05 293  6.7  8.6  3.83 12.50  8.01 285 1015.8  11.1  12.1 999.0 99.0
96 01 04 06 278  6.5  9.3  3.77 12.50  8.04 267 1016.1   9.8  12.1 999.0 99.0
96 01 04 07 309  5.6  7.6  3.63 12.50  7.71 263 1015.9   9.4  12.1 999.0 99.0
96 01 04 08 305  7.4  9.6  3.55 11.11  7.67 264 1015.8  10.6  12.1 999.0 99.0
96 01 04 09 277  6.5  8.2  3.49 11.11  7.82 266 1015.8  10.5  12.1 999.0 99.0
96 01 04 10 294  6.7  8.3  3.42 12.50  7.69 254 1015.8  10.5  12.1 999.0 99.0
96 01 04 11 289  6.7  8.5  3.38 11.11  7.74 269 1016.2  10.2  12.0 999.0 99.0
